key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:0,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,0,balance,31896765
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:1,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,1,nonce,31896765
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:2,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,2,code_hash,31896765
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:4,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,4,code_hash_length,31896765
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:0,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,0,balance,31896765
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:1,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,1,nonce,31896765
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:2,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,2,code_hash,31896765
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:4,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,4,code_hash_length,31896765
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:0,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,0,balance,31896796
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:1,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,1,nonce,31896796
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:2,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,2,code_hash,31896796
