key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:0,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,0,balance,32086717
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:1,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,1,nonce,32086717
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:2,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,2,code_hash,32086717
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:4,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,4,code_hash_length,32086717
polygon-zkevm:0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f:SMT_KEY:0,0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f,0,balance,32086717
polygon-zkevm:0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f:SMT_KEY:1,0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f,1,nonce,32086717
polygon-zkevm:0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f:SMT_KEY:2,0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f,2,code_hash,32086717
polygon-zkevm:0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f:SMT_KEY:4,0xd9bccf78bb46b6170c8a2bbfa3b5bd8b7d2da91f,4,code_hash_length,32086717
polygon-zkevm:0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2:SMT_KEY:0,0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2,0,balance,32086725
polygon-zkevm:0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2:SMT_KEY:1,0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2,1,nonce,32086725
polygon-zkevm:0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2:SMT_KEY:2,0x3d21a0726f62cbb96cd79f4eac2acff7791ea6c2,2,code_hash,32086725
