key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x94f2f371332dd7b9ae5964d6dd0b7076213f952c:SMT_KEY:0,0x94f2f371332dd7b9ae5964d6dd0b7076213f952c,0,balance,3998487
polygon-zkevm:0x94f2f371332dd7b9ae5964d6dd0b7076213f952c:SMT_KEY:1,0x94f2f371332dd7b9ae5964d6dd0b7076213f952c,1,nonce,3998487
polygon-zkevm:0x94f2f371332dd7b9ae5964d6dd0b7076213f952c:SMT_KEY:2,0x94f2f371332dd7b9ae5964d6dd0b7076213f952c,2,code_hash,3998487
polygon-zkevm:0x94f2f371332dd7b9ae5964d6dd0b7076213f952c:SMT_KEY:4,0x94f2f371332dd7b9ae5964d6dd0b7076213f952c,4,code_hash_length,3998487
polygon-zkevm:0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd:SMT_KEY:0,0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd,0,balance,3998487
polygon-zkevm:0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd:SMT_KEY:1,0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd,1,nonce,3998487
polygon-zkevm:0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd:SMT_KEY:2,0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd,2,code_hash,3998487
polygon-zkevm:0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd:SMT_KEY:4,0xf6ad3ccf71abb3e12becf6b3d2a74c963859adcd,4,code_hash_length,3998487
polygon-zkevm:0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2:SMT_KEY:0,0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2,0,balance,3998497
polygon-zkevm:0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2:SMT_KEY:1,0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2,1,nonce,3998497
polygon-zkevm:0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2:SMT_KEY:2,0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2,2,code_hash,3998497
polygon-zkevm:0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2:SMT_KEY:4,0x17d8605cdb36191acc2fcb3d3d7908171bcb99a2,4,code_hash_length,3998497
polygon-zkevm:0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049:SMT_KEY:0,0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049,0,balance,3998497
polygon-zkevm:0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049:SMT_KEY:1,0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049,1,nonce,3998497
polygon-zkevm:0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049:SMT_KEY:2,0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049,2,code_hash,3998497
polygon-zkevm:0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049:SMT_KEY:4,0x3689d3b912d4d73ffcaad3a80861e7caf2d4f049,4,code_hash_length,3998497
polygon-zkevm:0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd:SMT_KEY:0,0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd,0,balance,3998507
polygon-zkevm:0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd:SMT_KEY:1,0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd,1,nonce,3998507
polygon-zkevm:0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd:SMT_KEY:2,0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd,2,code_hash,3998507
polygon-zkevm:0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd:SMT_KEY:4,0x1e2d8f84605d32a2cbf302e30bfd2387badf35dd,4,code_hash_length,3998507
polygon-zkevm:0x3f12099232e7ff5cd69006020969770a12e453ae:SMT_KEY:0,0x3f12099232e7ff5cd69006020969770a12e453ae,0,balance,3998507
polygon-zkevm:0x3f12099232e7ff5cd69006020969770a12e453ae:SMT_KEY:1,0x3f12099232e7ff5cd69006020969770a12e453ae,1,nonce,3998507
polygon-zkevm:0x3f12099232e7ff5cd69006020969770a12e453ae:SMT_KEY:2,0x3f12099232e7ff5cd69006020969770a12e453ae,2,code_hash,3998507
polygon-zkevm:0x3f12099232e7ff5cd69006020969770a12e453ae:SMT_KEY:4,0x3f12099232e7ff5cd69006020969770a12e453ae,4,code_hash_length,3998507
polygon-zkevm:0xae3f6a5e6784a6e896dcc66e24719b84d78435c1:SMT_KEY:0,0xae3f6a5e6784a6e896dcc66e24719b84d78435c1,0,balance,3998517
