key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5:SMT_KEY:0,0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5,0,balance,22048400
polygon-zkevm:0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5:SMT_KEY:1,0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5,1,nonce,22048400
polygon-zkevm:0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5:SMT_KEY:2,0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5,2,code_hash,22048400
polygon-zkevm:0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5:SMT_KEY:4,0x417a7ba2d8d0060ae6c54fd098590db854b9c1d5,4,code_hash_length,22048400
polygon-zkevm:0x9af3049dd15616fd627a35563b5282bea5c32e20:SMT_KEY:0,0x9af3049dd15616fd627a35563b5282bea5c32e20,0,balance,22048400
polygon-zkevm:0x9af3049dd15616fd627a35563b5282bea5c32e20:SMT_KEY:1,0x9af3049dd15616fd627a35563b5282bea5c32e20,1,nonce,22048400
polygon-zkevm:0x9af3049dd15616fd627a35563b5282bea5c32e20:SMT_KEY:2,0x9af3049dd15616fd627a35563b5282bea5c32e20,2,code_hash,22048400
polygon-zkevm:0x9af3049dd15616fd627a35563b5282bea5c32e20:SMT_KEY:4,0x9af3049dd15616fd627a35563b5282bea5c32e20,4,code_hash_length,22048400
polygon-zkevm:0x555a64968e4803e27669d64e349ef3d18fca0895:SMT_KEY:0,0x555a64968e4803e27669d64e349ef3d18fca0895,0,balance,22048455
polygon-zkevm:0x555a64968e4803e27669d64e349ef3d18fca0895:SMT_KEY:1,0x555a64968e4803e27669d64e349ef3d18fca0895,1,nonce,22048455
polygon-zkevm:0x555a64968e4803e27669d64e349ef3d18fca0895:SMT_KEY:2,0x555a64968e4803e27669d64e349ef3d18fca0895,2,code_hash,22048455
polygon-zkevm:0x555a64968e4803e27669d64e349ef3d18fca0895:SMT_KEY:4,0x555a64968e4803e27669d64e349ef3d18fca0895,4,code_hash_length,22048455
polygon-zkevm:0x685ee51518320a6625fa2bb523b2eab385df68b3:SMT_KEY:0,0x685ee51518320a6625fa2bb523b2eab385df68b3,0,balance,22048455
polygon-zkevm:0x685ee51518320a6625fa2bb523b2eab385df68b3:SMT_KEY:1,0x685ee51518320a6625fa2bb523b2eab385df68b3,1,nonce,22048455
polygon-zkevm:0x685ee51518320a6625fa2bb523b2eab385df68b3:SMT_KEY:2,0x685ee51518320a6625fa2bb523b2eab385df68b3,2,code_hash,22048455
polygon-zkevm:0x685ee51518320a6625fa2bb523b2eab385df68b3:SMT_KEY:4,0x685ee51518320a6625fa2bb523b2eab385df68b3,4,code_hash_length,22048455
polygon-zkevm:0x00d2e45938811353506a12cb7a0bde2a50e0947b:SMT_KEY:0,0x00d2e45938811353506a12cb7a0bde2a50e0947b,0,balance,22048475
polygon-zkevm:0x00d2e45938811353506a12cb7a0bde2a50e0947b:SMT_KEY:1,0x00d2e45938811353506a12cb7a0bde2a50e0947b,1,nonce,22048475
polygon-zkevm:0x00d2e45938811353506a12cb7a0bde2a50e0947b:SMT_KEY:2,0x00d2e45938811353506a12cb7a0bde2a50e0947b,2,code_hash,22048475
polygon-zkevm:0x00d2e45938811353506a12cb7a0bde2a50e0947b:SMT_KEY:4,0x00d2e45938811353506a12cb7a0bde2a50e0947b,4,code_hash_length,22048475
polygon-zkevm:0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04:SMT_KEY:0,0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04,0,balance,22048475
polygon-zkevm:0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04:SMT_KEY:1,0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04,1,nonce,22048475
polygon-zkevm:0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04:SMT_KEY:2,0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04,2,code_hash,22048475
polygon-zkevm:0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04:SMT_KEY:4,0xb8af4fa4feabaa02a09d146e4f871ea4a0a41c04,4,code_hash_length,22048475
polygon-zkevm:0x709944a48caf83535e43471680fda4905fb3920a:SMT_KEY:0,0x709944a48caf83535e43471680fda4905fb3920a,0,balance,22048565
polygon-zkevm:0x709944a48caf83535e43471680fda4905fb3920a:SMT_KEY:1,0x709944a48caf83535e43471680fda4905fb3920a,1,nonce,22048565
polygon-zkevm:0x709944a48caf83535e43471680fda4905fb3920a:SMT_KEY:2,0x709944a48caf83535e43471680fda4905fb3920a,2,code_hash,22048565
polygon-zkevm:0x709944a48caf83535e43471680fda4905fb3920a:SMT_KEY:4,0x709944a48caf83535e43471680fda4905fb3920a,4,code_hash_length,22048565
polygon-zkevm:0xc680bcda3b122837a0d49ba23f607b412cd90906:SMT_KEY:0,0xc680bcda3b122837a0d49ba23f607b412cd90906,0,balance,22048565
polygon-zkevm:0xc680bcda3b122837a0d49ba23f607b412cd90906:SMT_KEY:1,0xc680bcda3b122837a0d49ba23f607b412cd90906,1,nonce,22048565
polygon-zkevm:0xc680bcda3b122837a0d49ba23f607b412cd90906:SMT_KEY:2,0xc680bcda3b122837a0d49ba23f607b412cd90906,2,code_hash,22048565
polygon-zkevm:0xc680bcda3b122837a0d49ba23f607b412cd90906:SMT_KEY:4,0xc680bcda3b122837a0d49ba23f607b412cd90906,4,code_hash_length,22048565
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:0,0x199f9e430c2970832f4483ed0013abd8d247715d,0,balance,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:1,0x199f9e430c2970832f4483ed0013abd8d247715d,1,nonce,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:2,0x199f9e430c2970832f4483ed0013abd8d247715d,2,code_hash,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:4,0x199f9e430c2970832f4483ed0013abd8d247715d,4,code_hash_length,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:0,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,0,balance,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:1,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,1,nonce,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:2,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,2,code_hash,22048570
