key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x200a725af490ca05e8577ecf7b4c83e57fea54a5:SMT_KEY:0,0x200a725af490ca05e8577ecf7b4c83e57fea54a5,0,balance,32090252
polygon-zkevm:0x200a725af490ca05e8577ecf7b4c83e57fea54a5:SMT_KEY:1,0x200a725af490ca05e8577ecf7b4c83e57fea54a5,1,nonce,32090252
polygon-zkevm:0x200a725af490ca05e8577ecf7b4c83e57fea54a5:SMT_KEY:2,0x200a725af490ca05e8577ecf7b4c83e57fea54a5,2,code_hash,32090252
polygon-zkevm:0x200a725af490ca05e8577ecf7b4c83e57fea54a5:SMT_KEY:4,0x200a725af490ca05e8577ecf7b4c83e57fea54a5,4,code_hash_length,32090252
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:0,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,0,balance,32090252
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:1,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,1,nonce,32090252
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:2,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,2,code_hash,32090252
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:4,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,4,code_hash_length,32090252
polygon-zkevm:0x2e8932d5662ad426fe335162b233680a524395ee:SMT_KEY:0,0x2e8932d5662ad426fe335162b233680a524395ee,0,balance,32095352
polygon-zkevm:0x2e8932d5662ad426fe335162b233680a524395ee:SMT_KEY:1,0x2e8932d5662ad426fe335162b233680a524395ee,1,nonce,32095352
polygon-zkevm:0x2e8932d5662ad426fe335162b233680a524395ee:SMT_KEY:2,0x2e8932d5662ad426fe335162b233680a524395ee,2,code_hash,32095352
polygon-zkevm:0x2e8932d5662ad426fe335162b233680a524395ee:SMT_KEY:4,0x2e8932d5662ad426fe335162b233680a524395ee,4,code_hash_length,32095352
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:0,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,0,balance,32095352
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:1,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,1,nonce,32095352
