key,address,leaf_type,first_seen_block
zksync-era:0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8:account_leaf:balance,0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8,balance,69632271
zksync-era:0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8:account_leaf:nonce,0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8,nonce,69632271
zksync-era:0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8:account_leaf:code,0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8,code,69632271
zksync-era:0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8:account_leaf:storage_root,0x1e1edaedd8a1c0570ba8171d86a58f6a83d0d7d8,storage_root,69632271
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:balance,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,balance,69632271
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:nonce,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,nonce,69632271
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:code,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,code,69632271
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:storage_root,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,storage_root,69632271
zksync-era:0xd4169e045bcf9a86cc00101225d9ed61d2f51af2:account_leaf:balance,0xd4169e045bcf9a86cc00101225d9ed61d2f51af2,balance,69632471
zksync-era:0xd4169e045bcf9a86cc00101225d9ed61d2f51af2:account_leaf:nonce,0xd4169e045bcf9a86cc00101225d9ed61d2f51af2,nonce,69632471
zksync-era:0xd4169e045bcf9a86cc00101225d9ed61d2f51af2:account_leaf:code,0xd4169e045bcf9a86cc00101225d9ed61d2f51af2,code,69632471
zksync-era:0xd4169e045bcf9a86cc00101225d9ed61d2f51af2:account_leaf:storage_root,0xd4169e045bcf9a86cc00101225d9ed61d2f51af2,storage_root,69632471
zksync-era:0xc83a7f14c19f100cfebe4fbb35b56fcdca646731:account_leaf:balance,0xc83a7f14c19f100cfebe4fbb35b56fcdca646731,balance,69632471
zksync-era:0xc83a7f14c19f100cfebe4fbb35b56fcdca646731:account_leaf:nonce,0xc83a7f14c19f100cfebe4fbb35b56fcdca646731,nonce,69632471
zksync-era:0xc83a7f14c19f100cfebe4fbb35b56fcdca646731:account_leaf:code,0xc83a7f14c19f100cfebe4fbb35b56fcdca646731,code,69632471
zksync-era:0xc83a7f14c19f100cfebe4fbb35b56fcdca646731:account_leaf:storage_root,0xc83a7f14c19f100cfebe4fbb35b56fcdca646731,storage_root,69632471
zksync-era:0x9452ed6da616783786c6d8aaf73047ecad126c57:account_leaf:balance,0x9452ed6da616783786c6d8aaf73047ecad126c57,balance,69632671
zksync-era:0x9452ed6da616783786c6d8aaf73047ecad126c57:account_leaf:nonce,0x9452ed6da616783786c6d8aaf73047ecad126c57,nonce,69632671
zksync-era:0x9452ed6da616783786c6d8aaf73047ecad126c57:account_leaf:code,0x9452ed6da616783786c6d8aaf73047ecad126c57,code,69632671
zksync-era:0x9452ed6da616783786c6d8aaf73047ecad126c57:account_leaf:storage_root,0x9452ed6da616783786c6d8aaf73047ecad126c57,storage_root,69632671
zksync-era:0xa478bf3f621d47e6753f463711630c282d2803ab:account_leaf:balance,0xa478bf3f621d47e6753f463711630c282d2803ab,balance,69632671
zksync-era:0xa478bf3f621d47e6753f463711630c282d2803ab:account_leaf:nonce,0xa478bf3f621d47e6753f463711630c282d2803ab,nonce,69632671
zksync-era:0xa478bf3f621d47e6753f463711630c282d2803ab:account_leaf:code,0xa478bf3f621d47e6753f463711630c282d2803ab,code,69632671
zksync-era:0xa478bf3f621d47e6753f463711630c282d2803ab:account_leaf:storage_root,0xa478bf3f621d47e6753f463711630c282d2803ab,storage_root,69632671
zksync-era:0xaede212cda8fc657ac7b4ad5e98fd510624638b3:account_leaf:balance,0xaede212cda8fc657ac7b4ad5e98fd510624638b3,balance,69632871
zksync-era:0xaede212cda8fc657ac7b4ad5e98fd510624638b3:account_leaf:nonce,0xaede212cda8fc657ac7b4ad5e98fd510624638b3,nonce,69632871
zksync-era:0xaede212cda8fc657ac7b4ad5e98fd510624638b3:account_leaf:code,0xaede212cda8fc657ac7b4ad5e98fd510624638b3,code,69632871
zksync-era:0xaede212cda8fc657ac7b4ad5e98fd510624638b3:account_leaf:storage_root,0xaede212cda8fc657ac7b4ad5e98fd510624638b3,storage_root,69632871
zksync-era:0x000000000000000000000000000000000000800a:account_leaf:balance,0x000000000000000000000000000000000000800a,balance,69632871
zksync-era:0x000000000000000000000000000000000000800a:account_leaf:nonce,0x000000000000000000000000000000000000800a,nonce,69632871
zksync-era:0x000000000000000000000000000000000000800a:account_leaf:code,0x000000000000000000000000000000000000800a,code,69632871
zksync-era:0x000000000000000000000000000000000000800a:account_leaf:storage_root,0x000000000000000000000000000000000000800a,storage_root,69632871
zksync-era:0xc945857307698a02bda071f014c669e5c2d2cf36:account_leaf:balance,0xc945857307698a02bda071f014c669e5c2d2cf36,balance,69633071
zksync-era:0xc945857307698a02bda071f014c669e5c2d2cf36:account_leaf:nonce,0xc945857307698a02bda071f014c669e5c2d2cf36,nonce,69633071
zksync-era:0xc945857307698a02bda071f014c669e5c2d2cf36:account_leaf:code,0xc945857307698a02bda071f014c669e5c2d2cf36,code,69633071
zksync-era:0xc945857307698a02bda071f014c669e5c2d2cf36:account_leaf:storage_root,0xc945857307698a02bda071f014c669e5c2d2cf36,storage_root,69633071
zksync-era:0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547:account_leaf:balance,0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547,balance,69633071
zksync-era:0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547:account_leaf:nonce,0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547,nonce,69633071
zksync-era:0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547:account_leaf:code,0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547,code,69633071
zksync-era:0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547:account_leaf:storage_root,0x9d5adefefbc2ad84c3938fa5c4c1fe1fa88c6547,storage_root,69633071
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:balance,0x7c168119bf754269523ac9728aeeba8e4eee6100,balance,69633271
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:nonce,0x7c168119bf754269523ac9728aeeba8e4eee6100,nonce,69633271
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:code,0x7c168119bf754269523ac9728aeeba8e4eee6100,code,69633271
