key,address,leaf_type,first_seen_block
zksync-era:0x27533a4b89bc02dde7eee1924b4b66f1f357b700:account_leaf:balance,0x27533a4b89bc02dde7eee1924b4b66f1f357b700,balance,70082262
zksync-era:0x27533a4b89bc02dde7eee1924b4b66f1f357b700:account_leaf:nonce,0x27533a4b89bc02dde7eee1924b4b66f1f357b700,nonce,70082262
zksync-era:0x27533a4b89bc02dde7eee1924b4b66f1f357b700:account_leaf:code,0x27533a4b89bc02dde7eee1924b4b66f1f357b700,code,70082262
zksync-era:0x27533a4b89bc02dde7eee1924b4b66f1f357b700:account_leaf:storage_root,0x27533a4b89bc02dde7eee1924b4b66f1f357b700,storage_root,70082262
zksync-era:0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115:account_leaf:balance,0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115,balance,70082262
zksync-era:0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115:account_leaf:nonce,0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115,nonce,70082262
zksync-era:0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115:account_leaf:code,0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115,code,70082262
zksync-era:0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115:account_leaf:storage_root,0x117d1015fd2cbaa32a1fe0e0c913fc02b4d5f115,storage_root,70082262
zksync-era:0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30:account_leaf:balance,0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30,balance,70082462
zksync-era:0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30:account_leaf:nonce,0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30,nonce,70082462
zksync-era:0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30:account_leaf:code,0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30,code,70082462
zksync-era:0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30:account_leaf:storage_root,0xa42bf0c8794fa8853ec0f1b24a489972e8cf4c30,storage_root,70082462
zksync-era:0x021f20f07948b152045291a990649e1edfc15223:account_leaf:balance,0x021f20f07948b152045291a990649e1edfc15223,balance,70082462
zksync-era:0x021f20f07948b152045291a990649e1edfc15223:account_leaf:nonce,0x021f20f07948b152045291a990649e1edfc15223,nonce,70082462
zksync-era:0x021f20f07948b152045291a990649e1edfc15223:account_leaf:code,0x021f20f07948b152045291a990649e1edfc15223,code,70082462
zksync-era:0x021f20f07948b152045291a990649e1edfc15223:account_leaf:storage_root,0x021f20f07948b152045291a990649e1edfc15223,storage_root,70082462
zksync-era:0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0:account_leaf:balance,0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,balance,70082662
zksync-era:0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0:account_leaf:nonce,0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,nonce,70082662
zksync-era:0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0:account_leaf:code,0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,code,70082662
zksync-era:0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0:account_leaf:storage_root,0xfcfdd186534bf7d4aef35d5b3bde9e59e0c388c0,storage_root,70082662
zksync-era:0xbc87ee5b87061edf762d3997c99c8650181a8cb3:account_leaf:balance,0xbc87ee5b87061edf762d3997c99c8650181a8cb3,balance,70082662
zksync-era:0xbc87ee5b87061edf762d3997c99c8650181a8cb3:account_leaf:nonce,0xbc87ee5b87061edf762d3997c99c8650181a8cb3,nonce,70082662
zksync-era:0xbc87ee5b87061edf762d3997c99c8650181a8cb3:account_leaf:code,0xbc87ee5b87061edf762d3997c99c8650181a8cb3,code,70082662
zksync-era:0xbc87ee5b87061edf762d3997c99c8650181a8cb3:account_leaf:storage_root,0xbc87ee5b87061edf762d3997c99c8650181a8cb3,storage_root,70082662
zksync-era:0x8652767d52054d2cd29343369b19ba357f46869d:account_leaf:balance,0x8652767d52054d2cd29343369b19ba357f46869d,balance,70083062
zksync-era:0x8652767d52054d2cd29343369b19ba357f46869d:account_leaf:nonce,0x8652767d52054d2cd29343369b19ba357f46869d,nonce,70083062
zksync-era:0x8652767d52054d2cd29343369b19ba357f46869d:account_leaf:code,0x8652767d52054d2cd29343369b19ba357f46869d,code,70083062
zksync-era:0x8652767d52054d2cd29343369b19ba357f46869d:account_leaf:storage_root,0x8652767d52054d2cd29343369b19ba357f46869d,storage_root,70083062
zksync-era:0xd1ac84b46b155ca8c93c8459374d980f24f367e2:account_leaf:balance,0xd1ac84b46b155ca8c93c8459374d980f24f367e2,balance,70083062
zksync-era:0xd1ac84b46b155ca8c93c8459374d980f24f367e2:account_leaf:nonce,0xd1ac84b46b155ca8c93c8459374d980f24f367e2,nonce,70083062
zksync-era:0xd1ac84b46b155ca8c93c8459374d980f24f367e2:account_leaf:code,0xd1ac84b46b155ca8c93c8459374d980f24f367e2,code,70083062
zksync-era:0xd1ac84b46b155ca8c93c8459374d980f24f367e2:account_leaf:storage_root,0xd1ac84b46b155ca8c93c8459374d980f24f367e2,storage_root,70083062
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:balance,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,balance,70084062
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:nonce,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,nonce,70084062
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:code,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,code,70084062
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:storage_root,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,storage_root,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:balance,0xcf6f494bd464baab002993573676ace610bdb8a3,balance,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:nonce,0xcf6f494bd464baab002993573676ace610bdb8a3,nonce,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:code,0xcf6f494bd464baab002993573676ace610bdb8a3,code,70084062
