height,sparsity,empty_pct,occupied,skipped,trials,avg_m,min_m,max_m,avg_m_over_h,avg_active_path,avg_active_path_over_h
16,0.9,90.0,6554,0,5,16.0,16.0,16.0,1.0,12.97769301190113,0.8111058132438206
16,0.95,95.0,3277,0,5,15.0,15.0,15.0,0.9375,12.001953005797986,0.7501220628623742
16,0.98,98.0,1311,0,5,14.0,14.0,14.0,0.875,10.699313501144164,0.6687070938215103
16,0.99,99.0,655,0,5,12.4,12.0,13.0,0.775,9.682748091603054,0.6051717557251909
16,0.995,99.5,328,0,5,11.2,11.0,12.0,0.7,8.682317073170731,0.5426448170731707
16,0.9975,99.75,164,0,5,10.0,10.0,10.0,0.625,7.685365853658537,0.48033536585365855
16,0.999,99.9,66,0,5,8.6,8.0,9.0,0.5375,6.415151515151515,0.4009469696969697
16,0.9995,99.95,33,0,5,7.0,6.0,8.0,0.4375,5.339393939393939,0.3337121212121212
16,0.99975,99.97500000000001,16,0,5,6.2,6.0,7.0,0.3875,4.35,0.271875
16,0.9999,99.99,7,0,5,4.0,3.0,5.0,0.25,3.085714285714286,0.19285714285714287
16,0.99995,99.995,3,0,5,2.0,2.0,2.0,0.125,1.6666666666666667,0.10416666666666667
16,0.99999,99.99900000000001,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0
20,0.9,90.0,104858,0,5,20.0,20.0,20.0,1.0,16.982338019035268,0.8491169009517634
20,0.95,95.0,52429,0,5,20.0,20.0,20.0,1.0,15.997806557439585,0.7998903278719792
20,0.98,98.0,20972,0,5,18.0,18.0,18.0,0.9,14.680717146671753,0.7340358573335877
20,0.99,99.0,10486,0,5,17.4,17.0,18.0,0.8699999999999999,13.689814991417128,0.6844907495708564
20,0.995,99.5,5243,0,5,16.4,16.0,17.0,0.82,12.689986648865153,0.6344993324432576
20,0.9975,99.75,2621,0,5,15.2,14.0,16.0,0.76,11.689049980923311,0.5844524990461656
20,0.999,99.9,1049,0,5,13.2,13.0,14.0,0.6599999999999999,10.377311725452811,0.5188655862726406
20,0.9995,99.95,524,0,5,12.2,12.0,13.0,0.61,9.359541984732825,0.46797709923664127
20,0.99975,99.97500000000001,262,0,5,11.0,11.0,11.0,0.55,8.353435114503817,0.4176717557251909
20,0.9999,99.99,105,0,5,9.6,9.0,10.0,0.48,7.034285714285714,0.3517142857142857
20,0.99995,99.995,52,0,5,7.8,7.0,8.0,0.39,6.023076923076923,0.30115384615384616
20,0.99999,99.99900000000001,10,0,5,5.0,4.0,6.0,0.25,3.64,0.182
24,0.9,90.0,1677722,1,5,,,,,,
24,0.95,95.0,838861,1,5,,,,,,
24,0.98,98.0,335544,1,5,,,,,,
24,0.99,99.0,167772,0,5,22.0,22.0,22.0,0.9166666666666666,17.685671029730827,0.7369029595721178
24,0.995,99.5,83886,0,5,21.0,21.0,21.0,0.875,16.686777292992872,0.6952823872080364
24,0.9975,99.75,41943,0,5,19.8,19.0,20.0,0.8250000000000001,15.690270128507736,0.653761255354489
24,0.999,99.9,16777,0,5,18.2,18.0,19.0,0.7583333333333333,14.367324313047625,0.598638513043651
24,0.9995,99.95,8389,0,5,17.4,17.0,18.0,0.725,13.365144832518775,0.5568810346882823
24,0.99975,99.97500000000001,4194,0,5,16.0,16.0,16.0,0.6666666666666666,12.362613257033859,0.5151088857097441
24,0.9999,99.99,1678,0,5,14.2,14.0,15.0,0.5916666666666667,11.037067938021455,0.45987783075089395
24,0.99995,99.995,839,0,5,13.0,13.0,13.0,0.5416666666666666,10.038379022646007,0.41826579261025026
24,0.99999,99.99900000000001,168,0,5,10.2,10.0,11.0,0.425,7.722619047619048,0.3217757936507937
32,0.9,90.0,429496730,1,5,,,,,,
32,0.95,95.0,214748365,1,5,,,,,,
32,0.98,98.0,85899346,1,5,,,,,,
32,0.99,99.0,42949673,1,5,,,,,,
32,0.995,99.5,21474836,1,5,,,,,,
32,0.9975,99.75,10737418,1,5,,,,,,
32,0.999,99.9,4294967,1,5,,,,,,
32,0.9995,99.95,2147484,1,5,,,,,,
32,0.99975,99.97500000000001,1073742,1,5,,,,,,
32,0.9999,99.99,429497,1,5,,,,,,
32,0.99995,99.995,214748,1,5,,,,,,
32,0.99999,99.99900000000001,42950,0,5,20.0,20.0,20.0,0.625,15.724176949941793,0.491380529685681
