height,sparsity,skipped,trials,occupied,active,m,count_max,count_gap,hybrid_max,hybrid_gap,profile_max,profile_gap,profile_ratio,reduction_vs_hybrid,runtime_ms,moves,valid_rate
8,0.8,0.0,5.0,51,100,7.4,21.6,19.6,16.2,7.6,14.2,1,1.046,12.345679012345679,17.328259954228997,3.4,1.0
8,0.9,0.0,5.0,26,50,6.4,11,9,9.6,5.4,8.6,1.2,1.0959999999999999,10.416666666666663,4.7247199807316065,2.8,1.0
8,0.95,0.0,5.0,13,24,5.2,6.4,4.4,6,2.8,5.2,1.2,1.1,13.33333333333333,0.9539400693029165,0.4,1.0
8,0.98,0.0,5.0,5,8,3,3,1,3,1,3,1,1.125,0.0,0.13992004096508026,0,1.0
10,0.8,0.0,5.0,205,408,10,71,69,49,18.4,41,1,1.0049019607843137,16.326530612244895,146.22777998447418,6.4,1.0
10,0.9,0.0,5.0,102,202,9.2,34,32,24.8,8,22.6,1,1.0277227722772277,8.870967741935477,47.27161996997893,3,1.0
10,0.95,0.0,5.0,51,100,7.8,19.2,17.2,15.2,6.4,13.4,1,1.042,11.842105263157887,18.523199995979667,3.4,1.0
10,0.98,0.0,5.0,20,38,5.8,8.8,6.8,8,3.6,7.2,1,1.0947368421052632,9.999999999999998,3.1411599833518267,1.6,1.0
12,0.8,0.0,5.0,819,1636,12,282.2,280.2,171.8,85.4,137,1,1.0048899755501222,20.256111757857976,987.7023199573159,10.2,1.0
12,0.9,0.0,5.0,410,818,11.6,126.2,124.2,85.8,36.4,71.4,1,1.010757946210269,16.78321678321677,650.863020028919,8,1.0
12,0.95,0.0,5.0,205,408,10.2,68.4,66.4,47.8,17.2,40.4,1,1.0088235294117647,15.481171548117157,220.96383990719914,6.4,1.0
12,0.98,0.0,5.0,82,162,8.6,29.6,27.6,22.4,9.4,19.2,0.4,1.0148148148148148,14.28571428571428,48.181020095944405,6.4,1.0
14,0.8,0.0,5.0,3277,6552,14,1129.4,1127.4,614.8,389.2,468,0,1.0,23.877683799609628,4759.603839972988,14.2,1.0
14,0.9,0.0,5.0,1638,3274,14,461,459,284.8,157.6,234,1,1.0006108735491752,17.837078651685403,2512.798780016601,12.8,1.0
14,0.95,0.0,5.0,819,1636,13,231,229,153.4,71.8,126,1,1.0012224938875307,17.861799217731424,1170.749060017988,9.2,1.0
14,0.98,0.0,5.0,328,654,11.2,102.4,100.4,69.4,27.2,59,1,1.0091743119266054,14.98559077809799,299.7541000600904,7.2,1.0
