backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,online_upload_kb,online_download_kb,online_total_kb,offline_kb,completed_queries
PIANO-local-runner,Polygon zkEVM recent,128,PBC-SMT,766,17,136,5,16.249,0.564,0.0,0.0,8.632812,0.664062,9.296875,172.40625,85
PIANO-local-runner,Polygon zkEVM recent,128,SparseTreePIR,766,11,70,5,4.452,0.085,0.0,0.0,3.867188,0.429688,4.296875,73.125,55
PIANO-local-runner,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,385,5,33.985,0.248,0.0,0.0,17.226562,0.820312,18.046875,435.09375,105
PIANO-local-runner,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,193,5,15.529,0.266,0.0,0.0,8.203125,0.546875,8.75,194.0625,70
PIANO-local-runner,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,5,217.038,0.899,0.0,0.0,41.640625,1.015625,42.65625,1424.4375,130
PIANO-local-runner,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,5,62.926,0.419,0.0,0.0,19.921875,0.664062,20.585938,594.28125,85
PIANO-local-runner,ZKsync Era sample,128,PBC-SMT,1910,20,287,5,23.4,0.32,0.0,0.0,14.0625,0.78125,14.84375,346.875,100
PIANO-local-runner,ZKsync Era sample,128,SparseTreePIR,1910,13,147,5,8.719,0.118,0.0,0.0,6.601562,0.507812,7.109375,136.5,65
PIANO-local-runner,ZKsync Era broad,128,PBC-SMT,15478,26,1786,5,266.568,0.952,0.0,0.0,43.671875,1.015625,44.6875,1503.9375,130
PIANO-local-runner,ZKsync Era broad,128,SparseTreePIR,15478,17,911,5,91.888,0.679,0.0,0.0,20.585938,0.664062,21.25,623.0625,85
PIANO-local-runner,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,5,3.554,0.08,0.0,0.0,4.0625,0.546875,4.609375,60.75,70
PIANO-local-runner,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,23,5,0.825,0.037,0.0,0.0,2.070312,0.351562,2.421875,26.53125,45
