backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,Polygon zkEVM recent,128,PBC-SMT,766,17,,20,20,8.587057,12.280784399999993,0.04795255,0.0061398500000000005,0.7969106500000009,13056,12.75,12.75,25.5,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM recent,128,SparseTreePIR,766,11,,20,20,3.2041899999999988,7.441535049999982,0.027237149999999998,0.004022250000000001,0.23123370000000007,5632,6.1875,5.5,11.6875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,,20,20,26.140188999999992,17.938960949999984,0.0841747,0.0073974,1.381966300000002,26880,25.59375,26.25,51.84375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,,20,20,9.82875,10.798849699999979,0.0480578,0.006010250000000001,0.6920952000000009,12544,13.125,12.25,25.375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,PBC-SMT,14078,26,,20,20,110.361719,32.058299549999965,0.23657589999999998,0.015447200000000003,3.3832252000000103,66560,68.25,65,133.25,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,SparseTreePIR,14078,17,,20,20,41.36858099999999,17.163689799999965,0.11085455,0.00966025,1.6924332999999951,32640,30.28125,31.875,62.15625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,PBC-SMT,1910,20,,20,20,19.419717000000006,15.768989800000028,0.07556819999999999,0.0056052,1.175272949999996,23040,20.625,22.5,43.125,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,SparseTreePIR,1910,13,,20,20,7.086261,9.652123199999991,0.03605415000000001,0.004682150000000001,0.48613499999999943,9984,10.96875,9.75,20.71875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,PBC-SMT,15478,26,,20,20,116.62602299999996,32.44091654999984,0.26652065,0.015085999999999999,3.3972999500000034,69888,70.6875,68.25,138.9375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,SparseTreePIR,15478,17,,20,20,43.754470000000005,17.97870670000002,0.12659485,0.015307749999999998,1.8103916999999978,32640,33.46875,31.875,65.34375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,FuelLabs SMT test vectors,128,PBC-SMT,198,14,,20,20,3.2248110000000008,9.015400600000017,0.033018900000000004,0.004461100000000001,0.30340484999999967,6144,6,6,12,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
