backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.894,0.267,0.7013422818791946,3.615,1.664,0.5396957123098203,0.0,0.0,
PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,21.495,7.446,0.6535938590369854,508.168,116.267,0.7712036177012327,0.0,0.0,
PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,8.557,5.573,0.3487203459156246,82.173,33.994,0.5863118055809086,0.004,0.0,
PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,3.985,1.108,0.721957340025094,18.638,4.943,0.7347891404657152,0.0,0.0,
PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,23.569,7.701,0.673257244685816,584.197,115.43,0.8024125423444488,0.019,0.0,1.0
PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,7.146,3.201,0.5520570948782535,58.388,16.157,0.723282181270124,0.002,0.089,
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,9.168035379999964,5.8437578599999975,0.36259431625360716,3.863014999999999,2.146616,0.4443159035105998,0.003917400000000001,0.00388992,
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,31.887319079999934,17.04022582000003,0.46561121123889526,109.21073700000001,40.171218999999994,0.6321678609311099,0.014603479999999997,0.008625840000000001,0.40932983097179554
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.84720810000005,10.530535480000005,0.4099617474623397,25.628099000000017,9.600629000000007,0.6253866117810767,0.006480619999999998,0.006528899999999997,
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.211697060000011,7.606879080000007,0.37708255923603795,9.308486,4.888003999999998,0.47488732324461813,0.006234940000000001,0.004305999999999999,
SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,32.21849660000009,17.81100397999996,0.4471807855863792,117.4352319999999,45.088402999999985,0.6160572748730124,0.015634740000000008,0.0094403,0.39619718652181
SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.767437079999956,9.62052206000001,0.38984871091047113,19.713473999999987,8.633587,0.5620463952725935,0.00560262,0.00430398,
