backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,Polygon zkEVM recent,128,PBC-SMT,766,17,,50,50,9.158259999999999,12.125951119999954,0.043810320000000014,0.0060675600000000005,0.6486210600000006,13056,12.75,12.75,25.5,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM recent,128,SparseTreePIR,766,11,,50,50,3.2381179999999996,7.442438779999993,0.027526980000000006,0.004421680000000001,0.2273313399999995,5632,6.1875,5.5,11.6875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,,50,50,24.646347000000013,17.797024500000074,0.08103279999999997,0.006066440000000001,1.3624537399999945,26880,25.59375,26.25,51.84375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,,50,50,9.626106000000002,10.671609639999991,0.046255019999999994,0.005847519999999999,0.5979552799999995,12544,13.125,12.25,25.375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,PBC-SMT,14078,26,,50,50,106.95071500000002,33.89834899999998,0.2707917,0.016034480000000004,4.01839541999999,66560,68.25,65,133.25,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,SparseTreePIR,14078,17,,50,50,40.59423199999999,17.303760739999927,0.11221302,0.010133320000000001,1.686899759999997,32640,30.28125,31.875,62.15625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,PBC-SMT,1910,20,,50,50,18.622059999999998,15.83628735999994,0.07790176000000003,0.0079564,1.2215102200000005,23040,20.625,22.5,43.125,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,SparseTreePIR,1910,13,,50,50,7.0245560000000005,9.768594819999985,0.038957219999999994,0.00472582,0.6062739000000001,9984,10.96875,9.75,20.71875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,PBC-SMT,15478,26,,50,50,117.17807000000005,32.81570896000004,0.27592433999999993,0.016718540000000004,3.661034060000004,69888,70.6875,68.25,138.9375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,SparseTreePIR,15478,17,,50,50,42.953524000000016,17.471872560000055,0.11785087999999998,0.010884740000000002,1.7376466600000058,32640,33.46875,31.875,65.34375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,FuelLabs SMT test vectors,128,PBC-SMT,198,14,,50,50,3.0685700000000007,9.030519999999989,0.03407252,0.005772779999999998,0.26594905999999946,6144,6,6,12,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
