backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,18.4375,6.890625,0.626271186440678,0.675,0.14,0.7925925925925926,4.757,1.05,0.7792726508303552,0.0,0.0,
PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,170.625,82.34375,0.5173992673992673,6.123,4.995,0.1842234198922097,393.699,182.265,0.5370447981833838,0.0,0.0,
PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,72.1875,35.0,0.5151515151515151,2.59,1.595,0.3841698841698842,62.106,23.267,0.6253663092132805,0.0,0.0,
PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,37.1875,17.1875,0.5378151260504201,2.086,0.698,0.6653883029721956,24.771,6.037,0.7562875943643776,0.0,0.0,
PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,178.75,85.0,0.5244755244755245,9.273,4.448,0.5203278334950932,551.467,176.832,0.679342553588882,0.0,0.0,
PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,59.375,28.4375,0.5210526315789474,2.95,0.713,0.7583050847457627,57.732,10.571,0.8168953093604934,0.0,0.0,
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,9.015400600000017,6.50612875,0.27833170829924214,3.2248110000000008,1.8775709999999999,0.4177733206690254,0.004461100000000001,0.0053789499999999995,-0.20574521978884097
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,32.058299549999965,17.163689799999965,0.464610099695697,110.361719,41.36858099999999,0.6251546154332737,0.015447200000000003,0.00966025,0.37462776425501065
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.938960949999984,10.798849699999979,0.3980225649579784,26.140188999999992,9.82875,0.6239985104927894,0.0073974,0.006010250000000001,0.18751858761186357
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.280784399999993,7.441535049999982,0.3940505095098008,8.587057,3.2041899999999988,0.6268581890163302,0.0061398500000000005,0.004022250000000001,0.3448944192447698
SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,32.44091654999984,17.97870670000002,0.44580151820648517,116.62602299999996,43.754470000000005,0.6248309864771774,0.015085999999999999,0.015307749999999998,-0.014699058729948256
SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.768989800000028,9.652123199999991,0.38790478512453763,19.419717000000006,7.086261,0.6350996773021976,0.0056052,0.004682150000000001,0.16467744237493742
