workload,height,keys,active_nodes,active_width_m,pbc_width,ours_width,width_reduction_pct,pbc_stored_records,ours_stored_records,storage_reduction_pct,pbc_max_bucket,ours_max_bucket,max_bucket_reduction_pct,dummy_fraction_pct
Polygon recent,128,652,1302,12,18,12,33.33333333333333,3906,1302,66.66666666666666,217,109,49.76958525345622,19.36
Polygon recent,256,652,1302,12,18,12,33.33333333333333,3906,1302,66.66666666666666,217,109,49.76958525345622,19.36
Polygon multi-window,128,1348,2694,14,21,14,33.33333333333333,8082,2694,66.66666666666666,385,193,49.87012987012987,23.36
Polygon multi-window,256,1348,2694,14,21,14,33.33333333333333,8082,2694,66.66666666666666,385,193,49.87012987012987,23.36
Polygon broad,128,7040,14078,17,26,17,34.61538461538461,42234,14078,66.66666666666666,1625,829,48.98461538461538,22.86
Polygon broad,256,7040,14078,17,26,17,34.61538461538461,42234,14078,66.66666666666666,1625,829,48.98461538461538,22.86
ZKsync sample,128,956,1910,13,20,13,35.0,5730,1910,66.66666666666666,287,147,48.78048780487805,21.62
ZKsync sample,256,956,1910,13,20,13,35.0,5730,1910,66.66666666666666,287,147,48.78048780487805,21.62
ZKsync broad,128,7740,15478,17,26,17,34.61538461538461,46434,15478,66.66666666666666,1786,911,48.99216125419933,22.03
ZKsync broad,256,7740,15478,17,26,17,34.61538461538461,46434,15478,66.66666666666666,1786,911,48.99216125419933,22.03
