"dataset","source_path","height","key_mode","input_records","unique_keys","occupied_leaves","slot_collisions","active_records","active_width_m","structural_lower_bound","target_batch","scheme","private","width","stored_records","max_bucket","max_bucket_log2","sum_bucket_records","avg_real_slots_per_target","dummy_rate","ordinary_separate_bytes","ordinary_batch_dedup_bytes","private_workload_record_proxy","notes"
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","1","ordinary_smt_batch_serving","False","0","14078","0","","0","13","0.0","416","416","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","1","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13","0.8984375","416","416","680564733841876926926749214863536422912","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","1","pruned_level_pir_h","True","128","14078","2762","","14078","13","0.8984375","416","416","14078","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","1","sparsetreepir_batch_pir","True","17","14078","829","","14078","13","0.23529411764705882","416","416","14078","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","32","ordinary_smt_batch_serving","False","0","14078","0","","0","13","0.0","13312","10176","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","32","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13","0.8984375","13312","10176","21778071482940061661655974875633165533184","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","32","pruned_level_pir_h","True","128","14078","2762","","14078","13","0.8984375","13312","10176","450496","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","32","sparsetreepir_batch_pir","True","17","14078","829","","14078","13","0.23529411764705882","13312","10176","450496","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","128","ordinary_smt_batch_serving","False","0","14078","0","","0","13.25","0.0","54272","33504","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","128","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13.25","0.896484375","54272","33504","87112285931760246646623899502532662132736","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","128","pruned_level_pir_h","True","128","14078","2762","","14078","13.25","0.896484375","54272","33504","1801984","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","128","sha256","7040","7040","7040","0","14078","17","829","128","sparsetreepir_batch_pir","True","17","14078","829","","14078","13.25","0.22058823529411764","54272","33504","1801984","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","1","ordinary_smt_batch_serving","False","0","14078","0","","0","12","0.0","384","384","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","1","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","12","0.953125","384","384","231584178474632390847141970017375815706539969331281128078915168015826259279872","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","1","pruned_level_pir_h","True","256","14078","2762","","14078","12","0.953125","384","384","14078","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","1","sparsetreepir_batch_pir","True","17","14078","829","","14078","12","0.29411764705882354","384","384","14078","Real-data private PIR workload proxy; backend constants depend on packing."
