dataset,dataset_kind,height,key_mode,input_records,unique_keys,occupied_leaves,slot_collisions,active_records,active_width_m,structural_lower_bound,hybrid_max_bucket,sparse_max_bucket,sparse_over_lower,metadata_kb,digest_payload_kb,profile_runtime_ms,total_instance_runtime_ms,valid
Polygon zkEVM recent,deployment-trace,128,sha256,384,384,384,0,766,11,70,83,70,1.0,17.953125,23.9375,101.82480001822114,326.8514000810683,True
Polygon zkEVM recent,deployment-trace,256,sha256,384,384,384,0,766,11,70,83,70,1.0,17.953125,23.9375,101.70429991558194,705.9264997951686,True
Polygon zkEVM multi-window,deployment-trace,128,sha256,1348,1348,1348,0,2694,14,193,236,193,1.0,63.140625,84.1875,728.717299643904,2713.8445996679366,True
Polygon zkEVM multi-window,deployment-trace,256,sha256,1348,1348,1348,0,2694,14,193,236,193,1.0,63.140625,84.1875,726.1786004528403,4660.290599800646,True
Polygon zkEVM broad,deployment-trace,128,sha256,7040,7040,7040,0,14078,17,829,929,829,1.0,329.953125,439.9375,7901.363399811089,41823.48740007728,True
Polygon zkEVM broad,deployment-trace,256,sha256,7040,7040,7040,0,14078,17,829,929,829,1.0,329.953125,439.9375,7861.437199637294,54941.65090005845,True
ZKsync Era sample,deployment-trace,128,sha256,956,956,956,0,1910,13,147,180,147,1.0,44.765625,59.6875,470.17639968544245,1680.3482002578676,True
ZKsync Era sample,deployment-trace,256,sha256,956,956,956,0,1910,13,147,180,147,1.0,44.765625,59.6875,470.3611000441015,5028.328199870884,True
ZKsync Era broad,deployment-trace,128,sha256,7740,7740,7740,0,15478,17,911,1162,911,1.0,362.765625,483.6875,7889.6359000355005,41756.67800009251,True
ZKsync Era broad,deployment-trace,256,sha256,7740,7740,7740,0,15478,17,911,1162,911,1.0,362.765625,483.6875,7814.785299822688,51575.19740005955,True
FuelLabs SMT test vectors,smt-test-vector,128,hex-prefix,174,100,100,0,198,9,22,26,23,1.0454545454545454,4.640625,6.1875,14.28849995136261,57.18280002474785,True
FuelLabs SMT test vectors,smt-test-vector,256,hex-prefix,174,100,100,0,198,9,22,26,23,1.0454545454545454,4.640625,6.1875,14.149399939924479,99.42100010812283,True
