dataset,dataset_kind,source_path,height,key_mode,input_records,unique_keys,occupied_leaves,slot_collisions,active_records,active_width_m,avg_active_path,dummy_fraction,structural_lower_bound,metadata_kb,digest_payload_kb,profile_runtime_ms,valid,scheme,private,width,stored_records,replication,max_bucket,sum_bucket_records,max_bucket_log2,notes
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,plain_smt_proof_serving,False,0,766,1.0,0,0,,Non-private reference: server receives the target and returns ordinary SMT sibling digests.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,perfectized_treepir,True,128,680564733841876926926749214863536422910,1.0,5316911983139663491615228241121378304,680564733841876926926749214863536422910,122.000,Accounting baseline: literal TreePIR-style perfect-tree object before SMT active compaction.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.9305216471354166,70,17.953125,23.9375,101.82480001822114,True,pruned_treepir_h,True,128,766,1.0,168,766,,Pruned TreePIR-style baseline: delete default records but keep the height-h level-color query universe.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,pbc_smt_active,True,17,2298,3.0,136,2298,,PBC-style generic batch route over real SMT active proof records: 3 replicated copies over about 1.5m buckets.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,flat_active_pir,True,11,766,1.0,766,8426,,"Ablation: all active records in one global PIR database, queried m times."
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,first_fit_active_coloring,True,11,766,1.0,210,766,,Correct exact-width active coloring without load refinement.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,hybrid_active_coloring,True,11,766,1.0,83,766,,Prior node-local balancing baseline on the active interval forest.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,128,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.82480001822114,True,sparsetreepir_activebalance,True,11,766,1.0,70,766,,SparseTreePIR direct active-interval organization with subtree-load balancing.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,plain_smt_proof_serving,False,0,766,1.0,0,0,,Non-private reference: server receives the target and returns ordinary SMT sibling digests.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,perfectized_treepir,True,256,231584178474632390847141970017375815706539969331281128078915168015826259279870,1.0,904625697166532776746648320380374280103671755200316906558262375061821325312,231584178474632390847141970017375815706539969331281128078915168015826259279870,249.000,Accounting baseline: literal TreePIR-style perfect-tree object before SMT active compaction.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.9652608235677084,70,17.953125,23.9375,101.70429991558194,True,pruned_treepir_h,True,256,766,1.0,168,766,,Pruned TreePIR-style baseline: delete default records but keep the height-h level-color query universe.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,pbc_smt_active,True,17,2298,3.0,136,2298,,PBC-style generic batch route over real SMT active proof records: 3 replicated copies over about 1.5m buckets.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,flat_active_pir,True,11,766,1.0,766,8426,,"Ablation: all active records in one global PIR database, queried m times."
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,first_fit_active_coloring,True,11,766,1.0,210,766,,Correct exact-width active coloring without load refinement.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,hybrid_active_coloring,True,11,766,1.0,83,766,,Prior node-local balancing baseline on the active interval forest.
Polygon zkEVM recent,deployment-trace,datasets/polygon_zkevm_account_leaf_workload.csv,256,sha256,384,384,384,0,766,11,8.893229166666666,0.19152462121212122,70,17.953125,23.9375,101.70429991558194,True,sparsetreepir_activebalance,True,11,766,1.0,70,766,,SparseTreePIR direct active-interval organization with subtree-load balancing.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,plain_smt_proof_serving,False,0,2694,1.0,0,0,,Non-private reference: server receives the target and returns ordinary SMT sibling digests.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,perfectized_treepir,True,128,680564733841876926926749214863536422910,1.0,5316911983139663491615228241121378304,680564733841876926926749214863536422910,122.000,Accounting baseline: literal TreePIR-style perfect-tree object before SMT active compaction.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.9161721068249258,193,63.140625,84.1875,728.717299643904,True,pruned_treepir_h,True,128,2694,1.0,530,2694,,Pruned TreePIR-style baseline: delete default records but keep the height-h level-color query universe.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,pbc_smt_active,True,21,8082,3.0,385,8082,,PBC-style generic batch route over real SMT active proof records: 3 replicated copies over about 1.5m buckets.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,flat_active_pir,True,14,2694,1.0,2694,37716,,"Ablation: all active records in one global PIR database, queried m times."
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,first_fit_active_coloring,True,14,2694,1.0,772,2694,,Correct exact-width active coloring without load refinement.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,hybrid_active_coloring,True,14,2694,1.0,236,2694,,Prior node-local balancing baseline on the active interval forest.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,128,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,728.717299643904,True,sparsetreepir_activebalance,True,14,2694,1.0,193,2694,,SparseTreePIR direct active-interval organization with subtree-load balancing.
Polygon zkEVM multi-window,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,256,sha256,1348,1348,1348,0,2694,14,10.729970326409495,0.23357354811360745,193,63.140625,84.1875,726.1786004528403,True,plain_smt_proof_serving,False,0,2694,1.0,0,0,,Non-private reference: server receives the target and returns ordinary SMT sibling digests.
