dataset,height,unique_keys,active_records,active_width_m,scheme,width,colors,stored_records_padded,query_samples,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb
Polygon zkEVM recent,128,384,766,11,flat_active_pir,11,11,766,20,1.5408000000000002,9.725725,0.12523,0.12523,0.583255,1792,19.59375,19.25,38.84375
Polygon zkEVM recent,128,384,766,11,pbc_smt_active,17,17,2298,20,6.560600000000001,11.675865000000003,0,0,1.00813,13056,12.75,12.75,25.5
Polygon zkEVM recent,128,384,766,11,sparsetreepir_activebalance,11,11,766,20,0.7628,6.441754999999999,0,0,0.25846,5632,6.1875,5.5,11.6875
Polygon zkEVM multi-window,128,1348,2694,14,flat_active_pir,14,14,2694,20,7.7524999999999995,17.705424999999995,0.16119,0.16119,1.364525,3328,45.9375,45.5,91.4375
Polygon zkEVM multi-window,128,1348,2694,14,pbc_smt_active,21,21,8082,20,27.938300000000005,17.59707499999999,0.126785,0.10051999999999998,2.107929999999999,26880,25.59375,26.25,51.84375
Polygon zkEVM multi-window,128,1348,2694,14,sparsetreepir_activebalance,14,14,2694,20,8.047699999999999,9.63747,0.049695,0.049695,0.9289249999999999,12544,13.125,12.25,25.375
Polygon zkEVM broad,128,7040,14078,17,flat_active_pir,17,17,14078,20,34.4283,43.994544999999974,0.969735,0.70933,7.910209999999999,7680,125.90625,127.5,253.40625
Polygon zkEVM broad,128,7040,14078,17,pbc_smt_active,26,26,42234,20,100.30000000000001,30.852384999999952,0.46574499999999996,0.46574499999999996,4.553750000000001,66560,68.25,65,133.25
Polygon zkEVM broad,128,7040,14078,17,sparsetreepir_activebalance,17,17,14078,20,30.872100000000003,16.55469500000001,0.278605,0.25272,2.787835,32640,30.28125,31.875,62.15625
ZKsync Era sample,128,956,1910,13,flat_active_pir,13,13,1910,20,2.7544,14.044065000000003,0.127455,0.127455,1.3308799999999998,2816,35.34375,35.75,71.09375
ZKsync Era sample,128,956,1910,13,pbc_smt_active,20,20,5730,20,14.302699999999998,14.621520000000013,0.1274,0.1274,1.7270950000000003,23040,20.625,22.5,43.125
ZKsync Era sample,128,956,1910,13,sparsetreepir_activebalance,13,13,1910,20,5.015299999999999,8.791284999999998,0.025174999999999996,0.025174999999999996,0.377215,9984,10.96875,9.75,20.71875
ZKsync Era broad,128,7740,15478,17,flat_active_pir,17,17,15478,20,29.702700000000004,47.31239999999996,1.25949,0.747615,7.783764999999998,7936,133.875,131.75,265.625
ZKsync Era broad,128,7740,15478,17,pbc_smt_active,26,26,46434,20,100.59939999999999,34.47927499999996,0.30621,0.15419,4.090865000000001,69888,70.6875,68.25,138.9375
ZKsync Era broad,128,7740,15478,17,sparsetreepir_activebalance,17,17,15478,20,41.6887,16.72859499999999,0.14992,0.09998499999999999,2.6746849999999993,32640,33.46875,31.875,65.34375
FuelLabs SMT test vectors,128,100,198,9,flat_active_pir,9,9,198,20,1.573,6.0654949999999985,0,0,0.27745,896,8.4375,7.875,16.3125
FuelLabs SMT test vectors,128,100,198,9,pbc_smt_active,14,14,594,20,2.7523999999999997,7.595294999999998,0,0,0.25025,6144,6,6,12
FuelLabs SMT test vectors,128,100,198,9,sparsetreepir_activebalance,9,9,198,20,2.0468,4.926530000000001,0,0,0.27535499999999996,3456,2.53125,3.375,5.90625
