backend,dataset,height,pbc_width,sparse_width,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_parallel_ms,sparse_parallel_ms,parallel_reduction
2server-XOR-PIR-model,FuelLabs SMT test vectors,128,14,9,1.0390625,0.615234375,0.4078947368421053,0.0,0.0,1.0,0.001376,0.000736,0.4651162790697675
2server-XOR-PIR-model,Polygon zkEVM broad,128,26,17,11.953125,4.515625,0.6222222222222222,0.0,0.0,1.0,0.052,0.026528,0.4898461538461538
2server-XOR-PIR-model,Polygon zkEVM multi-window,128,21,14,3.31640625,1.54296875,0.5347467608951708,0.0,0.0,1.0,0.01232,0.006176,0.49870129870129865
2server-XOR-PIR-model,Polygon zkEVM recent,128,17,11,1.626953125,0.880859375,0.4585834333733494,0.0,0.0,1.0,0.004352,0.00224,0.4852941176470589
2server-XOR-PIR-model,ZKsync Era broad,128,26,17,13.0,4.84765625,0.6271033653846154,0.0,0.0,1.0,0.057152,0.029152,0.4899216125419933
2server-XOR-PIR-model,ZKsync Era sample,128,20,13,2.65625,1.294921875,0.5125,0.0,0.0,1.0,0.009184,0.004704,0.4878048780487805
LWE-PIR-prototype-d64,FuelLabs SMT test vectors,128,14,9,4.0703125,1.8984375,0.5335892514395393,0.17648820025897294,0.10331074995519884,0.4146308376219823,0.003149350004605367,0.0016581502222834388,0.47349446080661484
LWE-PIR-prototype-d64,Polygon zkEVM broad,128,26,17,168.2265625,57.1171875,0.6604746203501602,2.2360367496276012,0.7628769003531488,0.658826313798196,0.053831499826628715,0.021348900054363185,0.603412497828965
LWE-PIR-prototype-d64,Polygon zkEVM multi-window,128,21,14,34.1953125,12.2734375,0.6410783641763765,0.5235783996340615,0.24705279997760954,0.5281455458241225,0.010574850102784694,0.006298700009210734,0.4043698068540862
LWE-PIR-prototype-d64,Polygon zkEVM recent,128,17,11,11.1015625,4.3671875,0.6066150598170302,0.27049340033045155,0.14900870032761304,0.4491226028229348,0.005483350150825572,0.0035013999877264723,0.36144876919827884
LWE-PIR-prototype-d64,ZKsync Era broad,128,26,17,184.6328125,62.5859375,0.6610248381500444,2.6959246497426648,0.9094840998386644,0.6626448369298905,0.0743904999580991,0.03335525007059914,0.551619493223104
LWE-PIR-prototype-d64,ZKsync Era sample,128,20,13,24.8828125,9.0859375,0.634850863422292,0.41038069985006587,0.20679729973380745,0.4960842461417858,0.007958600099300384,0.00403300000471063,0.49325258784328685
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,12.0,5.90625,0.5078125,9.119224550000007,6.004988699999991,0.34150226622065294,0.0036797,0.00417285,-0.134019077642199
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,133.25,62.15625,0.5335365853658536,31.277467350000034,17.21683859999996,0.4495449900933254,0.013090599999999999,0.01193145,0.08854827127862741
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,51.84375,25.375,0.510548523206751,18.38017730000002,10.57433789999997,0.42468792724866933,0.00962535,0.006391600000000002,0.33596180918096463
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,25.5,11.6875,0.5416666666666667,12.217529400000005,7.9514472499999895,0.3491771544253468,0.004310999999999999,0.0051771,-0.20090466249130157
SimplePIR-full-api,ZKsync Era broad,128,26,17,138.9375,65.34375,0.5296896086369771,32.045886000000046,18.525059349999946,0.42192082471990566,0.016146399999999998,0.011910500000000001,0.26234330872516465
SimplePIR-full-api,ZKsync Era sample,128,20,13,43.125,20.71875,0.5195652173913043,15.900562850000004,9.494323299999994,0.4028938856085845,0.006460699999999998,0.0047328000000000005,0.267447799774018
