height,sparsity,seed,occupied,active_nodes,exact_width,lower_bound,scheme,width,colors,stored_records_padded,query_samples,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb
20,0.9995,116000,524,1046,12,0,flat_normal_pir_m,12,12,1046,50,5.0408,11.043511999999987,0.07021,0.07021,0.941802,2048,24.75,24,48.75
20,0.9995,116000,524,1046,12,0,pruned_treepir_h,20,20,1048,50,5.5755,9.78344999999999,0.08005,0.08005,0.66235,7808,7.5,7.625,15.125
20,0.9995,116000,524,1046,12,88,profile_balanced,12,12,1046,50,2.5389,6.653822000000004,0.01073,0.01073,0.631224,7680,6.75,7.5,14.25
20,0.99975,116100,262,522,10,0,flat_normal_pir_m,10,10,522,50,0,7.8846199999999955,0.029924,0.029924,0.59624,1536,14.0625,15,29.0625
20,0.99975,116100,262,522,10,0,pruned_treepir_h,20,20,528,50,2.1571,10.122513999999995,0,0,0.41285199999999994,5888,5.71875,5.75,11.46875
20,0.99975,116100,262,522,10,53,profile_balanced,10,10,522,50,3.0492000000000004,5.153905999999999,0.040015999999999996,0.040015999999999996,0.48425400000000013,5120,4.6875,5,9.6875
20,0.9999,116200,105,208,9,0,flat_normal_pir_m,9,9,208,50,1.0297,5.963743999999999,0.050342000000000005,0.050342000000000005,0.15794,896,8.4375,7.875,16.3125
20,0.9999,116200,105,208,9,0,pruned_treepir_h,20,20,216,50,3.1087,9.136810000000004,0.03777,0.03777,0.37101799999999996,4352,3.75,4.25,8
20,0.9999,116200,105,208,9,24,profile_balanced,9,9,208,50,1.5674000000000001,4.779721999999998,0.020262,0.020262,0.23149799999999998,3456,2.53125,3.375,5.90625
24,0.9995,120000,8389,16776,17,0,flat_normal_pir_m,17,17,16776,50,37.578300000000006,44.06260600000003,1.9279179999999996,0.9750880000000001,7.902591999999998,8320,138.65625,138.125,276.78125
24,0.9995,120000,8389,16776,17,0,pruned_treepir_h,24,24,16776,50,41.88770000000002,17.377599999999997,0.25071800000000005,0.230792,1.9781659999999996,30080,29.625,29.375,59
24,0.9995,120000,8389,16776,17,987,profile_balanced,17,17,16776,50,40.273199999999996,16.275354000000004,0.17462000000000003,0.17462000000000003,1.981682,34816,33.46875,34,67.46875
24,0.99975,120100,4194,8386,16,0,flat_normal_pir_m,16,16,8386,50,17.4677,30.58132600000007,0.6961839999999999,0.46192000000000005,5.312385999999999,5888,91.5,92,183.5
24,0.99975,120100,4194,8386,16,0,pruned_treepir_h,24,24,8387,50,28.186300000000003,15.441315999999986,0.078488,0.078488,1.2419740000000001,21632,21.28125,21.125,42.40625
24,0.99975,120100,4194,8386,16,525,profile_balanced,16,16,8386,50,25.341500000000007,12.573903999999992,0.091378,0.091378,1.6226779999999998,24448,22.59375,23.875,46.46875
24,0.9999,120200,1678,3354,14,0,flat_normal_pir_m,14,14,3354,50,7.8063,18.49309599999999,0.431986,0.38163199999999997,2.3770519999999995,3712,51.1875,50.75,101.9375
24,0.9999,120200,1678,3354,14,0,pruned_treepir_h,24,24,3357,50,7.6646,13.915977999999985,0.05039400000000001,0.05039400000000001,0.848394,13952,13.59375,13.625,27.21875
24,0.9999,120200,1678,3354,14,240,profile_balanced,14,14,3354,50,9.343,9.229716000000002,0.030108000000000003,0.030108000000000003,0.982864,14336,13.125,14,27.125
