height,sparsity,seed,occupied,active_nodes,exact_width,lower_bound,scheme,width,colors,stored_records_padded,query_samples,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb
20,0.9995,116000,524,1046,12,0,flat_normal_pir_m,12,12,1046,50,3.8923000000000005,10.684030000000002,0.14040399999999997,0.14040399999999997,0.625588,2048,24.75,24,48.75
20,0.9995,116000,524,1046,12,0,pbc_active,18,18,3138,50,7.2078999999999995,11.096053999999995,0.053962,0.053962,1.4027660000000006,16128,15.1875,15.75,30.9375
20,0.9995,116000,524,1046,12,0,pruned_treepir_h,20,20,1048,50,4.6151,9.990679999999996,0.050926,0.050926,0.6461779999999999,7808,7.5,7.625,15.125
20,0.9995,116000,524,1046,12,88,profile_balanced,12,12,1046,50,2.066,6.605761999999999,0.070294,0.070294,0.620874,7680,6.75,7.5,14.25
20,0.99975,116100,262,522,10,0,flat_normal_pir_m,10,10,522,50,1.0444,7.562168000000005,0.040068,0.040068,0.48040199999999994,1536,14.0625,15,29.0625
20,0.99975,116100,262,522,10,0,pbc_active,15,15,1566,50,3.1611,8.719512,0.110682,0.090696,0.7793139999999998,9600,9.84375,9.375,19.21875
20,0.99975,116100,262,522,10,0,pruned_treepir_h,20,20,528,50,2.0629,9.470861999999997,0.08258800000000001,0.08258800000000001,0.33480399999999993,5888,5.71875,5.75,11.46875
20,0.99975,116100,262,522,10,53,profile_balanced,10,10,522,50,3.0667,5.129067999999998,0,0,0.4321900000000001,5120,4.6875,5,9.6875
20,0.9999,116200,105,208,9,0,flat_normal_pir_m,9,9,208,50,0.5231,6.137982000000006,0.019994,0.019994,0.190796,896,8.4375,7.875,16.3125
20,0.9999,116200,105,208,9,0,pbc_active,14,14,624,50,1.0018,7.109229999999996,0.040032,0.040032,0.535206,7168,5.25,7,12.25
20,0.9999,116200,105,208,9,0,pruned_treepir_h,20,20,216,50,1.0048,9.100442000000001,0.050238000000000005,0.050238000000000005,0.385896,4352,3.75,4.25,8
20,0.9999,116200,105,208,9,24,profile_balanced,9,9,208,50,1.5745,4.431104000000002,0.060046,0.060046,0.18011200000000002,3456,2.53125,3.375,5.90625
24,0.9995,120000,8389,16776,17,0,flat_normal_pir_m,17,17,16776,50,33.0415,42.66339200000007,1.403734,0.7486019999999999,7.505832000000003,8320,138.65625,138.125,276.78125
24,0.9995,120000,8389,16776,17,0,pbc_active,26,26,50328,50,96.98089999999998,29.720630000000046,0.5808719999999998,0.44611799999999996,4.469446000000001,73216,73.125,71.5,144.625
24,0.9995,120000,8389,16776,17,0,pruned_treepir_h,24,24,16776,50,37.4882,17.60271800000003,0.09214400000000002,0.071548,1.806416000000001,30080,29.625,29.375,59
24,0.9995,120000,8389,16776,17,987,profile_balanced,17,17,16776,50,40.76809999999999,15.639446000000007,0.21188999999999997,0.19195599999999996,1.8777559999999993,34688,33.65625,33.875,67.53125
24,0.99975,120100,4194,8386,16,0,flat_normal_pir_m,16,16,8386,50,16.274099999999997,29.179235999999957,0.45818,0.3673120000000001,4.820184,5888,91.5,92,183.5
24,0.99975,120100,4194,8386,16,0,pbc_active,24,24,25158,50,55.671,23.467868000000013,0.292256,0.281468,2.986664,49152,49.5,48,97.5
24,0.99975,120100,4194,8386,16,0,pruned_treepir_h,24,24,8387,50,20.526100000000003,15.068254000000001,0.153484,0.133488,1.5359279999999993,21632,21.28125,21.125,42.40625
24,0.99975,120100,4194,8386,16,525,profile_balanced,16,16,8386,50,24.863200000000003,12.773164000000007,0.080472,0.070238,1.281274,24320,22.6875,23.75,46.4375
24,0.9999,120200,1678,3354,14,0,flat_normal_pir_m,14,14,3354,50,6.466800000000001,17.578670000000002,0.25292800000000004,0.24250200000000002,2.2589659999999996,3712,51.1875,50.75,101.9375
24,0.9999,120200,1678,3354,14,0,pbc_active,21,21,10062,50,22.325400000000002,15.879085999999994,0.20211800000000005,0.18204400000000004,1.9178820000000005,29568,29.53125,28.875,58.40625
24,0.9999,120200,1678,3354,14,0,pruned_treepir_h,24,24,3357,50,8.0229,12.451995999999985,0.160272,0.160272,1.2936500000000002,13952,13.59375,13.625,27.21875
24,0.9999,120200,1678,3354,14,240,profile_balanced,14,14,3354,50,9.156400000000001,8.723798000000002,0.02435,0.02435,1.3664260000000001,14336,13.21875,14,27.21875
