dataset,dataset_kind,source_path,source_mode,coloring_strategy,height,prefix_bits,seed,epoch,target_occupied,actual_occupied,input_records,unique_source_keys,active_nodes,active_width_m,structural_lower_bound,pbc_width,sparse_width,pbc_stored_records,sparse_stored_records,pbc_max_bucket,sparse_max_bucket,width_gain,stored_record_gain,max_bucket_gain,activebalance_ms,total_snapshot_build_ms,peak_memory_mb,changed_fraction_from_previous,jaccard_with_previous,activebalance_ms_per_changed_leaf,valid,skipped,skip_reason
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-exact,hybrid,128,24,537616,0,1000,1000,7040,7040,1998,13,154,20,13,5994,1998,300,184,1.5384615384615385,3.0,1.6304347826086956,893.1123809998098,906.4357160004874,0.9110164642333984,,,0.8931123809998098,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-exact,hybrid,128,24,537617,1,1000,1000,7040,7040,1998,13,154,20,13,5994,1998,300,186,1.5384615384615385,3.0,1.6129032258064515,210.56330600004003,223.20665400002326,0.9090423583984375,0.098,0.9065776930409915,2.1486051632657146,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-exact,hybrid,128,24,537618,2,1000,1000,7040,7040,1998,13,154,20,13,5994,1998,300,200,1.5384615384615385,3.0,1.5,212.41539100083173,225.05696900043404,0.9079437255859375,0.1,0.9047619047619048,2.1241539100083173,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,541715,0,10000,10000,7040,7040,19998,19,1053,29,19,59994,19998,2069,1241,1.5263157894736843,3.0,1.6672038678485093,41177.41164600011,41377.48222499977,8.867664337158203,,,4.117741164600011,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,541716,1,10000,10000,7040,7040,19998,19,1053,29,19,59994,19998,2069,1182,1.5263157894736843,3.0,1.7504230118443316,34129.752308001116,34321.93274400015,8.867557525634766,0.0266,0.9737491364847528,128.3073395037636,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,541717,2,10000,10000,7040,7040,19998,19,1053,29,19,59994,19998,2069,1232,1.5263157894736843,3.0,1.6793831168831168,41099.94951600129,41294.79781200098,8.867305755615234,0.0308,0.9696671262556628,133.44139453247172,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,545814,0,100000,100000,7040,7040,199998,23,8696,35,23,599994,199998,17143,9815,1.5217391304347827,3.0,1.7466123280692818,537164.5933719992,539546.9439829994,89.06208801269531,,,5.371645933719992,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,545815,1,100000,100000,7040,7040,199998,24,8334,36,24,599994,199998,16667,9310,1.5,3.0,1.7902255639097744,615169.0548840015,617486.3074650002,89.06136703491211,0.09256,0.9115341973467905,66.46165242912721,True,False,
Polygon zkEVM broad,deployment-trace,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,real-trace-bootstrapped-prefix24,hybrid,128,24,545816,2,100000,100000,7040,7040,199998,24,8334,36,24,599994,199998,16667,9294,1.5,3.0,1.7933075102216485,34790.11622100006,37120.92680400019,89.06117630004883,0.0932,0.9109497420217848,3.7328450880901354,True,False,
ZKsync Era broad,deployment-trace,datasets/zksync_era_account_leaf_workload_broad_sample.csv,real-trace-exact,hybrid,128,24,637616,0,1000,1000,7740,7740,1998,14,143,21,14,5994,1998,286,171,1.5,3.0,1.672514619883041,1107.302749000155,1120.3467160012224,0.9018630981445312,,,1.107302749000155,True,False,
