backend,dataset,height,seeds,query_samples_per_seed,active_records,metadata_kb,digest_payload_kb,activebalance_profile_ms,pbc_width,sparse_width,width_gain,pbc_stored_records,sparse_stored_records,stored_record_gain,pbc_max_bucket,sparse_max_bucket,max_bucket_gain,pbc_backend_setup_ms,sparse_backend_setup_ms,backend_setup_reduction,sparse_profile_plus_backend_setup_ms,pbc_backend_online_latency_ms,sparse_backend_online_latency_ms,backend_online_latency_reduction,pbc_online_kb,sparse_online_kb,online_kb_reduction,pbc_upload_kb,sparse_upload_kb,pbc_download_kb,sparse_download_kb
PIANO-local-runner,FuelLabs SMT test vectors,128,3,50,198,4.640625,6.1875,28.08737099985592,14,9,1.5555555555555556,594,198,3.0,43,23,1.8695652173913044,3.2110000000000003,1.1266666666666667,0.6491228070175439,29.214037666522586,0.7093333333333333,0.20133333333333334,0.7161654135338346,22.125,6.890625,0.6885593220338984,19.5,5.90625,2.625,0.984375
PIANO-local-runner,Polygon zkEVM broad,128,3,50,14078,329.953125,439.9375,11875.083095999798,26,17,1.5294117647058822,42234,14078,3.0,1625,829,1.9601930036188178,409.8933333333334,136.30066666666667,0.667472838462039,12011.383762666464,17.196333333333335,8.431666666666667,0.5096822966136192,426.5625,205.859375,0.5173992673992673,416.40625,199.21875,10.15625,6.640625
PIANO-local-runner,Polygon zkEVM multi-window,128,3,50,2694,63.140625,84.1875,1056.6277779998927,21,14,1.5,8082,2694,3.0,385,193,1.994818652849741,84.19366666666666,28.671666666666667,0.659455778542329,1085.2994446665593,9.112666666666668,4.171666666666667,0.5422123052161827,180.46875,87.5,0.5151515151515151,172.265625,82.03125,8.203125,5.46875
PIANO-local-runner,Polygon zkEVM recent,128,3,50,766,17.953125,23.9375,145.40855499944882,17,11,1.5454545454545454,2298,766,3.0,136,70,1.9428571428571428,18.168666666666667,5.149666666666667,0.7165633141305545,150.5582216661155,3.5676666666666668,0.9646666666666666,0.7296085209754275,92.96875,30.078125,0.6764705882352942,86.328125,27.070312,6.640625,3.007812
PIANO-local-runner,ZKsync Era broad,128,3,50,15478,362.765625,483.6875,11837.724299000001,26,17,1.5294117647058822,46434,15478,3.0,1786,911,1.960482985729967,537.7603333333333,169.84733333333332,0.6841579365281063,12007.571632333334,21.558,10.595666666666666,0.5085041902464669,446.875,212.5,0.5244755244755245,436.71875,205.859375,10.15625,6.640625
PIANO-local-runner,ZKsync Era sample,128,3,50,1910,44.765625,59.6875,681.7101500000717,20,13,1.5384615384615385,5730,1910,3.0,287,147,1.9523809523809523,50.327999999999996,17.243000000000002,0.6573875377523446,698.9531500000718,6.255333333333333,3.306,0.47149099435148667,148.4375,71.09375,0.5210526315789474,140.625,66.015625,7.8125,5.078125
SimplePIR-full-api,FuelLabs SMT test vectors,128,3,50,198,4.640625,6.1875,28.08737099985592,14,9,1.5555555555555556,594,198,3.0,43,23,1.8695652173913044,3.8269976666666663,1.9206176666666666,0.4981398386010687,30.007988666522586,9.243941986666659,6.313409033333326,0.3170219974941746,12.0,5.90625,0.5078125,6.0,2.53125,6.0,3.375
SimplePIR-full-api,Polygon zkEVM broad,128,3,50,14078,329.953125,439.9375,11875.083095999798,26,17,1.5294117647058822,42234,14078,3.0,1625,829,1.9601930036188178,109.26195433333329,42.623486000000014,0.609896360905595,11917.706581999799,34.0906584933333,18.54337262000002,0.456057071363807,133.25,62.15625,0.5335365853658536,68.25,30.28125,65.0,31.875
SimplePIR-full-api,Polygon zkEVM multi-window,128,3,50,2694,63.140625,84.1875,1056.6277779998927,21,14,1.5,8082,2694,3.0,385,193,1.994818652849741,24.452272000000004,9.778276666666665,0.6001076437123445,1066.4060546665594,18.88251455999999,11.108038799999994,0.411728837030485,51.84375,25.375,0.510548523206751,25.59375,13.125,26.25,12.25
SimplePIR-full-api,Polygon zkEVM recent,128,3,50,766,17.953125,23.9375,145.40855499944882,17,11,1.5454545454545454,2298,766,3.0,136,70,1.9428571428571428,8.579873000000001,4.222883333333333,0.5078151700691453,149.63143833278215,12.648327973333318,7.650229393333322,0.3951588376374784,25.5,11.6875,0.5416666666666667,12.75,6.1875,12.75,5.5
SimplePIR-full-api,ZKsync Era broad,128,3,50,15478,362.765625,483.6875,11837.724299000001,26,17,1.5294117647058822,46434,15478,3.0,1786,911,1.960482985729967,116.75199833333333,42.57211733333333,0.6353628379722666,11880.296416333334,35.18681536666668,19.040574926666686,0.4588718891365121,138.9375,65.34375,0.5296896086369771,70.6875,33.46875,68.25,31.875
SimplePIR-full-api,ZKsync Era sample,128,3,50,1910,44.765625,59.6875,681.7101500000717,20,13,1.5384615384615385,5730,1910,3.0,287,147,1.9523809523809523,17.808487000000003,8.705784333333334,0.5111440779144611,690.4159343334051,16.78597803999999,9.885266813333322,0.4110997411186099,43.125,20.71875,0.5195652173913043,20.625,10.96875,22.5,9.75
