backend,dataset,height,seeds,pbc_width,sparse_width,width_reduction_mean,width_reduction_std,max_bucket_reduction_mean,max_bucket_reduction_std,online_reduction_mean,online_reduction_std,query_reduction_mean,query_reduction_std,server_total_reduction_mean,server_total_reduction_std,setup_reduction_mean,setup_reduction_std
PIANO-local-runner,FuelLabs SMT test vectors,128,3,14,9,0.3571428571428571,0.0,0.4651162790697675,0.0,0.6885593220338984,0.0,0.7253990580201739,0.046801563199025356,,,0.6425735766252004,0.10432110463900061
PIANO-local-runner,Polygon zkEVM broad,128,3,26,17,0.34615384615384615,0.0,0.4898461538461538,0.0,0.5173992673992673,0.0,0.5075839569070526,0.025595051854806157,,,0.6636299126348183,0.025931380835025872
PIANO-local-runner,Polygon zkEVM multi-window,128,3,21,14,0.33333333333333337,0.0,0.49870129870129876,0.0,0.5151515151515151,0.0,0.5422879407764178,0.00545034800412564,,,0.659556585193193,0.014232015757604055
PIANO-local-runner,Polygon zkEVM recent,128,3,17,11,0.3529411764705882,0.0,0.4852941176470589,0.0,0.6764705882352942,0.0,0.6934950870062331,0.14963769701868357,,,0.678250564300767,0.15803618284856064
PIANO-local-runner,ZKsync Era broad,128,3,26,17,0.34615384615384615,0.0,0.4899216125419933,0.0,0.5244755244755245,0.0,0.5078301617605211,0.018285348881363385,1.0,0.0,0.6831893293395774,0.01717079079225728
PIANO-local-runner,ZKsync Era sample,128,3,20,13,0.35,0.0,0.4878048780487805,0.0,0.5210526315789474,0.0,0.4729626864579472,0.049432784798367574,,,0.6578050913157382,0.017201358254981994
SimplePIR-full-api,FuelLabs SMT test vectors,128,3,14,9,0.3571428571428571,0.0,,,0.5078125,0.0,0.3113455033206373,0.057623611034212076,0.2501938221942871,0.12390197808643987,0.4982574616043648,0.04844061267062198
SimplePIR-full-api,Polygon zkEVM broad,128,3,26,17,0.34615384615384615,0.0,,,0.5335365853658536,0.0,0.4509637356771726,0.0010912999698363336,0.5151186906591438,0.007228056986722395,0.6098366024518018,0.02644480879583744
SimplePIR-full-api,Polygon zkEVM multi-window,128,3,21,14,0.33333333333333337,0.0,,,0.510548523206751,0.0,0.3999111296218963,0.0017324020176895931,0.44274443012304016,0.01555788707416358,0.5999305558854757,0.03052097536999064
SimplePIR-full-api,Polygon zkEVM recent,128,3,17,11,0.3529411764705882,0.0,,,0.5416666666666667,0.0,0.38210667634554724,0.004215329599075503,0.3383594278988266,0.018965155976387905,0.5079111721776749,0.033355245540637186
SimplePIR-full-api,ZKsync Era broad,128,3,26,17,0.34615384615384615,0.0,,,0.5296896086369771,0.0,0.45049323680000114,0.004558469014401957,0.5683145378949698,0.005115212921107006,0.6352727506513359,0.008757903390594408
SimplePIR-full-api,ZKsync Era sample,128,3,20,13,0.35,0.0,,,0.5195652173913043,0.0,0.3962794581371698,0.0020037057841207372,0.5234848284226347,0.011380024408075375,0.5114149561578988,0.04055442707855548
