dataset,dataset_kind,height,key_mode,input_records,unique_keys,occupied_leaves,slot_collisions,active_records,active_width_m,structural_lower_bound,hybrid_max_bucket,sparse_max_bucket,sparse_over_lower,metadata_kb,digest_payload_kb,profile_runtime_ms,total_instance_runtime_ms,valid
Polygon zkEVM recent,deployment-trace,128,sha256,384,384,384,0,766,11,70,83,70,1.0,17.953125,23.9375,145.40855499944882,513.9088309997533,True
Polygon zkEVM recent,deployment-trace,256,sha256,384,384,384,0,766,11,70,83,70,1.0,17.953125,23.9375,170.18290200030606,862.6357210005153,True
Polygon zkEVM multi-window,deployment-trace,128,sha256,1348,1348,1348,0,2694,14,193,236,193,1.0,63.140625,84.1875,1056.6277779998927,3558.519365000393,True
Polygon zkEVM multi-window,deployment-trace,256,sha256,1348,1348,1348,0,2694,14,193,236,193,1.0,63.140625,84.1875,1057.957226000326,4996.1441690002175,True
Polygon zkEVM broad,deployment-trace,128,sha256,7040,7040,7040,0,14078,17,829,929,829,1.0,329.953125,439.9375,11875.083095999798,65500.96036499963,True
Polygon zkEVM broad,deployment-trace,256,sha256,7040,7040,7040,0,14078,17,829,929,829,1.0,329.953125,439.9375,11722.692421999454,72167.33700399983,True
ZKsync Era sample,deployment-trace,128,sha256,956,956,956,0,1910,13,147,180,147,1.0,44.765625,59.6875,681.7101500000717,2933.018949000143,True
ZKsync Era sample,deployment-trace,256,sha256,956,956,956,0,1910,13,147,180,147,1.0,44.765625,59.6875,751.3845009998477,3698.6379629997828,True
ZKsync Era broad,deployment-trace,128,sha256,7740,7740,7740,0,15478,17,911,1162,911,1.0,362.765625,483.6875,11837.724299000001,64192.00323399946,True
ZKsync Era broad,deployment-trace,256,sha256,7740,7740,7740,0,15478,17,911,1162,911,1.0,362.765625,483.6875,12189.872189999733,71593.95919899998,True
FuelLabs SMT test vectors,smt-test-vector,128,hex-prefix,174,100,100,0,198,9,22,26,23,1.0454545454545454,4.640625,6.1875,28.08737099985592,92.47391400003835,True
FuelLabs SMT test vectors,smt-test-vector,256,hex-prefix,174,100,100,0,198,9,22,26,23,1.0454545454545454,4.640625,6.1875,20.446232999347558,263.9332229991851,True
