dataset,height,target_batch,unique_keys,active_records,active_width_m,avg_real_slots_per_target,ordinary_separate_bytes,ordinary_batch_dedup_bytes,plain_payload_vs_single_target,notes
Polygon zkEVM recent,128,1,384,766,11,8,256,256,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM recent,128,32,384,766,11,8.78125,8992,5760,20.498220640569397,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM recent,128,128,384,766,11,8.8203125,36128,14528,51.472099202834364,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM recent,256,1,384,766,11,7,224,224,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM recent,256,32,384,766,11,8.875,9088,5824,20.507042253521128,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM recent,256,128,384,766,11,8.90625,36480,15008,52.65964912280702,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,128,1,1348,2694,14,11,352,352,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,128,32,1348,2694,14,11.03125,11296,8064,22.844192634560905,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,128,128,1348,2694,14,10.640625,43584,22432,65.87958883994126,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,256,1,1348,2694,14,10,320,320,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,256,32,1348,2694,14,10.875,11136,7936,22.804597701149426,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM multi-window,256,128,1348,2694,14,10.7109375,43872,22560,65.82056892778994,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,128,1,7040,14078,17,13,416,416,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,128,32,7040,14078,17,13,13312,10176,24.46153846153846,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,128,128,7040,14078,17,13.25,54272,33504,79.01886792452831,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,256,1,7040,14078,17,12,384,384,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,256,32,7040,14078,17,13.15625,13472,10304,24.475059382422803,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
Polygon zkEVM broad,256,128,7040,14078,17,13.203125,54080,33344,78.9207100591716,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,128,1,956,1910,13,11,352,352,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,128,32,956,1910,13,10.28125,10528,7296,22.17629179331307,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,128,128,956,1910,13,10.25,41984,20640,62.926829268292686,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,256,1,956,1910,13,8,256,256,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,256,32,956,1910,13,10.28125,10528,7328,22.273556231003038,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era sample,256,128,956,1910,13,10.1875,41728,20448,62.7239263803681,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,128,1,7740,15478,17,13,416,416,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,128,32,7740,15478,17,13.21875,13536,10400,24.58628841607565,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,128,128,7740,15478,17,13.2734375,54368,33632,79.18069452619187,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,256,1,7740,15478,17,12,384,384,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,256,32,7740,15478,17,13.53125,13856,10656,24.60969976905312,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
ZKsync Era broad,256,128,7740,15478,17,13.359375,54720,33792,79.04561403508772,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,128,1,100,198,9,9,288,288,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,128,32,100,198,9,6.6875,6848,3552,16.598130841121495,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,128,100,100,198,9,6.88,22016,6336,28.77906976744186,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,256,1,100,198,9,6,192,192,1.0,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,256,32,100,198,9,6.9375,7104,3744,16.864864864864863,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
FuelLabs SMT test vectors,256,100,100,198,9,6.88,22016,6336,28.77906976744186,Non-private ordinary SMT batch proof serving over real target samples; server knows targets.
