dataset,method,policy,N,colors,max_bucket,directory_and_slots_bytes,full_cache_package_bytes,hint_bytes,expanded_A_bytes,seed_bytes,upload_matrix_bytes,download_matrix_bytes,online_matrix_bytes,seeded_core_bootstrap_bytes,cache_dominates_bytes_for_all_Q_ge_0,break_even_Q_excluding_framing
Fuel vectors,first_fit,eight_chunks_square,198,9,58,6442,12714,2621440,2293760,1152,2592,2560,5152,2629034,True,0
Fuel vectors,first_fit,long_record_square,198,9,58,6442,12714,1277952,512000,144,552,1248,1800,1284538,True,0
Fuel vectors,first_fit,long_record_one_record_row,198,9,58,6442,12714,958464,811008,144,840,936,1776,965050,True,0
Fuel vectors,first_fit,long_record_min_total_Q1,198,9,58,6442,12714,958464,811008,144,840,936,1776,965050,True,0
Fuel vectors,first_fit,long_record_min_total_Q10,198,9,58,6442,12714,958464,811008,144,840,936,1776,965050,True,0
Fuel vectors,first_fit,long_record_min_total_Q100,198,9,58,6442,12714,958464,811008,144,840,936,1776,965050,True,0
Fuel vectors,first_fit,long_record_min_total_Q1000,198,9,58,6442,12714,958464,811008,144,840,936,1776,965050,True,0
Fuel vectors,first_fit,long_record_min_total_Q10000,198,9,58,6442,12714,1064960,692224,144,720,1040,1760,1071546,True,0
Fuel vectors,activebalance,eight_chunks_square,198,9,23,6442,12714,3538944,2326528,1152,2592,3456,6048,3546538,True,0
Fuel vectors,activebalance,long_record_square,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_one_record_row,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_min_total_Q1,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_min_total_Q10,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_min_total_Q100,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_min_total_Q1000,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,activebalance,long_record_min_total_Q10000,198,9,23,6442,12714,958464,811008,144,852,936,1788,965050,True,0
Fuel vectors,nonempty_depth,eight_chunks_square,198,11,40,6458,12714,3014656,2654208,1408,3072,2944,6016,3022522,True,0
Fuel vectors,nonempty_depth,long_record_square,198,11,40,6458,12714,1490944,573440,176,612,1456,2068,1497578,True,0
Fuel vectors,nonempty_depth,long_record_one_record_row,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Fuel vectors,nonempty_depth,long_record_min_total_Q1,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Fuel vectors,nonempty_depth,long_record_min_total_Q10,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Fuel vectors,nonempty_depth,long_record_min_total_Q100,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Fuel vectors,nonempty_depth,long_record_min_total_Q1000,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Fuel vectors,nonempty_depth,long_record_min_total_Q10000,198,11,40,6458,12714,1171456,811008,176,840,1144,1984,1178090,True,0
Polygon broad,first_fit,eight_chunks_square,14078,17,3844,450666,901034,23461888,22642688,2176,22944,22912,45856,23914730,True,0
Polygon broad,first_fit,long_record_square,14078,17,3844,450666,901034,8306688,6639616,272,6588,8112,14700,8757626,True,0
Polygon broad,first_fit,long_record_one_record_row,14078,17,3844,450666,901034,1810432,57663488,272,56400,1768,58168,2261370,True,0
Polygon broad,first_fit,long_record_min_total_Q1,14078,17,3844,450666,901034,1810432,57663488,272,56400,1768,58168,2261370,True,0
Polygon broad,first_fit,long_record_min_total_Q10,14078,17,3844,450666,901034,1810432,57663488,272,56400,1768,58168,2261370,True,0
Polygon broad,first_fit,long_record_min_total_Q100,14078,17,3844,450666,901034,2981888,21807104,272,21396,2912,24308,3432826,True,0
Polygon broad,first_fit,long_record_min_total_Q1000,14078,17,3844,450666,901034,5431296,10395648,272,10248,5304,15552,5882234,True,0
Polygon broad,first_fit,long_record_min_total_Q10000,14078,17,3844,450666,901034,7241728,7626752,272,7524,7072,14596,7692666,True,0
Polygon broad,activebalance,eight_chunks_square,14078,17,829,450666,901034,33423360,31195136,2176,31008,32640,63648,33876202,True,0
Polygon broad,activebalance,long_record_square,14078,17,829,450666,901034,10862592,9625600,272,9432,10608,20040,11313530,True,0
Polygon broad,activebalance,long_record_one_record_row,14078,17,829,450666,901034,1810432,57663488,272,56352,1768,58120,2261370,True,0
Polygon broad,activebalance,long_record_min_total_Q1,14078,17,829,450666,901034,1810432,57663488,272,56352,1768,58120,2261370,True,0
Polygon broad,activebalance,long_record_min_total_Q10,14078,17,829,450666,901034,1810432,57663488,272,56352,1768,58120,2261370,True,0
Polygon broad,activebalance,long_record_min_total_Q100,14078,17,829,450666,901034,3620864,28844032,272,28200,3536,31736,4071802,True,0
Polygon broad,activebalance,long_record_min_total_Q1000,14078,17,829,450666,901034,7241728,14430208,272,14124,7072,21196,7692666,True,0
Polygon broad,activebalance,long_record_min_total_Q10000,14078,17,829,450666,901034,10436608,10067968,272,9864,10192,20056,10887546,True,0
Polygon broad,nonempty_depth,eight_chunks_square,14078,26,2762,450738,901034,28442624,27361280,3328,27840,27776,55616,28896690,True,0
Polygon broad,nonempty_depth,long_record_square,14078,26,2762,450738,901034,10330112,7884800,416,7836,10088,17924,10781266,True,0
Polygon broad,nonempty_depth,long_record_one_record_row,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q1,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q10,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q100,14078,26,2762,450738,901034,3940352,26075136,416,25596,3848,29444,4391506,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q1000,14078,26,2762,450738,901034,6922240,12238848,416,12072,6760,18832,7373394,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q10000,14078,26,2762,450738,901034,9158656,8916992,416,8844,8944,17788,9609810,True,0
Polygon multi,first_fit,eight_chunks_square,2694,14,772,86354,172458,10223616,9797632,1792,10080,9984,20064,10311762,True,0
Polygon multi,first_fit,long_record_square,2694,14,772,86354,172458,4046848,2584576,224,2592,3952,6544,4133426,True,0
Polygon multi,first_fit,long_record_one_record_row,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q1,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q10,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q100,2694,14,772,86354,172458,1703936,8196096,224,8076,1664,9740,1790514,True,0
