method,queries_in_one_unchanged_snapshot,measured_bootstrap_bytes,measured_online_bytes_per_query,projected_total_application_wire_bytes
first_fit,0,12279233,17568,12279233
activebalance,0,15392350,20832,15392350
nonempty_depth,0,14383745,21344,14383745
full_cache,0,65566,0,65566
first_fit,1,12279233,17568,12296801
activebalance,1,15392350,20832,15413182
nonempty_depth,1,14383745,21344,14405089
full_cache,1,65566,0,65566
first_fit,10,12279233,17568,12454913
activebalance,10,15392350,20832,15600670
nonempty_depth,10,14383745,21344,14597185
full_cache,10,65566,0,65566
first_fit,100,12279233,17568,14036033
activebalance,100,15392350,20832,17475550
nonempty_depth,100,14383745,21344,16518145
full_cache,100,65566,0,65566
first_fit,1000,12279233,17568,29847233
activebalance,1000,15392350,20832,36224350
nonempty_depth,1000,14383745,21344,35727745
full_cache,1000,65566,0,65566
first_fit,10000,12279233,17568,187959233
activebalance,10000,15392350,20832,223712350
nonempty_depth,10000,14383745,21344,227823745
full_cache,10000,65566,0,65566
