height,repeat,method,proofs,max_bucket,hint_bytes,public_A_bytes,cache_digest_payload_bytes,client_query_ms,server_answer_ms,client_decode_ms,backend_wall_ms,online_total_bytes
4,0,treepir_official,16,8,1048576,524288,960,2.8588068125,0.0106541875,0.060541687500000003,2.937139625,1792
4,0,first_fit,16,16,786432,589824,960,2.4148813125,0.011081375000000001,0.062324125,2.496173625,1536
4,0,activebalance,16,8,1048576,524288,960,2.332202375,0.0078669375,0.050379875000000005,2.398542875,1792
4,1,activebalance,16,8,1048576,524288,960,2.3061318125,0.0082554375,0.0813398125,2.402302375,1792
4,1,first_fit,16,16,786432,589824,960,2.1207941249999998,0.007403437499999999,0.0365316875,2.170750625,1536
4,1,treepir_official,16,8,1048576,524288,960,2.2775105625000003,0.008810374999999999,0.0524244375,2.344378,1792
4,2,treepir_official,16,8,1048576,524288,960,2.1615339375000002,0.007427875,0.0424810625,2.2171805625,1792
4,2,activebalance,16,8,1048576,524288,960,2.2349424375,0.0081746875,0.0512241875,2.29994075,1792
4,2,first_fit,16,16,786432,589824,960,2.1929751875,0.01076475,0.051264437499999996,2.26181025,1536
10,0,activebalance,32,205,9175040,9830400,65472,7.7454156562500005,0.0547793125,0.7310752500000001,8.56376278125,18560
10,0,treepir_official,32,205,9175040,9830400,65472,8.36813946875,0.0537725,0.71928571875,9.17428084375,18560
10,0,first_fit,32,1024,7208960,6750208,65472,8.883314531249999,0.0600113125,0.57133578125,9.54486996875,14144
10,1,treepir_official,32,205,9175040,9830400,65472,8.1957694375,0.0510913125,0.7516011874999999,9.02996965625,18560
10,1,activebalance,32,205,9175040,9830400,65472,7.8027860625,0.05115475,0.71449,8.6079073125,18560
10,1,first_fit,32,1024,7208960,6750208,65472,7.5654491875,0.0616021875,0.56989746875,8.22475615625,14144
10,2,treepir_official,32,205,9175040,9830400,65472,7.9525982187499995,0.04879509375,0.73596678125,8.7772896875,18560
10,2,activebalance,32,205,9175040,9830400,65472,8.43291684375,0.05173203125,0.74524759375,9.2667739375,18560
10,2,first_fit,32,1024,7208960,6750208,65472,6.65826096875,0.05967775,0.58497334375,7.332523375,14144
