target_slot	color	position	swapped_node
0	A	0	2
0	C	0	4
0	D	1	8
0	B	2	16
1	A	0	2
1	C	0	4
1	D	1	8
1	B	3	17
2	A	0	2
2	C	0	4
2	B	1	9
2	D	2	18
3	A	0	2
3	C	0	4
3	B	1	9
3	D	3	19
4	A	0	2
4	D	0	5
4	C	1	10
4	B	5	20
5	A	0	2
5	D	0	5
5	C	1	10
5	B	6	21
6	A	0	2
6	D	0	5
6	B	4	11
6	C	2	22
7	A	0	2
7	D	0	5
7	B	4	11
7	C	3	23
8	B	0	3
8	C	4	6
8	D	5	12
8	A	2	24
9	B	0	3
9	C	4	6
9	D	5	12
9	A	3	25
10	B	0	3
10	C	4	6
10	A	1	13
10	D	6	26
11	B	0	3
11	C	4	6
11	A	1	13
11	D	7	27
12	B	0	3
12	D	4	7
12	C	5	14
12	A	5	28
13	B	0	3
13	D	4	7
13	C	5	14
13	A	6	29
14	B	0	3
14	D	4	7
14	A	4	15
14	C	6	30
15	B	0	3
15	D	4	7
15	A	4	15
15	C	7	31
