case,method,processes,verified_measured_proofs,complete_planned_repeats,n,N,m,buckets,max_bucket,rounded_entries,pir_dimensions,serialized_proof_wall_ms_mean,serialized_proof_wall_ms_sd,route_ms_mean,route_ms_sd,query_ms_mean,query_ms_sd,query_roundtrip_ms_mean,query_roundtrip_ms_sd,answer_ms_mean,answer_ms_sd,answer_roundtrip_ms_mean,answer_roundtrip_ms_sd,decode_ms_mean,decode_ms_sd,proof_verify_ms_mean,proof_verify_ms_sd,online_framed_bytes_mean,online_framed_bytes_sd,server_preprocess_ms_mean,server_preprocess_ms_sd,client_keygen_ms_mean,client_keygen_ms_sd,public_key_roundtrip_ms_mean,public_key_roundtrip_ms_sd,galois_key_payload_bytes_mean,galois_key_payload_bytes_sd,relin_key_payload_bytes_mean,relin_key_payload_bytes_sd,public_key_framed_bytes_mean,public_key_framed_bytes_sd,public_map_payload_bytes_mean,public_map_payload_bytes_sd,common_metadata_payload_bytes_mean,common_metadata_payload_bytes_sd,encryption_parameters_payload_bytes_mean,encryption_parameters_payload_bytes_sd,setup_client_to_server_payload_bytes_mean,setup_client_to_server_payload_bytes_sd,setup_server_to_client_payload_bytes_mean,setup_server_to_client_payload_bytes_sd,active_digest_payload_bytes_mean,active_digest_payload_bytes_sd,replicated_record_payload_bytes_mean,replicated_record_payload_bytes_sd,max_padded_bucket_payload_bytes_mean,max_padded_bucket_payload_bytes_sd,backend_rounded_raw_payload_bytes_mean,backend_rounded_raw_payload_bytes_sd,ntt_coefficient_payload_bytes_mean,ntt_coefficient_payload_bytes_sd,ntt_plaintexts_mean,ntt_plaintexts_sd,encoded_db_bytes_mean,encoded_db_bytes_sd,persistent_setup_wall_ms_mean,persistent_setup_wall_ms_sd,combined_peak_rss_after_setup_bytes_mean,combined_peak_rss_after_setup_bytes_sd,combined_peak_rss_final_bytes_mean,combined_peak_rss_final_bytes_sd,setup_serialized_payload_bytes_mean,setup_serialized_payload_bytes_sd
prefix64_n10000,pbc,3,30,True,10000,19998,17,26,2379,2432,64x38,338.54277313333336,30.703779385650638,0.045884,0.007105751959504355,3.5740534999999998,0.2885786527881611,0.24019596666666668,0.02194902879180154,333.58620026666665,30.31060934211132,0.11103783333333334,0.011012713835532695,0.9124931333333334,0.05683585135777712,0.068845,0.013347030250583836,1048955,0.0,663.4445643333333,84.01931301082442,127.371214,24.049742057384048,201.761905,68.00603262444997,37822464,0.0,1573267,0.0,39395747,0.0,960120,0.0,804088,0.0,153,0.0,39395731,0.0,1764361,0.0,639936,0.0,1919808,0.0,1979328,0.0,2023424,0.0,74711040,0.0,380,0.0,74711040,0.0,1135.0116006666667,190.59701097333613,483971072,940288.5227333151,483971072,940288.5227333151,41160092,0.0
prefix64_n10000,ab,3,30,True,10000,19998,17,17,1181,1216,64x19,331.13355106666666,31.310687840283293,0.0121782,0.0009220736141979116,3.1553616,0.3482258410265241,0.21387976666666667,0.021962908589331535,326.63672916666667,30.85696520031067,0.10975143333333334,0.013942056864872316,0.9330273,0.08243086785688962,0.06871443333333334,0.008820941167660815,1048955,0.0,250.93137233333331,22.257069604755376,126.15190533333333,6.053687686838523,169.33436466666666,12.818800674002476,37822464,0.0,1573267,0.0,39395747,0.0,320112,0.0,804088,0.0,153,0.0,39395731,0.0,1124353,0.0,639936,0.0,639936,0.0,642464,0.0,661504,0.0,37355520,0.0,190,0.0,37355520,0.0,719.9112146666666,44.86406359210065,483723946.6666667,256330.19771640902,483723946.6666667,256330.19771640902,40520084,0.0
uniform_n10000,ab,3,30,True,10000,19998,17,17,1179,1216,64x19,336.80772633333333,26.399339651639394,0.013172433333333334,0.0003777908989551406,3.248928633333333,0.10685121030149032,0.24123293333333332,0.02995755829441601,332.15929040000003,26.336647544197064,0.111792,0.008129835341505999,0.961406,0.02182197930734059,0.06799546666666667,0.005111169922173722,1048955,0.0,240.47247866666666,17.069417559136042,124.19000933333334,22.82832735220341,172.33086,15.397498819762276,37822464,0.0,1573267,0.0,39395747,0.0,320112,0.0,804088,0.0,153,0.0,39395731,0.0,1124353,0.0,639936,0.0,639936,0.0,641376,0.0,661504,0.0,37355520,0.0,190,0.0,37355520,0.0,685.2076696666667,68.35072815216994,484134912,514679.9621356946,484134912,514679.9621356946,40520084,0.0
uniform_n10000,pbc,3,30,True,10000,19998,17,26,2379,2432,64x38,330.0620365666667,17.97393678743813,0.046579666666666665,0.00236865897151391,3.5733961,0.1794901112970015,0.2337188,0.009231468815416095,325.1289739666667,17.761048310267622,0.10708793333333333,0.007852162143214656,0.9036611999999999,0.023241892450486877,0.06468563333333334,0.004430555703671196,1048955,0.0,597.8273853333333,16.2796811013365,111.54975433333333,3.310567885145742,178.59062,13.028042995738705,37822464,0.0,1573267,0.0,39395747,0.0,960120,0.0,804088,0.0,153,0.0,39395731,0.0,1764361,0.0,639936,0.0,1919808,0.0,1979328,0.0,2023424,0.0,74711040,0.0,380,0.0,74711040,0.0,1023.9773063333333,8.085661801113137,484230485.3333333,169394.89887636327,484230485.3333333,169394.89887636327,41160092,0.0
cluster90_n10000,pbc,3,30,True,10000,19998,27,41,1538,1600,64x25,317.87076426666664,7.445596082257078,0.0622378,0.0026185800426948985,4.319589933333333,0.21949192835141634,0.2578256666666667,0.004412718062978132,312.14448269999997,7.2912192515383865,0.10098086666666667,0.007631212958850862,0.9188996333333334,0.02791295826606945,0.06228496666666667,0.0057218925691883945,1048955,0.0,531.937795,39.02548167551428,111.72939433333333,7.64108207128142,157.26597566666666,10.854350123983666,37822464,0.0,1573267,0.0,39395747,0.0,960240,0.0,804088,0.0,153,0.0,39395731,0.0,1764481,0.0,639936,0.0,1919808,0.0,2017856,0.0,2099200,0.0,49152000,0.0,250,0.0,49152000,0.0,942.91902,57.628066284826566,484177237.3333333,540459.9180007093,484177237.3333333,540459.9180007093,41160212,0.0
cluster90_n10000,ab,3,30,True,10000,19998,27,27,1088,1088,64x17,315.6407962,13.139296572708254,0.014947933333333333,0.0024398362083003305,3.705933566666667,0.399026625432769,0.24045736666666667,0.005691170878943401,310.61002486666666,12.75562045677461,0.10703646666666666,0.009407825021934312,0.8933226666666667,0.04563473167230562,0.06498140000000001,0.0027997858721695167,1048955,0.0,282.6918146666667,29.121288898685993,115.66470833333334,8.124284130578483,169.22761266666666,15.635736458654394,37822464,0.0,1573267,0.0,39395747,0.0,320192,0.0,804088,0.0,153,0.0,39395731,0.0,1124433,0.0,639936,0.0,639936,0.0,940032,0.0,940032,0.0,33423360,0.0,170,0.0,33423360,0.0,729.670294,55.335164675327036,483790848,174356.8621878703,483790848,174356.8621878703,40520164,0.0
complete_h10,treepir,3,30,True,1024,2046,10,10,205,256,64x4,308.62313106666664,3.2369846263405995,0.0067336666666666664,0.0008056892846087338,2.6331898666666667,0.039481975016497424,0.23844143333333334,0.01793972787567676,304.7371173,3.3001257642570145,0.11195406666666667,0.003117859023967142,0.8675767333333333,0.05321945430426109,0.024124266666666665,0.0006746430636516873,1048955,0.0,39.22618,3.3436458118686843,107.04873966666666,2.403229467964379,160.33578233333333,9.731837704987903,37822464,0.0,1573267,0.0,39395747,0.0,32824,0.0,67896,0.0,153,0.0,39395731,0.0,100873,0.0,65472,0.0,65472,0.0,65600,0.0,81920,0.0,7864320,0.0,40,0.0,7864320,0.0,336.006795,16.614073051827265,483926016,497035.718635995,483926016,497035.718635995,39496604,0.0
complete_h10,pbc,3,30,True,1024,2046,10,15,446,448,64x7,310.26126753333335,8.222395895868896,0.022443333333333332,0.0010160463686925572,2.935387066666667,0.07753488962462872,0.22218926666666666,0.005080583827015691,306.0292078333333,8.214585735432252,0.10321243333333334,0.0060167219582870374,0.9211936000000001,0.053171092236665565,0.024370700000000002,0.000167399133808989,1048955,0.0,80.87164066666666,2.6017349041976474,111.19645333333334,6.901103820845353,158.20985,4.946722870173443,37822464,0.0,1573267,0.0,39395747,0.0,98336,0.0,67896,0.0,153,0.0,39395731,0.0,166385,0.0,65472,0.0,196416,0.0,214080,0.0,215040,0.0,13762560,0.0,70,0.0,13762560,0.0,380.98141366666664,5.646050447860042,484403882.6666667,217100.88012104726,484403882.6666667,217100.88012104726,39562116,0.0
complete_h10,ab,3,30,True,1024,2046,10,10,205,256,64x4,311.20483483333334,14.985157898810622,0.0068205666666666664,0.0006180630820016131,2.9349734,0.11091521378147354,0.2468182,0.006785275271497843,306.9493812333333,14.841850138175271,0.1200393,0.007198772296023818,0.9142471333333333,0.045316773592824704,0.028941866666666666,0.00824761611396489,1048955,0.0,38.522692,1.7105152159741253,111.914822,5.861292694475852,171.68191033333332,5.509596522400382,37822464,0.0,1573267,0.0,39395747,0.0,32824,0.0,67896,0.0,153,0.0,39395731,0.0,100873,0.0,65472,0.0,65472,0.0,65600,0.0,81920,0.0,7864320,0.0,40,0.0,7864320,0.0,350.07448766666664,7.771622703794878,483927381.3333333,457072.73604682804,483927381.3333333,457072.73604682804,39496604,0.0
uniform_n1000,pbc,3,30,True,1000,1998,13,20,341,384,64x6,305.21012026666665,6.131050865075455,0.027534533333333333,0.0010945393749579478,3.1765877000000002,0.15179371983264,0.19872893333333333,0.008480787320958673,300.7447735,6.072384744186995,0.09620683333333334,0.0010417805255106879,0.8979881666666667,0.022092530763661612,0.064147,0.0025895389493112465,1048955,0.0,69.84355533333334,3.3098264424734283,109.13203666666666,2.824245994541613,160.73041833333335,6.552199016935101,37822464,0.0,1573267,0.0,39395747,0.0,96072,0.0,84088,0.0,153,0.0,39395731,0.0,180313,0.0,63936,0.0,191808,0.0,218240,0.0,245760,0.0,11796480,0.0,60,0.0,11796480,0.0,365.456182,8.390091920714827,484438016,18770.23004653912,484438016,18770.23004653912,39576044,0.0
