case,method,repeat,n,N,m,buckets,max_bucket,rounded_entries,pir_dimensions,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,server_preprocess_ms,client_keygen_ms,public_key_roundtrip_ms,galois_key_payload_bytes,relin_key_payload_bytes,public_key_framed_bytes,public_map_payload_bytes,common_metadata_payload_bytes,encryption_parameters_payload_bytes,setup_client_to_server_payload_bytes,setup_server_to_client_payload_bytes,active_digest_payload_bytes,replicated_record_payload_bytes,max_padded_bucket_payload_bytes,backend_rounded_raw_payload_bytes,ntt_coefficient_payload_bytes,ntt_plaintexts,encoded_db_bytes,persistent_setup_wall_ms,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,setup_serialized_payload_bytes
prefix64_n10000,pbc,0,10000,19998,17,26,2379,2432,64x38,10,373.995264,0.0540506,3.9067862,0.261144,368.5843009,0.1235018,0.9776692,0.0835641,1048955,758.655146,154.858913,280.095794,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,1352.496064,482885632,482885632,41160092
prefix64_n10000,ab,0,10000,19998,17,17,1181,1216,64x19,10,367.2842111,0.0126317,3.5513919,0.2391119,362.2649254,0.1242694,1.0145363,0.0727821,1048955,274.740532,131.084786,184.127465,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,642464,661504,37355520,190,37355520,771.621821,483536896,483536896,40520084
uniform_n10000,ab,0,10000,19998,17,17,1179,1216,64x19,10,365.4706102,0.013578,3.3220459,0.2570075,360.70618790000003,0.1144716,0.9851628,0.0680836,1048955,260.006044,150.468231,190.110201,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,641376,661504,37355520,190,37355520,764.061357,484286464,484286464,40520084
uniform_n10000,pbc,0,10000,19998,17,26,2379,2432,64x38,10,319.9898238,0.043864,3.5281742,0.23247,315.1390319,0.1024783,0.879263,0.060836799999999996,1048955,616.621717,112.823301,163.57562,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,1026.25114,484044800,484044800,41160092
cluster90_n10000,pbc,0,10000,19998,27,41,1538,1600,64x25,10,311.3198207,0.0652486,4.0742873,0.2607127,305.8680936,0.0960249,0.8942682,0.0568033,1048955,521.763917,107.988561,154.73598,37822464,1573267,39395747,960240,804088,153,39395731,1764481,639936,1919808,2017856,2099200,49152000,250,49152000,931.486028,484478976,484478976,41160212
cluster90_n10000,ab,0,10000,19998,27,27,1088,1088,64x17,10,306.50488789999997,0.0177264,3.5601128,0.2352747,301.5901258,0.0997697,0.9343377,0.0635735,1048955,249.709621,107.276405,151.644371,37822464,1573267,39395747,320192,804088,153,39395731,1124433,639936,639936,940032,940032,33423360,170,33423360,665.775293,483823616,483823616,40520164
complete_h10,treepir,0,1024,2046,10,10,205,256,64x4,10,304.8871914,0.0061853,2.6589199,0.2367553,300.93069130000003,0.1123484,0.9139427999999999,0.0247555,1048955,43.041553,109.550386,171.331878,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,355.067601,483618816,483618816,39496604
complete_h10,pbc,0,1024,2046,10,15,446,448,64x7,10,302.6614138,0.0222193,3.0175135,0.2279741,298.403285,0.1028878,0.8600176,0.0243229,1048955,83.436701,108.218691,152.929698,37822464,1573267,39395747,98336,67896,153,39395731,166385,65472,196416,214080,215040,13762560,70,13762560,378.622444,484155392,484155392,39562116
complete_h10,ab,0,1024,2046,10,10,205,256,64x4,10,298.9503218,0.007346699999999999,2.8212977,0.2390337,294.8021619,0.1229017,0.9296211,0.0244973,1048955,38.146415,116.147076,174.53198,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,358.875528,484454400,484454400,39496604
uniform_n1000,pbc,0,1000,1998,13,20,341,384,64x6,10,300.6703569,0.0265063,3.0048558,0.1890556,296.3800432,0.0950122,0.9097235,0.0612522,1048955,73.614925,106.489696,168.270037,37822464,1573267,39395747,96072,84088,153,39395731,180313,63936,191808,218240,245760,11796480,60,11796480,374.229324,484454400,484454400,39576044
uniform_n1000,ab,0,1000,1998,13,13,154,192,64x3,10,328.6193489,0.0069566,3.0145219,0.2910805,324.13493669999997,0.11586869999999999,0.9874178,0.0647665,1048955,29.793893,109.681898,155.051854,37822464,1573267,39395747,32080,84088,153,39395731,116321,63936,63936,64064,79872,5898240,30,5898240,324.571936,483561472,483561472,39512052
