case,method,repeat,target_id,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,real_records,valid_root_independently_verified
prefix64_n10000,pbc,0,3652,363.721828,0.044006,3.859395,0.247241,358.195332,0.146515,0.998136,0.2271,1048955,12,True
prefix64_n10000,pbc,0,3731,367.445802,0.044981,3.601271,0.266174,362.366998,0.113351,0.98163,0.067078,1048955,14,True
prefix64_n10000,pbc,0,1449,375.286056,0.04181,3.830144,0.274516,369.973611,0.118792,0.976888,0.066055,1048955,14,True
prefix64_n10000,pbc,0,8224,395.999583,0.041345,3.849917,0.255615,390.596436,0.126291,1.056395,0.068694,1048955,11,True
prefix64_n10000,pbc,0,320,362.474907,0.042264,3.894572,0.260134,357.13257,0.117641,0.957162,0.066436,1048955,14,True
prefix64_n10000,pbc,0,4684,378.882892,0.050486,3.794586,0.221463,373.724834,0.108875,0.909348,0.069451,1048955,13,True
prefix64_n10000,pbc,0,529,373.462445,0.052083,3.923887,0.250585,367.995857,0.161704,1.007549,0.066396,1048955,13,True
prefix64_n10000,pbc,0,3455,384.177727,0.074239,4.028906,0.366161,378.518062,0.119552,0.998627,0.068073,1048955,12,True
prefix64_n10000,pbc,0,9468,372.833668,0.10969,4.522243,0.269327,366.794362,0.109233,0.955202,0.068394,1048955,15,True
prefix64_n10000,pbc,0,1069,365.667732,0.039602,3.762941,0.200224,360.544947,0.113064,0.935755,0.067964,1048955,14,True
prefix64_n10000,ab,0,3652,373.23578,0.013663,3.428794,0.19783,368.233592,0.181573,1.111325,0.065163,1048955,12,True
prefix64_n10000,ab,0,3731,370.991679,0.013099,3.867898,0.232834,365.63437,0.11756,0.992313,0.129355,1048955,14,True
prefix64_n10000,ab,0,1449,372.145856,0.011775,3.933868,0.24776,366.530607,0.166394,1.185089,0.065927,1048955,14,True
prefix64_n10000,ab,0,8224,358.793068,0.013248,3.934951,0.237639,353.555307,0.099047,0.88242,0.066288,1048955,11,True
prefix64_n10000,ab,0,320,357.000624,0.011248,3.2968,0.299329,352.220309,0.113402,0.984941,0.069416,1048955,14,True
prefix64_n10000,ab,0,4684,373.519823,0.012897,3.736724,0.270781,368.34223,0.113437,0.971051,0.066992,1048955,13,True
prefix64_n10000,ab,0,529,372.998282,0.012193,3.171634,0.181263,368.476316,0.114702,0.972451,0.065941,1048955,13,True
prefix64_n10000,ab,0,3455,354.106534,0.012036,3.246344,0.186049,349.562642,0.113432,0.915417,0.067184,1048955,12,True
prefix64_n10000,ab,0,9468,359.385099,0.013065,3.231009,0.24425,354.664465,0.111043,1.050409,0.065923,1048955,15,True
prefix64_n10000,ab,0,1069,380.665366,0.013093,3.665897,0.293384,375.429416,0.112104,1.079947,0.065632,1048955,14,True
uniform_n10000,ab,0,3455,360.100338,0.014517,3.268752,0.207585,355.504655,0.113756,0.920922,0.067331,1048955,15,True
uniform_n10000,ab,0,4684,358.742504,0.013784,3.277251,0.379125,354.009783,0.102406,0.889273,0.066251,1048955,14,True
uniform_n10000,ab,0,8224,364.701864,0.013641,3.269781,0.200873,359.903723,0.106073,1.126413,0.078217,1048955,14,True
uniform_n10000,ab,0,7967,368.250071,0.014523,3.525751,0.200183,363.364001,0.122622,0.951616,0.067448,1048955,12,True
uniform_n10000,ab,0,6995,378.655324,0.016637,3.254559,0.201798,373.931759,0.156033,1.023203,0.067377,1048955,13,True
uniform_n10000,ab,0,9468,370.141637,0.011226,3.42851,0.338664,365.21228,0.116855,0.962529,0.066505,1048955,14,True
uniform_n10000,ab,0,5982,366.186396,0.014158,3.221632,0.220664,361.594686,0.105734,0.959484,0.065598,1048955,13,True
uniform_n10000,ab,0,529,361.178119,0.011834,3.125093,0.20258,356.627654,0.119316,1.019018,0.067598,1048955,14,True
uniform_n10000,ab,0,542,367.172339,0.011764,3.150995,0.234106,362.46423,0.114222,1.122291,0.070834,1048955,13,True
uniform_n10000,ab,0,4109,359.57751,0.013696,3.698135,0.384497,354.449108,0.087699,0.876879,0.063677,1048955,13,True
uniform_n10000,pbc,0,3455,313.989286,0.047241,3.303275,0.236077,309.470132,0.109606,0.764318,0.055139,1048955,15,True
uniform_n10000,pbc,0,4684,315.331274,0.037096,3.203855,0.203699,310.7783,0.102032,0.932977,0.069484,1048955,14,True
