color	position	swapped_node
A	0	2
A	1	384
A	2	770
A	3	1542
A	4	1543
A	5	386
A	6	774
A	7	775
A	8	195
A	9	389
A	10	1552
A	11	1553
A	12	1554
A	13	1555
A	14	392
A	15	786
A	16	1574
A	17	1575
A	18	394
A	19	790
A	20	791
A	21	199
A	22	397
A	23	1584
A	24	1585
A	25	1586
A	26	1587
A	27	201
A	28	401
A	29	1600
A	30	1601
A	31	1602
A	32	1603
A	33	404
A	34	810
A	35	1622
A	36	1623
A	37	406
A	38	814
A	39	815
A	40	204
A	41	411
A	42	1640
A	43	1641
A	44	1642
A	45	1643
A	46	206
A	47	415
A	48	1656
A	49	1657
A	50	1658
A	51	1659
A	52	416
A	53	834
A	54	1670
A	55	1671
A	56	418
A	57	838
A	58	839
A	59	211
A	60	421
A	61	1680
A	62	1681
A	63	1682
A	64	1683
A	65	212
A	66	427
A	67	1704
A	68	1705
A	69	1706
A	70	1707
A	71	214
A	72	431
A	73	1720
A	74	1721
A	75	1722
A	76	1723
A	77	432
A	78	866
A	79	1734
A	80	1735
A	81	434
A	82	870
A	83	871
A	84	219
A	85	437
A	86	1744
A	87	1745
A	88	1746
A	89	1747
A	90	440
A	91	882
A	92	1766
A	93	1767
A	94	442
A	95	886
A	96	887
A	97	223
A	98	445
A	99	1776
A	100	1777
A	101	1778
A	102	1779
A	103	448
A	104	898
A	105	1798
A	106	1799
A	107	450
A	108	902
A	109	903
A	110	227
A	111	453
A	112	1808
A	113	1809
A	114	1810
A	115	1811
A	116	228
A	117	459
A	118	1832
A	119	1833
A	120	1834
A	121	1835
A	122	230
A	123	463
A	124	1848
A	125	1849
A	126	1850
A	127	1851
A	128	464
A	129	930
A	130	1862
A	131	1863
A	132	466
A	133	934
A	134	935
A	135	235
A	136	469
A	137	1872
A	138	1873
A	139	1874
A	140	1875
A	141	472
A	142	946
A	143	1894
A	144	1895
A	145	474
A	146	950
A	147	951
A	148	239
A	149	477
A	150	1904
A	151	1905
A	152	1906
A	153	1907
A	154	240
A	155	483
A	156	1928
A	157	1929
