target_slot	color	position	swapped_node
0	A	0	2
0	C	0	4
0	E	0	8
0	F	0	16
0	I	0	32
0	H	1	64
0	G	1	128
0	B	1	256
0	J	2	512
0	D	3	1024
1	A	0	2
1	C	0	4
1	E	0	8
1	F	0	16
1	I	0	32
1	H	1	64
1	G	1	128
1	B	1	256
1	J	2	512
1	D	4	1025
2	A	0	2
2	C	0	4
2	E	0	8
2	F	0	16
2	I	0	32
2	H	1	64
2	G	1	128
2	B	1	256
2	J	3	513
2	D	5	1026
3	A	0	2
3	C	0	4
3	E	0	8
3	F	0	16
3	I	0	32
3	H	1	64
3	G	1	128
3	B	1	256
3	J	3	513
3	D	6	1027
4	A	0	2
4	C	0	4
4	E	0	8
4	F	0	16
4	I	0	32
4	H	1	64
4	G	1	128
4	D	2	257
4	B	2	514
4	J	5	1028
5	A	0	2
5	C	0	4
5	E	0	8
5	F	0	16
5	I	0	32
5	H	1	64
5	G	1	128
5	D	2	257
5	B	2	514
5	J	6	1029
6	A	0	2
6	C	0	4
6	E	0	8
6	F	0	16
6	I	0	32
6	H	1	64
6	G	1	128
6	D	2	257
6	J	4	515
6	B	3	1030
7	A	0	2
7	C	0	4
7	E	0	8
7	F	0	16
7	I	0	32
7	H	1	64
7	G	1	128
7	D	2	257
7	J	4	515
7	B	4	1031
8	A	0	2
8	C	0	4
8	E	0	8
8	F	0	16
8	I	0	32
8	H	1	64
8	D	1	129
8	B	5	258
8	J	7	516
8	G	3	1032
9	A	0	2
9	C	0	4
9	E	0	8
9	F	0	16
9	I	0	32
9	H	1	64
9	D	1	129
9	B	5	258
9	J	7	516
9	G	4	1033
10	A	0	2
10	C	0	4
10	E	0	8
10	F	0	16
10	I	0	32
10	H	1	64
10	D	1	129
10	B	5	258
10	J	8	517
10	G	5	1034
11	A	0	2
11	C	0	4
11	E	0	8
11	F	0	16
11	I	0	32
11	H	1	64
11	D	1	129
11	B	5	258
11	J	8	517
11	G	6	1035
12	A	0	2
12	C	0	4
12	E	0	8
12	F	0	16
12	I	0	32
12	H	1	64
12	D	1	129
12	G	2	259
12	B	6	518
12	J	9	1036
13	A	0	2
13	C	0	4
13	E	0	8
13	F	0	16
13	I	0	32
13	H	1	64
13	D	1	129
13	G	2	259
13	B	6	518
13	J	10	1037
14	A	0	2
14	C	0	4
14	E	0	8
14	F	0	16
14	I	0	32
14	H	1	64
14	D	1	129
14	G	2	259
14	B	7	519
14	J	11	1038
15	A	0	2
15	C	0	4
15	E	0	8
15	F	0	16
15	I	0	32
15	H	1	64
15	D	1	129
15	G	2	259
15	B	7	519
15	J	12	1039
16	A	0	2
16	C	0	4
16	E	0	8
16	F	0	16
16	I	0	32
16	J	1	65
16	G	7	130
16	D	7	260
16	H	2	520
16	B	10	1040
17	A	0	2
17	C	0	4
17	E	0	8
17	F	0	16
17	I	0	32
17	J	1	65
17	G	7	130
17	D	7	260
17	H	2	520
17	B	11	1041
18	A	0	2
18	C	0	4
18	E	0	8
18	F	0	16
18	I	0	32
18	J	1	65
18	G	7	130
18	D	7	260
18	H	3	521
18	B	12	1042
19	A	0	2
19	C	0	4
19	E	0	8
19	F	0	16
19	I	0	32
19	J	1	65
19	G	7	130
19	D	7	260
19	H	3	521
19	B	13	1043
20	A	0	2
20	C	0	4
20	E	0	8
20	F	0	16
20	I	0	32
20	J	1	65
20	G	7	130
20	B	9	261
20	D	8	522
20	H	5	1044
21	A	0	2
21	C	0	4
21	E	0	8
21	F	0	16
21	I	0	32
21	J	1	65
21	G	7	130
21	B	9	261
21	D	8	522
21	H	6	1045
22	A	0	2
22	C	0	4
22	E	0	8
22	F	0	16
22	I	0	32
22	J	1	65
22	G	7	130
22	B	9	261
22	H	4	523
22	D	9	1046
23	A	0	2
23	C	0	4
23	E	0	8
23	F	0	16
23	I	0	32
23	J	1	65
23	G	7	130
23	B	9	261
23	H	4	523
23	D	10	1047
24	A	0	2
24	C	0	4
24	E	0	8
24	F	0	16
24	I	0	32
24	J	1	65
24	B	8	131
24	D	11	262
24	H	7	524
24	G	9	1048
25	A	0	2
25	C	0	4
25	E	0	8
25	F	0	16
25	I	0	32
25	J	1	65
25	B	8	131
25	D	11	262
25	H	7	524
25	G	10	1049
26	A	0	2
26	C	0	4
26	E	0	8
26	F	0	16
26	I	0	32
26	J	1	65
26	B	8	131
26	D	11	262
26	H	8	525
26	G	11	1050
27	A	0	2
27	C	0	4
27	E	0	8
27	F	0	16
27	I	0	32
27	J	1	65
27	B	8	131
27	D	11	262
27	H	8	525
27	G	12	1051
28	A	0	2
28	C	0	4
28	E	0	8
28	F	0	16
28	I	0	32
28	J	1	65
28	B	8	131
28	G	8	263
28	D	12	526
28	H	9	1052
29	A	0	2
29	C	0	4
29	E	0	8
29	F	0	16
29	I	0	32
29	J	1	65
29	B	8	131
29	G	8	263
29	D	12	526
29	H	10	1053
30	A	0	2
30	C	0	4
30	E	0	8
30	F	0	16
30	I	0	32
30	J	1	65
30	B	8	131
30	G	8	263
30	D	13	527
30	H	11	1054
31	A	0	2
31	C	0	4
31	E	0	8
31	F	0	16
31	I	0	32
31	J	1	65
31	B	8	131
31	G	8	263
31	D	13	527
31	H	12	1055
32	A	0	2
32	C	0	4
32	E	0	8
32	F	0	16
32	H	0	33
32	I	1	66
32	D	14	132
32	B	14	264
32	J	14	528
32	G	15	1056
33	A	0	2
33	C	0	4
33	E	0	8
33	F	0	16
33	H	0	33
33	I	1	66
33	D	14	132
33	B	14	264
33	J	14	528
33	G	16	1057
34	A	0	2
34	C	0	4
34	E	0	8
34	F	0	16
34	H	0	33
34	I	1	66
34	D	14	132
34	B	14	264
34	J	15	529
34	G	17	1058
35	A	0	2
35	C	0	4
35	E	0	8
35	F	0	16
35	H	0	33
35	I	1	66
35	D	14	132
35	B	14	264
35	J	15	529
35	G	18	1059
36	A	0	2
36	C	0	4
36	E	0	8
36	F	0	16
36	H	0	33
36	I	1	66
36	D	14	132
36	G	14	265
36	B	15	530
36	J	17	1060
37	A	0	2
37	C	0	4
37	E	0	8
37	F	0	16
37	H	0	33
37	I	1	66
37	D	14	132
37	G	14	265
37	B	15	530
37	J	18	1061
38	A	0	2
38	C	0	4
38	E	0	8
38	F	0	16
38	H	0	33
38	I	1	66
38	D	14	132
38	G	14	265
38	J	16	531
38	B	16	1062
39	A	0	2
39	C	0	4
39	E	0	8
39	F	0	16
39	H	0	33
39	I	1	66
39	D	14	132
39	G	14	265
39	J	16	531
39	B	17	1063
40	A	0	2
40	C	0	4
40	E	0	8
40	F	0	16
40	H	0	33
40	I	1	66
40	G	13	133
40	B	18	266
40	J	19	532
40	D	16	1064
41	A	0	2
41	C	0	4
41	E	0	8
41	F	0	16
41	H	0	33
41	I	1	66
41	G	13	133
41	B	18	266
41	J	19	532
41	D	17	1065
42	A	0	2
42	C	0	4
42	E	0	8
42	F	0	16
42	H	0	33
42	I	1	66
42	G	13	133
42	B	18	266
42	J	20	533
42	D	18	1066
43	A	0	2
43	C	0	4
43	E	0	8
43	F	0	16
43	H	0	33
43	I	1	66
43	G	13	133
43	B	18	266
43	J	20	533
43	D	19	1067
44	A	0	2
44	C	0	4
44	E	0	8
44	F	0	16
44	H	0	33
44	I	1	66
44	G	13	133
44	D	15	267
44	B	19	534
44	J	21	1068
45	A	0	2
45	C	0	4
45	E	0	8
45	F	0	16
45	H	0	33
45	I	1	66
45	G	13	133
45	D	15	267
45	B	19	534
45	J	22	1069
46	A	0	2
46	C	0	4
46	E	0	8
46	F	0	16
46	H	0	33
46	I	1	66
46	G	13	133
46	D	15	267
46	B	20	535
46	J	23	1070
47	A	0	2
47	C	0	4
47	E	0	8
47	F	0	16
47	H	0	33
47	I	1	66
47	G	13	133
47	D	15	267
47	B	20	535
47	J	24	1071
48	A	0	2
48	C	0	4
48	E	0	8
48	F	0	16
48	H	0	33
48	J	13	67
48	D	20	134
48	G	19	268
48	I	2	536
48	B	23	1072
49	A	0	2
49	C	0	4
49	E	0	8
49	F	0	16
49	H	0	33
49	J	13	67
49	D	20	134
49	G	19	268
49	I	2	536
49	B	24	1073
50	A	0	2
50	C	0	4
50	E	0	8
50	F	0	16
50	H	0	33
50	J	13	67
50	D	20	134
50	G	19	268
50	I	3	537
50	B	25	1074
51	A	0	2
51	C	0	4
51	E	0	8
51	F	0	16
51	H	0	33
51	J	13	67
51	D	20	134
51	G	19	268
51	I	3	537
51	B	26	1075
52	A	0	2
52	C	0	4
52	E	0	8
52	F	0	16
52	H	0	33
52	J	13	67
52	D	20	134
52	B	22	269
52	G	20	538
52	I	5	1076
53	A	0	2
53	C	0	4
53	E	0	8
53	F	0	16
53	H	0	33
53	J	13	67
53	D	20	134
53	B	22	269
53	G	20	538
53	I	6	1077
54	A	0	2
54	C	0	4
54	E	0	8
54	F	0	16
54	H	0	33
54	J	13	67
54	D	20	134
54	B	22	269
54	I	4	539
54	G	21	1078
55	A	0	2
55	C	0	4
55	E	0	8
55	F	0	16
55	H	0	33
55	J	13	67
55	D	20	134
55	B	22	269
55	I	4	539
55	G	22	1079
56	A	0	2
56	C	0	4
56	E	0	8
56	F	0	16
56	H	0	33
56	J	13	67
56	B	21	135
56	G	23	270
56	I	7	540
56	D	22	1080
57	A	0	2
57	C	0	4
57	E	0	8
57	F	0	16
57	H	0	33
57	J	13	67
57	B	21	135
57	G	23	270
57	I	7	540
57	D	23	1081
58	A	0	2
58	C	0	4
58	E	0	8
58	F	0	16
58	H	0	33
58	J	13	67
58	B	21	135
58	G	23	270
58	I	8	541
58	D	24	1082
59	A	0	2
59	C	0	4
59	E	0	8
59	F	0	16
59	H	0	33
59	J	13	67
59	B	21	135
59	G	23	270
59	I	8	541
59	D	25	1083
60	A	0	2
60	C	0	4
60	E	0	8
60	F	0	16
60	H	0	33
60	J	13	67
60	B	21	135
60	D	21	271
60	G	24	542
60	I	9	1084
61	A	0	2
61	C	0	4
61	E	0	8
61	F	0	16
61	H	0	33
61	J	13	67
61	B	21	135
61	D	21	271
61	G	24	542
61	I	10	1085
62	A	0	2
62	C	0	4
62	E	0	8
62	F	0	16
62	H	0	33
62	J	13	67
62	B	21	135
62	D	21	271
62	G	25	543
62	I	11	1086
63	A	0	2
63	C	0	4
63	E	0	8
63	F	0	16
63	H	0	33
63	J	13	67
63	B	21	135
63	D	21	271
63	G	25	543
63	I	12	1087
64	A	0	2
64	C	0	4
64	E	0	8
64	J	0	17
64	I	13	34
64	H	14	68
64	G	26	136
64	D	26	272
64	F	2	544
64	B	29	1088
65	A	0	2
65	C	0	4
65	E	0	8
65	J	0	17
65	I	13	34
65	H	14	68
65	G	26	136
65	D	26	272
65	F	2	544
65	B	30	1089
66	A	0	2
66	C	0	4
66	E	0	8
66	J	0	17
66	I	13	34
66	H	14	68
66	G	26	136
66	D	26	272
66	F	3	545
66	B	31	1090
67	A	0	2
67	C	0	4
67	E	0	8
67	J	0	17
67	I	13	34
67	H	14	68
67	G	26	136
67	D	26	272
67	F	3	545
67	B	32	1091
68	A	0	2
68	C	0	4
68	E	0	8
68	J	0	17
68	I	13	34
68	H	14	68
68	G	26	136
68	B	28	273
68	D	27	546
68	F	5	1092
69	A	0	2
69	C	0	4
69	E	0	8
69	J	0	17
69	I	13	34
69	H	14	68
69	G	26	136
69	B	28	273
69	D	27	546
69	F	6	1093
70	A	0	2
70	C	0	4
70	E	0	8
70	J	0	17
70	I	13	34
70	H	14	68
70	G	26	136
70	B	28	273
70	F	4	547
70	D	28	1094
71	A	0	2
71	C	0	4
71	E	0	8
71	J	0	17
71	I	13	34
71	H	14	68
71	G	26	136
71	B	28	273
71	F	4	547
71	D	29	1095
72	A	0	2
72	C	0	4
72	E	0	8
72	J	0	17
72	I	13	34
72	H	14	68
72	B	27	137
72	D	30	274
72	F	7	548
72	G	28	1096
73	A	0	2
73	C	0	4
73	E	0	8
73	J	0	17
73	I	13	34
73	H	14	68
73	B	27	137
73	D	30	274
73	F	7	548
73	G	29	1097
74	A	0	2
74	C	0	4
74	E	0	8
74	J	0	17
74	I	13	34
74	H	14	68
74	B	27	137
74	D	30	274
74	F	8	549
74	G	30	1098
75	A	0	2
75	C	0	4
75	E	0	8
75	J	0	17
75	I	13	34
75	H	14	68
75	B	27	137
75	D	30	274
75	F	8	549
75	G	31	1099
76	A	0	2
76	C	0	4
76	E	0	8
76	J	0	17
76	I	13	34
76	H	14	68
76	B	27	137
76	G	27	275
76	D	31	550
76	F	9	1100
77	A	0	2
77	C	0	4
77	E	0	8
77	J	0	17
77	I	13	34
77	H	14	68
77	B	27	137
77	G	27	275
77	D	31	550
77	F	10	1101
78	A	0	2
78	C	0	4
78	E	0	8
78	J	0	17
78	I	13	34
78	H	14	68
78	B	27	137
78	G	27	275
78	D	32	551
78	F	11	1102
79	A	0	2
79	C	0	4
79	E	0	8
79	J	0	17
79	I	13	34
79	H	14	68
79	B	27	137
79	G	27	275
79	D	32	551
79	F	12	1103
80	A	0	2
80	C	0	4
80	E	0	8
80	J	0	17
80	I	13	34
80	F	1	69
80	G	32	138
80	B	33	276
80	H	15	552
80	D	35	1104
81	A	0	2
81	C	0	4
81	E	0	8
81	J	0	17
81	I	13	34
81	F	1	69
81	G	32	138
81	B	33	276
81	H	15	552
81	D	36	1105
82	A	0	2
82	C	0	4
82	E	0	8
82	J	0	17
82	I	13	34
82	F	1	69
82	G	32	138
82	B	33	276
82	H	16	553
82	D	37	1106
83	A	0	2
83	C	0	4
83	E	0	8
83	J	0	17
83	I	13	34
83	F	1	69
83	G	32	138
83	B	33	276
83	H	16	553
83	D	38	1107
84	A	0	2
84	C	0	4
84	E	0	8
84	J	0	17
84	I	13	34
84	F	1	69
84	G	32	138
84	D	34	277
84	B	34	554
84	H	18	1108
85	A	0	2
85	C	0	4
85	E	0	8
85	J	0	17
85	I	13	34
85	F	1	69
85	G	32	138
85	D	34	277
85	B	34	554
85	H	19	1109
86	A	0	2
86	C	0	4
86	E	0	8
86	J	0	17
86	I	13	34
86	F	1	69
86	G	32	138
86	D	34	277
86	H	17	555
86	B	35	1110
87	A	0	2
87	C	0	4
87	E	0	8
87	J	0	17
87	I	13	34
87	F	1	69
87	G	32	138
87	D	34	277
87	H	17	555
87	B	36	1111
88	A	0	2
88	C	0	4
88	E	0	8
88	J	0	17
88	I	13	34
88	F	1	69
88	D	33	139
88	B	37	278
88	H	20	556
88	G	34	1112
89	A	0	2
89	C	0	4
89	E	0	8
89	J	0	17
89	I	13	34
89	F	1	69
89	D	33	139
89	B	37	278
89	H	20	556
89	G	35	1113
90	A	0	2
90	C	0	4
90	E	0	8
90	J	0	17
90	I	13	34
90	F	1	69
90	D	33	139
90	B	37	278
90	H	21	557
90	G	36	1114
91	A	0	2
91	C	0	4
91	E	0	8
91	J	0	17
91	I	13	34
91	F	1	69
91	D	33	139
91	B	37	278
91	H	21	557
91	G	37	1115
92	A	0	2
92	C	0	4
92	E	0	8
92	J	0	17
92	I	13	34
92	F	1	69
92	D	33	139
92	G	33	279
92	B	38	558
92	H	22	1116
93	A	0	2
93	C	0	4
93	E	0	8
93	J	0	17
93	I	13	34
93	F	1	69
93	D	33	139
93	G	33	279
93	B	38	558
93	H	23	1117
94	A	0	2
94	C	0	4
94	E	0	8
94	J	0	17
94	I	13	34
94	F	1	69
94	D	33	139
94	G	33	279
94	B	39	559
94	H	24	1118
95	A	0	2
95	C	0	4
95	E	0	8
95	J	0	17
95	I	13	34
95	F	1	69
95	D	33	139
95	G	33	279
95	B	39	559
95	H	25	1119
96	A	0	2
96	C	0	4
96	E	0	8
96	J	0	17
96	H	13	35
96	I	14	70
96	B	40	140
96	D	39	280
96	F	14	560
96	G	40	1120
97	A	0	2
97	C	0	4
97	E	0	8
97	J	0	17
97	H	13	35
97	I	14	70
97	B	40	140
97	D	39	280
97	F	14	560
97	G	41	1121
98	A	0	2
98	C	0	4
98	E	0	8
98	J	0	17
98	H	13	35
98	I	14	70
98	B	40	140
98	D	39	280
98	F	15	561
98	G	42	1122
99	A	0	2
99	C	0	4
99	E	0	8
99	J	0	17
99	H	13	35
99	I	14	70
99	B	40	140
99	D	39	280
99	F	15	561
99	G	43	1123
100	A	0	2
100	C	0	4
100	E	0	8
100	J	0	17
100	H	13	35
100	I	14	70
100	B	40	140
100	G	39	281
100	D	40	562
100	F	17	1124
101	A	0	2
101	C	0	4
101	E	0	8
101	J	0	17
101	H	13	35
101	I	14	70
101	B	40	140
101	G	39	281
101	D	40	562
101	F	18	1125
102	A	0	2
102	C	0	4
102	E	0	8
102	J	0	17
102	H	13	35
102	I	14	70
102	B	40	140
102	G	39	281
102	F	16	563
102	D	41	1126
103	A	0	2
103	C	0	4
103	E	0	8
103	J	0	17
103	H	13	35
103	I	14	70
103	B	40	140
103	G	39	281
103	F	16	563
103	D	42	1127
104	A	0	2
104	C	0	4
104	E	0	8
104	J	0	17
104	H	13	35
104	I	14	70
104	G	38	141
104	D	43	282
104	F	19	564
104	B	42	1128
105	A	0	2
105	C	0	4
105	E	0	8
105	J	0	17
105	H	13	35
105	I	14	70
105	G	38	141
105	D	43	282
105	F	19	564
105	B	43	1129
106	A	0	2
106	C	0	4
106	E	0	8
106	J	0	17
106	H	13	35
106	I	14	70
106	G	38	141
106	D	43	282
106	F	20	565
106	B	44	1130
107	A	0	2
107	C	0	4
107	E	0	8
107	J	0	17
107	H	13	35
107	I	14	70
107	G	38	141
107	D	43	282
107	F	20	565
107	B	45	1131
108	A	0	2
108	C	0	4
108	E	0	8
108	J	0	17
108	H	13	35
108	I	14	70
108	G	38	141
108	B	41	283
108	D	44	566
108	F	21	1132
109	A	0	2
109	C	0	4
109	E	0	8
109	J	0	17
109	H	13	35
109	I	14	70
109	G	38	141
109	B	41	283
109	D	44	566
109	F	22	1133
110	A	0	2
110	C	0	4
110	E	0	8
110	J	0	17
110	H	13	35
110	I	14	70
110	G	38	141
110	B	41	283
110	D	45	567
110	F	23	1134
111	A	0	2
111	C	0	4
111	E	0	8
111	J	0	17
111	H	13	35
111	I	14	70
111	G	38	141
111	B	41	283
111	D	45	567
111	F	24	1135
112	A	0	2
112	C	0	4
112	E	0	8
112	J	0	17
112	H	13	35
112	F	13	71
112	B	46	142
112	G	44	284
112	I	15	568
112	D	48	1136
113	A	0	2
113	C	0	4
113	E	0	8
113	J	0	17
113	H	13	35
113	F	13	71
113	B	46	142
113	G	44	284
113	I	15	568
113	D	49	1137
114	A	0	2
114	C	0	4
114	E	0	8
114	J	0	17
114	H	13	35
114	F	13	71
114	B	46	142
114	G	44	284
114	I	16	569
114	D	50	1138
115	A	0	2
115	C	0	4
115	E	0	8
115	J	0	17
115	H	13	35
115	F	13	71
115	B	46	142
115	G	44	284
115	I	16	569
115	D	51	1139
116	A	0	2
116	C	0	4
116	E	0	8
116	J	0	17
116	H	13	35
116	F	13	71
116	B	46	142
116	D	47	285
116	G	45	570
116	I	18	1140
117	A	0	2
117	C	0	4
117	E	0	8
117	J	0	17
117	H	13	35
117	F	13	71
117	B	46	142
117	D	47	285
117	G	45	570
117	I	19	1141
118	A	0	2
118	C	0	4
118	E	0	8
118	J	0	17
118	H	13	35
118	F	13	71
118	B	46	142
118	D	47	285
118	I	17	571
118	G	46	1142
119	A	0	2
119	C	0	4
119	E	0	8
119	J	0	17
119	H	13	35
119	F	13	71
119	B	46	142
119	D	47	285
119	I	17	571
119	G	47	1143
120	A	0	2
120	C	0	4
120	E	0	8
120	J	0	17
120	H	13	35
120	F	13	71
120	D	46	143
120	G	48	286
120	I	20	572
120	B	48	1144
121	A	0	2
121	C	0	4
121	E	0	8
121	J	0	17
121	H	13	35
121	F	13	71
121	D	46	143
121	G	48	286
121	I	20	572
121	B	49	1145
122	A	0	2
122	C	0	4
122	E	0	8
122	J	0	17
122	H	13	35
122	F	13	71
122	D	46	143
122	G	48	286
122	I	21	573
122	B	50	1146
123	A	0	2
123	C	0	4
123	E	0	8
123	J	0	17
123	H	13	35
123	F	13	71
123	D	46	143
123	G	48	286
123	I	21	573
123	B	51	1147
124	A	0	2
124	C	0	4
124	E	0	8
