case,method,repeat,target_id,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,real_records,valid_root_independently_verified
uniform_n1000,pbc,0,33,308.403815,0.023035,6.479862,0.251332,300.58584,0.103673,0.901158,0.054382,1048955,10,True
uniform_n1000,pbc,0,565,302.405275,0.024686,3.502782,0.280297,297.610672,0.104238,0.82352,0.055324,1048955,11,True
uniform_n1000,ab,0,33,302.190594,0.005586,4.828654,0.273146,296.136666,0.100288,0.787815,0.055118,1048955,10,True
uniform_n1000,ab,0,565,297.162604,0.00616,2.572973,0.249169,293.386985,0.099928,0.777507,0.067106,1048955,11,True
complete_h10,treepir,0,934,303.904203,0.006769,4.834842,0.376988,297.429733,0.122964,1.104028,0.024442,1048955,10,True
complete_h10,treepir,0,431,299.115043,0.006738,2.447238,0.189197,295.382424,0.122516,0.939077,0.025196,1048955,10,True
complete_h10,ab,0,934,298.494264,0.004713,4.493608,0.269676,292.800408,0.130909,0.768735,0.023605,1048955,10,True
complete_h10,ab,0,431,303.161494,0.005881,2.453782,0.288773,299.342898,0.143453,0.898205,0.0253,1048955,10,True
complete_h10,pbc,0,934,294.631645,0.021979,3.882009,0.256916,289.53597,0.105284,0.802513,0.023725,1048955,10,True
complete_h10,pbc,0,431,294.69398,0.021016,2.908122,0.296056,290.51352,0.112386,0.814595,0.024678,1048955,10,True
