cohort,method,shapes,OPT_attained,failures,hit_fraction,mean_absolute_gap,max_absolute_gap,mean_relative_gap,max_relative_gap,absolute_gap_counts
base,First-fit,1323,96,1227,0.07256235827664399,2.054421768707483,6,0.4321563546053342,1.0,"{""0"": 96, ""1"": 364, ""2"": 374, ""3"": 376, ""4"": 91, ""5"": 18, ""6"": 4}"
base,AB,1323,1123,200,0.8488284202569917,0.15117157974300832,1,0.03670949861426052,0.25,"{""0"": 1123, ""1"": 200}"
base,AB + pair,1323,1125,198,0.8503401360544217,0.14965986394557823,1,0.036457545981355505,0.25,"{""0"": 1125, ""1"": 198}"
base,AB + 3,1323,1314,9,0.9931972789115646,0.006802721088435374,1,0.0014739229024943311,0.25,"{""0"": 1314, ""1"": 9}"
base,AB + 3→4,1323,1321,2,0.99848828420257,0.0015117157974300832,1,0.0003779289493575208,0.25,"{""0"": 1321, ""1"": 2}"
base,Exact OPT,1323,1323,0,1.0,0,0,0.0,0.0,"{""0"": 1323}"
holdout,First-fit,2115,20,2095,0.009456264775413711,3.0217494089834513,8,0.5630710345603962,1.4,"{""0"": 20, ""1"": 185, ""2"": 466, ""3"": 906, ""4"": 254, ""5"": 193, ""6"": 66, ""7"": 21, ""8"": 4}"
holdout,AB,2115,1780,335,0.8416075650118203,0.15839243498817968,1,0.029282899921197793,0.2,"{""0"": 1780, ""1"": 335}"
holdout,AB + pair,2115,1796,319,0.8491725768321513,0.1508274231678487,1,0.0280220646178093,0.2,"{""0"": 1796, ""1"": 319}"
holdout,AB + 3,2115,2073,42,0.9801418439716312,0.019858156028368795,1,0.003908589440504334,0.2,"{""0"": 2073, ""1"": 42}"
holdout,AB + 3→4,2115,2112,3,0.9985815602836879,0.0014184397163120568,1,0.00026792750197005515,0.2,"{""0"": 2112, ""1"": 3}"
holdout,Exact OPT,2115,2115,0,1.0,0,0,0.0,0.0,"{""0"": 2115}"
