cohort,id,source_index,n,N,m,method,U,OPT,absolute_gap,relative_gap,relative_gap_exact,ALG_over_OPT,OPT_attained,measurement_source
base,S0000,0,2,2,1,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0000,0,2,2,1,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0000,0,2,2,1,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0000,0,2,2,1,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0000,0,2,2,1,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0000,0,2,2,1,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0001,1,3,4,2,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0001,1,3,4,2,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0001,1,3,4,2,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0001,1,3,4,2,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0001,1,3,4,2,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0001,1,3,4,2,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0002,2,4,6,3,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0002,2,4,6,3,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0002,2,4,6,3,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0002,2,4,6,3,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0002,2,4,6,3,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0002,2,4,6,3,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0003,3,4,6,2,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0003,3,4,6,2,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0003,3,4,6,2,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0003,3,4,6,2,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0003,3,4,6,2,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0003,3,4,6,2,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0004,4,5,8,4,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0004,4,5,8,4,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0004,4,5,8,4,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0004,4,5,8,4,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0004,4,5,8,4,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0004,4,5,8,4,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0005,5,5,8,3,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0005,5,5,8,3,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0005,5,5,8,3,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0005,5,5,8,3,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0005,5,5,8,3,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0005,5,5,8,3,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0006,6,5,8,3,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0006,6,5,8,3,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0006,6,5,8,3,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0006,6,5,8,3,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0006,6,5,8,3,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0006,6,5,8,3,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0007,7,6,10,5,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0007,7,6,10,5,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0007,7,6,10,5,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0007,7,6,10,5,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0007,7,6,10,5,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0007,7,6,10,5,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0008,8,6,10,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0008,8,6,10,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0008,8,6,10,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0008,8,6,10,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0008,8,6,10,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0008,8,6,10,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0009,9,6,10,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0009,9,6,10,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0009,9,6,10,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0009,9,6,10,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0009,9,6,10,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0009,9,6,10,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0010,10,6,10,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0010,10,6,10,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0010,10,6,10,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0010,10,6,10,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0010,10,6,10,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0010,10,6,10,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0011,11,6,10,3,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0011,11,6,10,3,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0011,11,6,10,3,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0011,11,6,10,3,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0011,11,6,10,3,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0011,11,6,10,3,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0012,12,6,10,3,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0012,12,6,10,3,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0012,12,6,10,3,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0012,12,6,10,3,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0012,12,6,10,3,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0012,12,6,10,3,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0013,13,7,12,6,First-fit,2,2,0,0.0,0/2,1.0,1,frozen base First-fit; independently depth-checked
base,S0013,13,7,12,6,AB,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0013,13,7,12,6,AB + pair,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0013,13,7,12,6,AB + 3,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0013,13,7,12,6,AB + 3→4,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0013,13,7,12,6,Exact OPT,2,2,0,0.0,0/2,1.0,1,frozen result
base,S0014,14,7,12,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0014,14,7,12,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0014,14,7,12,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0014,14,7,12,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0014,14,7,12,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0014,14,7,12,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0015,15,7,12,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0015,15,7,12,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0015,15,7,12,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0015,15,7,12,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0015,15,7,12,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0015,15,7,12,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0016,16,7,12,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0016,16,7,12,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0016,16,7,12,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0016,16,7,12,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0016,16,7,12,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0016,16,7,12,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0017,17,7,12,4,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0017,17,7,12,4,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0017,17,7,12,4,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0017,17,7,12,4,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0017,17,7,12,4,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0017,17,7,12,4,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0018,18,7,12,4,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0018,18,7,12,4,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0018,18,7,12,4,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0018,18,7,12,4,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0018,18,7,12,4,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0018,18,7,12,4,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0019,19,7,12,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0019,19,7,12,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0019,19,7,12,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0019,19,7,12,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0019,19,7,12,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0019,19,7,12,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0020,20,7,12,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0020,20,7,12,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0020,20,7,12,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0020,20,7,12,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0020,20,7,12,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0020,20,7,12,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0021,21,7,12,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0021,21,7,12,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0021,21,7,12,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0021,21,7,12,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0021,21,7,12,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0021,21,7,12,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0022,22,7,12,4,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0022,22,7,12,4,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0022,22,7,12,4,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0022,22,7,12,4,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0022,22,7,12,4,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0022,22,7,12,4,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0023,23,7,12,3,First-fit,6,4,2,0.5,2/4,1.5,0,frozen base First-fit; independently depth-checked
base,S0023,23,7,12,3,AB,5,4,1,0.25,1/4,1.25,0,frozen result
base,S0023,23,7,12,3,AB + pair,5,4,1,0.25,1/4,1.25,0,frozen result
base,S0023,23,7,12,3,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0023,23,7,12,3,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0023,23,7,12,3,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0024,24,8,14,6,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0024,24,8,14,6,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0024,24,8,14,6,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0024,24,8,14,6,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0024,24,8,14,6,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0024,24,8,14,6,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0025,25,8,14,6,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0025,25,8,14,6,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0025,25,8,14,6,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0025,25,8,14,6,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0025,25,8,14,6,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0025,25,8,14,6,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0026,26,8,14,6,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0026,26,8,14,6,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0026,26,8,14,6,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0026,26,8,14,6,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0026,26,8,14,6,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0026,26,8,14,6,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0027,27,8,14,5,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0027,27,8,14,5,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0027,27,8,14,5,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0027,27,8,14,5,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0027,27,8,14,5,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0027,27,8,14,5,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0028,28,8,14,5,First-fit,4,4,0,0.0,0/4,1.0,1,frozen base First-fit; independently depth-checked
base,S0028,28,8,14,5,AB,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0028,28,8,14,5,AB + pair,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0028,28,8,14,5,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0028,28,8,14,5,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0028,28,8,14,5,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0029,29,8,14,6,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0029,29,8,14,6,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0029,29,8,14,6,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0029,29,8,14,6,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0029,29,8,14,6,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0029,29,8,14,6,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0030,30,8,14,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0030,30,8,14,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0030,30,8,14,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0030,30,8,14,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0030,30,8,14,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0030,30,8,14,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0031,31,8,14,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0031,31,8,14,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0031,31,8,14,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0031,31,8,14,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0031,31,8,14,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0031,31,8,14,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0032,32,8,14,5,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0032,32,8,14,5,AB,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0032,32,8,14,5,AB + pair,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0032,32,8,14,5,AB + 3,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0032,32,8,14,5,AB + 3→4,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0032,32,8,14,5,Exact OPT,3,3,0,0.0,0/3,1.0,1,frozen result
base,S0033,33,8,14,4,First-fit,6,4,2,0.5,2/4,1.5,0,frozen base First-fit; independently depth-checked
base,S0033,33,8,14,4,AB,5,4,1,0.25,1/4,1.25,0,frozen result
base,S0033,33,8,14,4,AB + pair,5,4,1,0.25,1/4,1.25,0,frozen result
base,S0033,33,8,14,4,AB + 3,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0033,33,8,14,4,AB + 3→4,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0033,33,8,14,4,Exact OPT,4,4,0,0.0,0/4,1.0,1,frozen result
base,S0034,34,8,14,6,First-fit,4,3,1,0.3333333333333333,1/3,1.3333333333333333,0,frozen base First-fit; independently depth-checked
base,S0034,34,8,14,6,AB,3,3,0,0.0,0/3,1.0,1,frozen result
