method,repeat,proofs_verified,max_bucket,mean_e2e_ms,mean_query_ms,mean_server_answer_ms,mean_recover_ms,mean_route_ms,mean_verify_ms,mean_request_response_ms,mean_upload_wire_bytes,mean_download_wire_bytes,mean_online_wire_bytes,bootstrap_ms,bootstrap_upload_wire_bytes,bootstrap_download_wire_bytes,bootstrap_total_wire_bytes,metadata_bytes,slots_bytes,hint_matrix_bytes,shared_A_matrix_bytes,cache_payload_bytes,client_peak_rss_bytes,server_peak_rss_bytes,server_setup_ms,logical_queries,pair_wall_seconds,client_pid,server_pid
first_fit,0,100,58,5.86517064,5.29270477,0.02153501,0.22035813,0.01930661,0.01214839,0.3191844,4336,4304,8640,17.00842,15,4938163,4938178,4842,1600,2621440,2293760,0,23945216,31457280,109.499402,9,0.821964991999991,410,406
full_cache,0,100,198,0.03167984,0,0,0.00049506,0.00173809,0.0259252,0,0,0,0,1.071521,15,12815,12830,4778,1600,0,0,6336,5767168,4194304,0.001909,0,0.09630006999999807,420,416
opt_witness22,0,100,22,5.96181232,5.28986539,0.01654716,0.28927778,0.00824472,0.01363862,0.35909938,4336,5200,9536,14.147234,15,5921227,5921242,4842,1600,3538944,2359296,0,24248320,32710656,111.14154,9,0.8321149989999981,429,425
activebalance,0,100,23,6.24095214,5.5606129,0.01812401,0.28740383,0.00880935,0.01367374,0.36926385,4336,5200,9536,22.37709,15,5888459,5888474,4842,1600,3538944,2326528,0,24727552,32022528,131.4499,9,0.9306738419999903,439,434
full_cache,1,100,198,0.02817026,0,0,0.00046505,0.00149486,0.02191165,0,0,0,0,0.92598,15,12815,12830,4778,1600,0,0,6336,5636096,4325376,0.002756,0,0.09165369199999418,448,444
activebalance,1,100,23,6.52033428,5.79494726,0.01804916,0.30344271,0.00888227,0.01415333,0.39768367,4336,5200,9536,18.78704,15,5888459,5888474,4842,1600,3538944,2326528,0,24354816,31518720,119.824048,9,0.9613293369999951,458,453
first_fit,1,100,58,5.81649896,5.23463956,0.02382163,0.22444582,0.01844179,0.01295825,0.32474713,4336,4304,8640,13.780741,15,4938163,4938178,4842,1600,2621440,2293760,0,21364736,32243712,110.816957,9,0.8109775609999872,468,463
opt_witness22,1,100,22,5.61430653,4.98918666,0.01628505,0.27301856,0.00755012,0.01268189,0.33077646,4336,5200,9536,17.875207,15,5921227,5921242,4842,1600,3538944,2359296,0,24354816,31412224,100.730195,9,0.8001586369999956,478,474
opt_witness22,2,100,22,6.06184766,5.41244676,0.01827951,0.28535273,0.00819938,0.01387067,0.34038763,4336,5200,9536,20.26398,15,5921227,5921242,4842,1600,3538944,2359296,0,24510464,32768000,100.289691,9,0.8427105009999991,489,485
first_fit,2,100,58,6.02015545,5.43270963,0.02307241,0.21884834,0.02406338,0.01354207,0.3296094,4336,4304,8640,16.169477,15,4938163,4938178,4842,1600,2621440,2293760,0,20971520,31064064,95.216831,9,0.8354769879999964,500,495
full_cache,2,100,198,0.02918459,0,0,0.00045497999999999996,0.00152233,0.02369696,0,0,0,0,1.050027,15,12815,12830,4778,1600,0,0,6336,5767168,4325376,0.001594,0,0.09139043999999785,509,505
activebalance,2,100,23,6.46284265,5.76621317,0.01865586,0.29533109,0.009042670000000001,0.01390512,0.37702726,4336,5200,9536,13.846202,15,5888459,5888474,4842,1600,3538944,2326528,0,24338432,31006720,116.94451,9,0.878737552000004,519,514
opt_witness22,3,100,22,6.24785617,5.52119871,0.01972287,0.30049349999999997,0.00880463,0.01353925,0.40256678,4336,5200,9536,15.942905,15,5921227,5921242,4842,1600,3538944,2359296,0,24223744,30928896,117.349336,9,0.8581514079999977,527,523
first_fit,3,100,58,6.25637512,5.65880628,0.025181910000000002,0.23085925,0.02577808,0.01454378,0.32480838,4336,4304,8640,18.199888,15,4938163,4938178,4842,1600,2621440,2293760,0,21102592,31510528,141.966255,9,0.9205356029999905,538,533
activebalance,3,100,23,6.28217977,5.59471064,0.01913644,0.30116583,0.0083756,0.01381892,0.35937673,4336,5200,9536,17.943329,15,5888459,5888474,4842,1600,3538944,2326528,0,24281088,32301056,158.115249,9,0.9119447799999989,547,542
full_cache,3,100,198,0.02579609,0,0,0.00040574999999999997,0.0014288,0.02089468,0,0,0,0,0.96382,15,12815,12830,4778,1600,0,0,6336,5767168,4194304,0.001888,0,0.0870313829999958,555,551
opt_witness22,4,100,22,6.0160919999999996,5.35077468,0.01805528,0.28553585,0.00815399,0.01389962,0.35659194,4336,5200,9536,21.031333,15,5921227,5921242,4842,1600,3538944,2359296,0,24170496,30699520,120.520542,9,0.8949127099999998,565,560
activebalance,4,100,23,5.69030372,5.07030299,0.01914238,0.28041337,0.00748752,0.0121054,0.31886329,4336,5200,9536,19.82211,15,5888459,5888474,4842,1600,3538944,2326528,0,24494080,30642176,147.869216,9,0.8659035679999931,575,570
full_cache,4,100,198,0.02667325,0,0,0.00038943,0.00138425,0.0211262,0,0,0,0,0.873268,15,12815,12830,4778,1600,0,0,6336,5767168,4325376,0.001645,0,0.08917922999999917,584,580
first_fit,4,100,58,6.08889214,5.47690353,0.02286869,0.21945936,0.01945856,0.0138997,0.35762041,4336,4304,8640,14.978901,15,4938163,4938178,4842,1600,2621440,2293760,0,24080384,29048832,127.403827,9,0.8962186879999905,594,589
