id,source_index,n,N,m,B,Bhier,OPT,FF,AB,FF_exact_gap,AB_exact_gap,FF_certificate_excess_Bhier,AB_certificate_excess_Bhier,AB_passes,AB_moves,AB_budget_exhausted
S0000,0,2,2,1,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0001,1,3,4,2,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0002,2,4,6,3,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0003,3,4,6,2,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0004,4,5,8,4,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0005,5,5,8,3,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0006,6,5,8,3,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0007,7,6,10,5,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0008,8,6,10,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0009,9,6,10,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0010,10,6,10,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0011,11,6,10,3,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0012,12,6,10,3,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0013,13,7,12,6,2,2,2,2,2,0.0,0.0,0.0,0.0,1,0,False
S0014,14,7,12,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0015,15,7,12,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0016,16,7,12,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0017,17,7,12,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0018,18,7,12,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0019,19,7,12,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0020,20,7,12,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0021,21,7,12,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0022,22,7,12,4,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0023,23,7,12,3,4,4,4,6,5,0.5,0.25,0.5,0.25,2,1,False
S0024,24,8,14,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0025,25,8,14,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0026,26,8,14,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0027,27,8,14,5,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0028,28,8,14,5,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0029,29,8,14,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0030,30,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0031,31,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0032,32,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0033,33,8,14,4,4,4,4,6,5,0.5,0.25,0.5,0.25,2,1,False
S0034,34,8,14,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,2,1,False
S0035,35,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0036,36,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0037,37,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0038,38,8,14,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0039,39,8,14,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0040,40,8,14,5,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0041,41,8,14,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0042,42,8,14,4,4,4,4,6,4,0.5,0.0,0.5,0.0,2,1,False
S0043,43,8,14,4,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0044,44,8,14,4,4,4,4,6,4,0.5,0.0,0.5,0.0,3,2,False
S0045,45,8,14,3,5,5,5,8,5,0.6,0.0,0.6,0.0,2,1,False
S0046,46,9,16,6,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0047,47,9,16,6,4,4,4,4,4,0.0,0.0,0.0,0.0,2,1,False
S0048,48,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0049,49,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0050,50,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0051,51,9,16,5,4,4,4,6,5,0.5,0.25,0.5,0.25,2,1,False
S0052,52,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0053,53,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
S0054,54,9,16,6,3,3,3,4,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3,2,False
