N,U_over_B,actual_moves,actual_n,actual_passes,algorithm,checkpoint_validation_io_s,coloring_s,compact_extractor,converged,depth_active_queries,distribution,exit_code,extraction_forest_stats_s,height,host,id,imports_s,key_generation_s,key_mode,key_sha256,label,last_completed_checkpoint_only,loads,lower_bound,m,max_bucket,measured_total_s,memory_scope,n,passes,peak_rss_bytes,pid,platform,process_worker_s,python,repeat,rss_bytes,seed,shared_prefix_bits,source,status,subprocess_wall_s,timeout_limit_s,valid
1998,16.125,1,1000,1,ab-sorted,0.013415000052191317,0.0931043999735266,compressed branching extraction; legacy node/order validated in selfcheck,False,128,comb,0,0.009359800023958087,128,Highlights,comb_n1000_h128_ab-sorted_p1_s20260910_r1,0.5778343999991193,0.0006213999586179852,,824bbc179b90423229cd2686b6908b2526418029103915aa6c24f12284977658,,,"[3, 4, 6, 10, 18, 34, 66, 126, 220, 221, 116, 36, 6, 258, 224, 130, 128, 64, 50, 32, 16, 8, 8, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",16,128,258,0.2401825999841094,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,1,75640832,48804,Windows-11-10.0.26200-SP0,0.8180189999984577,3.14.2,1,75640832,20260910,,,complete,1.0786226999480277,120.0,True
1998,2.1875,20,1000,20,ab-sorted,0.06408600031863898,2.083027199609205,compressed branching extraction; legacy node/order validated in selfcheck,False,128,comb,0,0.007457299972884357,128,Highlights,comb_n1000_h128_ab-sorted_p20_s20260910_r1,0.5927991999778897,0.00035740004386752844,,824bbc179b90423229cd2686b6908b2526418029103915aa6c24f12284977658,,,"[7, 19, 16, 29, 20, 16, 14, 10, 17, 25, 8, 10, 22, 23, 16, 10, 10, 8, 8, 22, 7, 27, 8, 19, 30, 11, 34, 32, 14, 18, 10, 10, 7, 18, 11, 16, 19, 10, 16, 14, 20, 10, 19, 7, 27, 9, 21, 30, 19, 16, 10, 8, 8, 18, 18, 9, 34, 7, 20, 14, 10, 10, 8, 10, 20, 7, 22, 16, 7, 10, 6, 6, 35, 20, 30, 18, 34, 32, 18, 18, 10, 6, 8, 14, 21, 11, 24, 16, 10, 10, 17, 6, 20, 12, 32, 26, 18, 18, 10, 8, 6, 12, 15, 32, 24, 22, 18, 10, 10, 6, 8, 11, 30, 18, 14, 10, 6, 6, 6, 12, 8, 7, 32, 22, 18, 18, 10, 8]",16,128,35,2.2743398000020534,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,20,124649472,42552,Windows-11-10.0.26200-SP0,2.8671408999944106,3.14.2,1,124649472,20260910,,,complete,3.2228745999746025,120.0,True
1998,29.875,0,1000,0,first-fit,0.004442400066182017,0.003644899930804968,compressed branching extraction; legacy node/order validated in selfcheck,False,128,comb,0,0.005856000003404915,128,Highlights,comb_n1000_h128_first-fit_p0_s20260910_r1,0.6017155000008643,0.00031050003599375486,,824bbc179b90423229cd2686b6908b2526418029103915aa6c24f12284977658,,,"[2, 4, 8, 16, 32, 64, 128, 252, 442, 478, 244, 84, 12, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",16,128,478,0.12243049999233335,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74403840,10216,Windows-11-10.0.26200-SP0,0.7241481000091881,3.14.2,1,73416704,20260910,,,complete,1.1001315999310464,120.0,True
254,1.25,5,128,5,ab-hungarian,0.017848799820058048,0.14934880018699914,compressed branching extraction; legacy node/order validated in selfcheck,False,16,comb,0,0.0005706999218091369,16,Highlights,comb_n128_h16_ab-hungarian_p5_s20260910_r1,0.5857775999465957,3.9100064896047115e-05,,37a6036377cf780afa5ecc3b03392fd4f499294998093dfd147fd54f71efeab3,,,"[12, 15, 18, 17, 15, 15, 15, 16, 15, 16, 16, 14, 18, 14, 18, 20]",16,16,20,0.2707048000302166,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,72671232,47268,Windows-11-10.0.26200-SP0,0.8564834999851882,3.14.2,1,72204288,20260910,,,complete,1.1163101999554783,120.0,True
254,1.1875,5,128,5,ab-sorted,0.028038399992510676,0.01742499996908009,compressed branching extraction; legacy node/order validated in selfcheck,False,16,comb,0,0.0011656000278890133,16,Highlights,comb_n128_h16_ab-sorted_p5_s20260910_r1,0.6447310999501497,0.0001669999910518527,,37a6036377cf780afa5ecc3b03392fd4f499294998093dfd147fd54f71efeab3,,,"[16, 13, 19, 16, 16, 17, 15, 15, 16, 19, 18, 15, 15, 14, 16, 14]",16,16,19,0.14641909999772906,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,73195520,30104,Windows-11-10.0.26200-SP0,0.7911523999646306,3.14.2,1,72581120,20260910,,,complete,1.1201640999643132,120.0,True
254,4.625,0,128,0,first-fit,0.0044414999429136515,0.00047940004151314497,compressed branching extraction; legacy node/order validated in selfcheck,False,16,comb,0,0.0019551999866962433,16,Highlights,comb_n128_h16_first-fit_p0_s20260910_r1,0.6501540000317618,9.059999138116837e-05,,37a6036377cf780afa5ecc3b03392fd4f499294998093dfd147fd54f71efeab3,,,"[2, 4, 8, 16, 32, 58, 74, 32, 14, 2, 2, 2, 2, 2, 2, 2]",16,16,74,0.12186319997999817,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,0,73011200,48276,Windows-11-10.0.26200-SP0,0.7720196000300348,3.14.2,1,72019968,20260910,,,complete,1.0534605000866577,120.0,True
254,1.0625,2,128,2,hybrid,0.009811299969442189,0.02883680013474077,compressed branching extraction; legacy node/order validated in selfcheck,False,16,comb,0,0.0013097000773996115,16,Highlights,comb_n128_h16_hybrid_p2_s20260910_r1,0.5504718000302091,6.989995017647743e-05,,37a6036377cf780afa5ecc3b03392fd4f499294998093dfd147fd54f71efeab3,,,"[17, 14, 17, 17, 17, 17, 17, 17, 17, 16, 10, 17, 16, 17, 12, 16]",16,16,17,0.13552470004651695,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,2,72806400,33076,Windows-11-10.0.26200-SP0,0.685998999979347,3.14.2,1,72753152,20260910,,,complete,0.9889523000456393,120.0,True
198,1.0454545454545454,4,100,5,ab-hungarian,0.019359600148163736,0.028237999882549047,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,0.0005212000105530024,128,Highlights,fuel_n100_h128_ab-hungarian_p20_s20260910_r1,0.5954514000331983,0.001171999960206449,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[23, 22, 22, 21, 22, 22, 22, 22, 22]",22,9,23,0.15015029988717288,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73064448,44176,Windows-11-10.0.26200-SP0,0.7456030999310315,3.14.2,1,72462336,20260910,,datasets/fuel_smt_test_workload.csv,complete,1.0204247999936342,120.0,True
198,1.0454545454545454,5,100,6,ab-sorted,0.018929699901491404,0.007202700129710138,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,0.0009988999227061868,128,Highlights,fuel_n100_h128_ab-sorted_p20_s20260910_r1,0.6581932000117376,0.0020863000536337495,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[22, 23, 22, 22, 22, 22, 22, 21, 22]",22,9,23,0.14642740006092936,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73326592,47152,Windows-11-10.0.26200-SP0,0.8046222000848502,3.14.2,1,72720384,20260910,,datasets/fuel_smt_test_workload.csv,complete,1.102139199967496,120.0,True
198,2.6363636363636362,0,100,0,first-fit,0.0023787999525666237,0.00028000003658235073,compressed branching extraction; legacy node/order validated in selfcheck,False,11,real,0,0.0010963000822812319,128,Highlights,fuel_n100_h128_first-fit_p0_s20260910_r1,0.45934020006097853,0.0016060000052675605,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[2, 4, 8, 16, 32, 56, 58, 20, 2]",22,9,58,0.08802860009018332,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,0,72851456,47836,Windows-11-10.0.26200-SP0,0.5473704000469297,3.14.2,1,71860224,20260910,,datasets/fuel_smt_test_workload.csv,complete,0.8170017999364063,120.0,True
