node_index,depth,left_rank,right_rank,weight,color
340282366920938463463374607431768211456,128,1,1,1,79
170141183460469231731687303715884105728,127,2,2,1,19
85070591730234615865843651857942052864,126,3,3,1,127
42535295865117307932921825928971026432,125,4,4,1,26
21267647932558653966460912964485513216,124,5,5,1,6
10633823966279326983230456482242756608,123,6,6,1,51
5316911983139663491615228241121378304,122,7,7,1,42
2658455991569831745807614120560689152,121,8,8,1,101
1329227995784915872903807060280344576,120,9,9,1,103
664613997892457936451903530140172288,119,10,10,1,3
332306998946228968225951765070086144,118,11,11,1,2
166153499473114484112975882535043072,117,12,12,1,119
83076749736557242056487941267521536,116,13,13,1,98
41538374868278621028243970633760768,115,14,14,1,89
20769187434139310514121985316880384,114,15,15,1,112
10384593717069655257060992658440192,113,16,16,1,97
5192296858534827628530496329220096,112,17,17,1,20
2596148429267413814265248164610048,111,18,18,1,81
1298074214633706907132624082305024,110,19,19,1,118
649037107316853453566312041152512,109,20,20,1,68
324518553658426726783156020576256,108,21,21,1,117
162259276829213363391578010288128,107,22,22,1,100
81129638414606681695789005144064,106,23,23,1,52
40564819207303340847894502572032,105,24,24,1,83
20282409603651670423947251286016,104,25,25,1,1
10141204801825835211973625643008,103,26,26,1,63
5070602400912917605986812821504,102,27,27,1,33
2535301200456458802993406410752,101,28,28,1,35
1267650600228229401496703205376,100,29,29,1,70
633825300114114700748351602688,99,30,30,1,88
316912650057057350374175801344,98,31,31,1,111
158456325028528675187087900672,97,32,32,1,80
79228162514264337593543950336,96,33,33,1,50
39614081257132168796771975168,95,34,34,1,107
19807040628566084398385987584,94,35,35,1,110
9903520314283042199192993792,93,36,36,1,91
4951760157141521099596496896,92,37,37,1,59
2475880078570760549798248448,91,38,38,1,87
1237940039285380274899124224,90,39,39,1,84
618970019642690137449562112,89,40,40,1,76
309485009821345068724781056,88,41,41,1,13
154742504910672534362390528,87,42,42,1,28
77371252455336267181195264,86,43,43,1,48
38685626227668133590597632,85,44,44,1,125
19342813113834066795298816,84,45,45,1,113
9671406556917033397649408,83,46,46,1,105
4835703278458516698824704,82,47,47,1,67
2417851639229258349412352,81,48,48,1,96
1208925819614629174706176,80,49,49,1,102
604462909807314587353088,79,50,50,1,94
302231454903657293676544,78,51,51,1,95
151115727451828646838272,77,52,52,1,22
75557863725914323419136,76,53,53,1,85
37778931862957161709568,75,54,54,1,78
18889465931478580854784,74,55,55,1,34
9444732965739290427392,73,56,56,1,39
4722366482869645213696,72,57,57,1,106
2361183241434822606848,71,58,58,1,41
1180591620717411303424,70,59,59,1,43
590295810358705651712,69,60,60,1,104
295147905179352825856,68,61,61,1,45
147573952589676412928,67,62,62,1,47
73786976294838206464,66,63,63,1,65
36893488147419103232,65,64,64,1,123
18446744073709551616,64,65,65,1,128
9223372036854775808,63,66,66,1,44
4611686018427387904,62,67,67,1,7
2305843009213693952,61,68,68,1,27
1152921504606846976,60,69,69,1,60
576460752303423488,59,70,70,1,74
288230376151711744,58,71,71,1,90
144115188075855872,57,72,72,1,12
72057594037927936,56,73,73,1,18
36028797018963968,55,74,74,1,57
18014398509481984,54,75,75,1,4
9007199254740992,53,76,76,1,61
4503599627370496,52,77,77,1,86
2251799813685248,51,78,78,1,99
1125899906842624,50,79,79,1,8
562949953421312,49,80,80,1,108
281474976710656,48,81,81,1,77
140737488355328,47,82,82,1,25
70368744177664,46,83,83,1,15
35184372088832,45,84,84,1,124
17592186044416,44,85,85,1,16
8796093022208,43,86,86,1,11
4398046511104,42,87,87,1,114
2199023255552,41,88,88,1,75
1099511627776,40,89,89,1,36
549755813888,39,90,90,1,49
274877906944,38,91,91,1,24
137438953472,37,92,92,1,71
68719476736,36,93,93,1,53
34359738368,35,94,94,1,17
17179869184,34,95,95,1,31
