node_index,depth,left_rank,right_rank,weight,color
65536,16,1,1,1,14
32768,15,2,2,1,8
16384,14,3,3,1,16
8192,13,4,4,1,4
4096,12,5,5,1,2
2048,11,6,6,1,13
1024,10,7,7,1,15
512,9,8,8,1,12
256,8,9,9,1,9
128,7,10,12,3,1
64,6,13,14,2,11
32,5,15,16,2,5
16,4,17,23,7,10
8,3,24,38,15,4
4,2,39,65,27,1
2,1,66,127,62,1
65537,16,0,0,1,14
32769,15,0,1,2,8
16385,14,0,2,3,16
8193,13,0,3,4,4
4097,12,0,4,5,2
2049,11,0,5,6,13
1025,10,0,6,7,15
513,9,0,7,8,12
257,8,0,8,9,9
4128,12,11,11,1,12
258,8,12,12,1,9
129,7,0,9,10,1
4129,12,10,10,1,12
259,8,10,11,2,9
130,7,14,14,1,1
65,6,0,12,13,11
131,7,13,13,1,1
66,6,16,16,1,11
33,5,0,14,15,5
67,6,15,15,1,11
544,9,18,18,1,9
136,7,19,19,1,1
68,6,20,21,2,11
34,5,22,23,2,5
17,4,0,16,17,10
545,9,17,17,1,9
137,7,17,18,2,1
558,9,21,21,1,1
69,6,17,19,3,11
559,9,20,20,1,1
142,7,23,23,1,11
35,5,17,21,5,5
143,7,22,22,1,11
288,8,25,25,1,2
72,6,26,27,2,12
36,5,28,31,4,11
18,4,32,38,7,10
9,3,0,23,24,3
289,8,24,24,1,2
146,7,27,27,1,2
73,6,24,25,2,12
147,7,26,26,1,2
148,7,29,29,1,2
74,6,30,31,2,12
37,5,24,27,4,11
149,7,28,28,1,2
150,7,31,31,1,2
75,6,28,29,2,12
151,7,30,30,1,2
310,8,33,33,1,12
38,5,34,38,5,11
19,4,24,31,8,10
311,8,32,32,1,12
624,9,35,35,1,1
156,7,36,36,1,2
78,6,37,38,2,12
39,5,32,33,2,11
625,9,34,34,1,1
157,7,34,35,2,2
634,9,38,38,1,2
79,6,34,36,3,12
635,9,37,37,1,2
1280,10,40,40,1,11
640,9,41,41,1,10
320,8,42,42,1,16
160,7,43,44,2,15
80,6,45,46,2,14
20,4,47,53,7,13
10,3,54,65,12,12
5,2,0,38,39,6
1281,10,39,39,1,11
641,9,39,40,2,10
321,8,39,41,3,16
644,9,44,44,1,16
161,7,39,42,4,15
645,9,43,43,1,16
326,8,46,46,1,15
81,6,39,44,6,14
327,8,45,45,1,15
168,7,48,48,1,16
84,6,49,49,1,15
42,5,50,53,4,14
21,4,39,46,8,13
169,7,47,47,1,16
85,6,47,48,2,15
172,7,51,51,1,16
86,6,52,53,2,15
43,5,47,49,3,14
173,7,50,50,1,16
698,9,53,53,1,16
87,6,50,51,2,15
699,9,52,52,1,16
176,7,55,55,1,16
88,6,56,56,1,15
44,5,57,59,3,14
22,4,60,65,6,13
11,3,39,53,15,12
177,7,54,54,1,16
89,6,54,55,2,15
5862,12,58,58,1,16
366,8,59,59,1,15
45,5,54,56,3,14
5863,12,57,57,1,16
367,8,57,58,2,15
92,6,61,61,1,15
46,5,62,65,4,14
23,4,54,59,6,13
93,6,60,60,1,15
188,7,63,63,1,16
94,6,64,65,2,15
47,5,60,61,2,14
189,7,62,62,1,16
190,7,65,65,1,16
95,6,62,63,2,15
191,7,64,64,1,16
768,9,67,67,1,9
384,8,68,69,2,8
192,7,70,70,1,7
96,6,71,72,2,6
48,5,73,77,5,5
24,4,78,85,8,4
12,3,86,99,14,9
6,2,100,127,28,5
3,1,0,65,66,7
769,9,66,66,1,9
6168,12,69,69,1,9
385,8,66,67,2,8
6169,12,68,68,1,9
193,7,66,69,4,7
194,7,72,72,1,7
97,6,66,70,5,6
195,7,71,71,1,7
392,8,74,74,1,7
98,6,75,77,3,6
49,5,66,72,7,5
393,8,73,73,1,7
396,8,76,76,1,8
198,7,77,77,1,7
99,6,73,74,2,6
397,8,75,75,1,8
199,7,75,76,2,7
3208,11,79,79,1,8
200,7,80,80,1,7
100,6,81,81,1,6
50,5,82,85,4,5
25,4,66,77,12,4
3209,11,78,78,1,8
201,7,78,79,2,7
101,6,78,80,3,6
204,7,83,83,1,7
102,6,84,85,2,6
51,5,78,81,4,5
205,7,82,82,1,7
206,7,85,85,1,7
103,6,82,83,2,6
207,7,84,84,1,7
832,9,87,88,2,6
208,7,89,89,1,5
52,5,90,94,5,4
26,4,95,99,5,10
13,3,66,85,20,3
1666,10,88,88,1,8
833,9,86,86,1,6
1667,10,87,87,1,8
209,7,86,88,3,5
106,6,91,94,4,5
53,5,86,89,4,4
1712,10,92,92,1,8
428,8,93,94,2,6
107,6,90,90,1,5
1713,10,91,91,1,8
858,9,94,94,1,8
429,8,91,92,2,6
859,9,93,93,1,8
108,6,96,98,3,5
54,5,99,99,1,4
27,4,86,94,9,10
438,8,97,98,2,6
109,6,95,95,1,5
878,9,98,98,1,8
439,8,96,96,1,6
879,9,97,97,1,8
55,5,95,98,4,4
7186,12,101,101,1,4
224,7,102,102,1,3
112,6,103,105,3,13
56,5,106,108,3,10
28,4,109,115,7,9
14,3,116,127,12,11
7,2,66,99,34,2
7187,12,100,100,1,4
225,7,100,101,2,3
906,9,104,104,1,4
226,7,105,105,1,3
113,6,100,102,3,13
907,9,103,103,1,4
227,7,103,104,2,3
916,9,107,107,1,3
114,6,108,108,1,13
57,5,100,105,6,10
917,9,106,106,1,3
115,6,106,107,2,13
232,7,110,112,3,3
116,6,113,114,2,13
58,5,115,115,1,10
29,4,100,108,9,9
3734,11,111,111,1,14
466,8,112,112,1,4
233,7,109,109,1,3
3735,11,110,110,1,14
467,8,110,111,2,4
3744,11,114,114,1,3
117,6,109,112,4,13
3745,11,113,113,1,3
59,5,109,114,6,10
480,8,117,118,2,4
240,7,119,119,1,3
120,6,120,121,2,13
60,5,122,124,3,10
30,4,125,127,3,9
15,3,100,115,16,11
962,9,118,118,1,14
481,8,116,116,1,4
