node_index,depth,left_rank,right_rank,weight,color
65536,16,1,1,1,14
32768,15,2,2,1,13
16384,14,3,3,1,12
8192,13,4,4,1,11
4096,12,5,5,1,10
2048,11,6,6,1,9
1024,10,7,7,1,8
512,9,8,8,1,7
256,8,9,9,1,6
128,7,10,12,3,5
64,6,13,14,2,5
32,5,15,16,2,10
16,4,17,23,7,2
8,3,24,38,15,2
4,2,39,65,27,3
2,1,66,127,62,11
65537,16,0,0,1,14
32769,15,0,1,2,13
16385,14,0,2,3,12
8193,13,0,3,4,11
4097,12,0,4,5,10
2049,11,0,5,6,9
1025,10,0,6,7,8
513,9,0,7,8,7
257,8,0,8,9,6
4128,12,11,11,1,6
258,8,12,12,1,7
129,7,0,9,10,5
4129,12,10,10,1,13
259,8,10,11,2,14
130,7,14,14,1,9
65,6,0,12,13,4
131,7,13,13,1,8
66,6,16,16,1,12
33,5,0,14,15,3
67,6,15,15,1,11
544,9,18,18,1,7
136,7,19,19,1,8
68,6,20,21,2,9
34,5,22,23,2,12
17,4,0,16,17,2
545,9,17,17,1,6
137,7,17,18,2,5
558,9,21,21,1,11
69,6,17,19,3,4
559,9,20,20,1,10
142,7,23,23,1,14
35,5,17,21,5,3
143,7,22,22,1,13
288,8,25,25,1,6
72,6,26,27,2,7
36,5,28,31,4,10
18,4,32,38,7,3
9,3,0,23,24,1
289,8,24,24,1,5
146,7,27,27,1,9
73,6,24,25,2,1
147,7,26,26,1,8
148,7,29,29,1,13
74,6,30,31,2,14
37,5,24,27,4,4
149,7,28,28,1,12
150,7,31,31,1,4
75,6,28,29,2,11
151,7,30,30,1,4
310,8,33,33,1,11
38,5,34,38,5,1
19,4,24,31,8,3
311,8,32,32,1,10
624,9,35,35,1,4
156,7,36,36,1,5
78,6,37,38,2,6
39,5,32,33,2,9
625,9,34,34,1,12
157,7,34,35,2,14
634,9,38,38,1,8
79,6,34,36,3,13
635,9,37,37,1,7
1280,10,40,40,1,8
640,9,41,41,1,9
320,8,42,42,1,10
160,7,43,44,2,11
80,6,45,46,2,14
20,4,47,53,7,16
10,3,54,65,12,16
5,2,0,38,39,16
1281,10,39,39,1,7
641,9,39,40,2,6
321,8,39,41,3,5
644,9,44,44,1,13
161,7,39,42,4,4
645,9,43,43,1,12
326,8,46,46,1,16
81,6,39,44,6,16
327,8,45,45,1,16
168,7,48,48,1,13
84,6,49,49,1,14
42,5,50,53,4,2
21,4,39,46,8,2
169,7,47,47,1,12
85,6,47,48,2,11
172,7,51,51,1,6
86,6,52,53,2,7
43,5,47,49,3,10
173,7,50,50,1,5
698,9,53,53,1,9
87,6,50,51,2,4
699,9,52,52,1,8
176,7,55,55,1,6
88,6,56,56,1,7
44,5,57,59,3,8
22,4,60,65,6,13
11,3,39,53,15,1
177,7,54,54,1,5
89,6,54,55,2,4
5862,12,58,58,1,11
366,8,59,59,1,12
45,5,54,56,3,1
5863,12,57,57,1,10
367,8,57,58,2,9
92,6,61,61,1,2
46,5,62,65,4,14
23,4,54,59,6,2
93,6,60,60,1,12
188,7,63,63,1,1
94,6,64,65,2,1
47,5,60,61,2,1
189,7,62,62,1,1
190,7,65,65,1,2
95,6,62,63,2,2
191,7,64,64,1,2
768,9,67,67,1,10
384,8,68,69,2,13
192,7,70,70,1,16
96,6,71,72,2,16
48,5,73,77,5,16
24,4,78,85,8,10
12,3,86,99,14,7
6,2,100,127,28,2
3,1,0,65,66,15
769,9,66,66,1,9
6168,12,69,69,1,16
385,8,66,67,2,8
6169,12,68,68,1,14
193,7,66,69,4,7
194,7,72,72,1,3
97,6,66,70,5,6
195,7,71,71,1,3
392,8,74,74,1,9
98,6,75,77,3,3
49,5,66,72,7,5
393,8,73,73,1,8
396,8,76,76,1,5
198,7,77,77,1,6
99,6,73,74,2,7
397,8,75,75,1,2
199,7,75,76,2,12
3208,11,79,79,1,3
200,7,80,80,1,3
100,6,81,81,1,3
50,5,82,85,4,14
25,4,66,77,12,15
3209,11,78,78,1,14
201,7,78,79,2,13
101,6,78,80,3,16
204,7,83,83,1,2
102,6,84,85,2,3
51,5,78,81,4,12
205,7,82,82,1,16
206,7,85,85,1,6
103,6,82,83,2,12
207,7,84,84,1,5
832,9,87,88,2,3
208,7,89,89,1,10
52,5,90,94,5,9
26,4,95,99,5,8
13,3,66,85,20,1
1666,10,88,88,1,6
833,9,86,86,1,9
1667,10,87,87,1,5
209,7,86,88,3,2
106,6,91,94,4,15
53,5,86,89,4,15
1712,10,92,92,1,14
428,8,93,94,2,1
107,6,90,90,1,15
1713,10,91,91,1,13
858,9,94,94,1,16
429,8,91,92,2,10
859,9,93,93,1,12
108,6,96,98,3,13
54,5,99,99,1,15
27,4,86,94,9,8
438,8,97,98,2,14
109,6,95,95,1,16
878,9,98,98,1,1
439,8,96,96,1,12
879,9,97,97,1,1
55,5,95,98,4,15
7186,12,101,101,1,9
224,7,102,102,1,10
112,6,103,105,3,13
56,5,106,108,3,4
28,4,109,115,7,3
14,3,116,127,12,12
7,2,66,99,34,4
7187,12,100,100,1,8
225,7,100,101,2,6
906,9,104,104,1,7
226,7,105,105,1,4
113,6,100,102,3,15
907,9,103,103,1,7
227,7,103,104,2,14
916,9,107,107,1,16
114,6,108,108,1,5
57,5,100,105,6,5
917,9,106,106,1,12
115,6,106,107,2,15
232,7,110,112,3,8
116,6,113,114,2,4
58,5,115,115,1,4
29,4,100,108,9,3
3734,11,111,111,1,13
466,8,112,112,1,14
233,7,109,109,1,4
3735,11,110,110,1,10
467,8,110,111,2,9
3744,11,114,114,1,15
117,6,109,112,4,7
3745,11,113,113,1,15
59,5,109,114,6,6
480,8,117,118,2,4
240,7,119,119,1,8
120,6,120,121,2,10
60,5,122,124,3,16
30,4,125,127,3,5
15,3,100,115,16,1
962,9,118,118,1,6
481,8,116,116,1,7
963,9,117,117,1,5
241,7,116,118,3,3
968,9,121,121,1,1
121,6,116,119,4,13
969,9,120,120,1,1
244,7,123,124,2,15
61,5,116,121,6,9
982,9,124,124,1,3
245,7,122,122,1,4
983,9,123,123,1,1
62,5,126,127,2,6
31,4,116,124,9,14
126,6,127,127,1,8
63,5,125,125,1,9
127,6,126,126,1,7
