node_index,depth,left_rank,right_rank,weight,color
1038,10,1,1,1,6
32,5,2,6,5,8
16,4,7,13,7,7
8,3,14,24,11,9
4,2,25,48,24,3
2,1,49,99,51,1
1039,10,0,0,1,6
66,6,3,6,4,5
33,5,0,1,2,8
268,8,4,4,1,2
134,7,5,6,2,2
67,6,2,2,1,2
269,8,3,3,1,2
2170,11,6,6,1,6
135,7,3,4,2,3
2171,11,5,5,1,6
276,8,8,9,2,5
138,7,10,11,2,3
34,5,12,13,2,6
17,4,0,6,7,7
554,9,9,9,1,3
277,8,7,7,1,2
555,9,8,8,1,2
278,8,11,11,1,6
139,7,7,9,3,6
279,8,10,10,1,5
70,6,13,13,1,8
35,5,7,11,5,8
71,6,12,12,1,8
144,7,15,15,1,2
36,5,16,18,3,7
18,4,19,24,6,6
9,3,0,13,14,9
145,7,14,14,1,5
74,6,17,18,2,5
37,5,14,15,2,7
300,8,18,18,1,3
75,6,16,16,1,8
301,8,17,17,1,2
152,7,20,20,1,3
76,6,21,21,1,8
38,5,22,24,3,7
19,4,14,18,5,6
153,7,19,19,1,2
77,6,19,20,2,5
156,7,23,23,1,3
78,6,24,24,1,8
39,5,19,21,3,7
157,7,22,22,1,2
79,6,22,23,2,5
320,8,26,26,1,6
160,7,27,28,2,1
80,6,29,29,1,1
20,4,30,39,10,6
10,3,40,48,9,8
5,2,0,24,25,1
321,8,25,25,1,6
646,9,28,28,1,6
161,7,25,26,2,1
647,9,27,27,1,6
81,6,25,28,4,9
336,8,31,32,2,9
84,6,33,35,3,7
42,5,36,39,4,7
21,4,25,29,5,7
674,9,32,32,1,2
337,8,30,30,1,9
675,9,31,31,1,5
170,7,34,35,2,9
85,6,30,32,3,7
684,9,35,35,1,2
171,7,33,33,1,9
685,9,34,34,1,5
344,8,37,37,1,2
172,7,38,38,1,9
86,6,39,39,1,1
43,5,30,35,6,1
345,8,36,36,1,5
173,7,36,37,2,9
87,6,36,38,3,1
1440,10,41,41,1,6
720,9,42,42,1,9
180,7,43,43,1,1
22,4,44,48,5,7
11,3,25,39,15,8
1441,10,40,40,1,2
721,9,40,41,2,5
181,7,40,42,3,1
368,8,45,45,1,5
92,6,46,46,1,2
46,5,47,48,2,1
23,4,40,43,4,7
369,8,44,44,1,9
93,6,44,45,2,6
94,6,48,48,1,9
47,5,44,46,3,1
95,6,47,47,1,6
768,9,50,50,1,4
192,7,51,52,2,6
48,5,53,55,3,6
24,4,56,60,5,9
12,3,61,75,15,3
6,2,76,99,24,6
3,1,0,48,49,4
769,9,49,49,1,7
386,8,52,52,1,7
193,7,49,50,2,9
387,8,51,51,1,4
98,6,54,55,2,8
49,5,49,52,4,8
796,9,55,55,1,4
99,6,53,53,1,7
797,9,54,54,1,9
200,7,57,58,2,8
100,6,59,60,2,3
25,4,49,55,7,3
1608,10,58,58,1,3
201,7,56,56,1,3
1609,10,57,57,1,3
202,7,60,60,1,4
101,6,56,58,3,6
203,7,59,59,1,7
420,8,62,62,1,4
210,7,63,63,1,4
52,5,64,67,4,4
26,4,68,75,8,4
13,3,49,60,12,5
421,8,61,61,1,4
211,7,61,62,2,9
428,8,65,65,1,8
214,7,66,67,2,9
53,5,61,63,3,7
429,8,64,64,1,7
430,8,67,67,1,6
215,7,64,65,2,6
431,8,66,66,1,8
216,7,69,70,2,7
108,6,71,72,2,6
54,5,73,75,3,5
27,4,61,67,7,5
434,8,70,70,1,9
217,7,68,68,1,7
435,8,69,69,1,8
218,7,72,72,1,9
109,6,68,70,3,6
219,7,71,71,1,8
440,8,74,74,1,8
110,6,75,75,1,9
55,5,68,72,5,5
441,8,73,73,1,7
111,6,73,74,2,6
448,8,77,78,2,9
224,7,79,79,1,2
56,5,80,82,3,2
28,4,83,91,9,9
14,3,92,99,8,7
7,2,49,75,27,2
1798,10,78,78,1,2
449,8,76,76,1,9
1799,10,77,77,1,5
225,7,76,78,3,4
228,7,81,81,1,5
114,6,82,82,1,9
57,5,76,79,4,3
229,7,80,80,1,4
115,6,80,81,2,3
116,6,84,84,1,2
58,5,85,91,7,7
29,4,76,82,7,7
117,6,83,83,1,2
944,9,86,86,1,2
472,8,87,87,1,5
236,7,88,89,2,3
118,6,90,91,2,3
59,5,83,84,2,3
945,9,85,85,1,2
473,8,85,86,2,5
474,8,89,89,1,5
237,7,85,87,3,3
475,8,88,88,1,5
958,9,91,91,1,5
119,6,85,89,5,4
959,9,90,90,1,5
120,6,93,93,1,2
60,5,94,97,4,2
30,4,98,99,2,2
15,3,76,91,16,8
121,6,92,92,1,5
488,8,95,95,1,9
244,7,96,97,2,5
61,5,92,93,2,9
489,8,94,94,1,4
490,8,97,97,1,4
245,7,94,95,2,3
491,8,96,96,1,3
126,6,99,99,1,8
31,4,92,97,6,8
127,6,98,98,1,8
