node_index,depth,left_rank,right_rank,weight,color
2048,11,1,2,2,13
1024,10,3,3,1,11
512,9,4,9,6,9
256,8,10,14,5,13
128,7,15,30,16,3
64,6,31,60,30,10
32,5,61,94,34,9
16,4,95,174,80,6
8,3,175,347,173,4
4,2,348,668,321,2
2,1,669,1347,679,7
4098,12,2,2,1,5
2049,11,0,0,1,6
4099,12,1,1,1,3
1025,10,0,2,3,11
2052,11,5,7,3,13
1026,10,8,9,2,11
513,9,0,3,4,9
1051392,20,6,6,1,6
8214,13,7,7,1,3
2053,11,4,4,1,13
1051393,20,5,5,1,5
8215,13,5,6,2,3
65768,16,9,9,1,6
1027,10,4,7,4,11
65769,16,8,8,1,5
514,9,11,14,4,3
257,8,0,9,10,12
2060,11,12,12,1,9
1030,10,13,14,2,9
515,9,10,10,1,12
2061,11,11,11,1,6
2062,11,14,14,1,12
1031,10,11,12,2,5
2063,11,13,13,1,12
16518,14,16,16,1,13
2064,11,17,17,1,11
1032,10,18,21,4,9
516,9,22,24,3,11
258,8,25,30,6,9
129,7,0,14,15,14
16519,14,15,15,1,13
2065,11,15,16,2,11
16536,14,19,19,1,14
8268,13,20,20,1,13
4134,12,21,21,1,11
1033,10,15,17,3,9
16537,14,18,18,1,14
8269,13,18,19,2,13
4135,12,18,20,3,11
1034,10,23,24,2,5
517,9,15,21,7,5
2070,11,24,24,1,9
1035,10,22,22,1,9
2071,11,23,23,1,9
2072,11,26,27,2,6
1036,10,28,28,1,5
518,9,29,30,2,11
259,8,15,24,10,6
8294,13,27,27,1,13
2073,11,25,25,1,6
8295,13,26,26,1,13
1037,10,25,27,3,5
1038,10,30,30,1,13
519,9,25,28,4,11
1039,10,29,29,1,13
4160,12,32,32,1,5
2080,11,33,34,2,6
1040,10,35,35,1,11
520,9,36,39,4,9
260,8,40,46,7,9
130,7,47,60,14,6
65,6,0,30,31,10
4161,12,31,31,1,3
16654,14,34,34,1,3
2081,11,31,32,2,13
16655,14,33,33,1,13
1041,10,31,34,4,11
1042,10,37,39,3,5
521,9,31,35,5,9
33382,15,38,38,1,13
2086,11,39,39,1,3
1043,10,36,36,1,5
33383,15,37,37,1,11
2087,11,37,38,2,6
522,9,41,46,6,6
261,8,31,39,9,12
8368,13,42,42,1,3
2092,11,43,44,2,5
1046,10,45,46,2,3
523,9,40,40,1,6
8369,13,41,41,1,13
4186,12,44,44,1,13
2093,11,41,42,2,11
4187,12,43,43,1,11
2094,11,46,46,1,12
1047,10,41,44,4,12
2095,11,45,45,1,5
8384,13,48,48,1,12
2096,11,49,49,1,14
1048,10,50,50,1,14
524,9,51,55,5,14
262,8,56,60,5,9
131,7,31,46,16,14
8385,13,47,47,1,12
2097,11,47,48,2,14
1049,10,47,49,3,5
2100,11,52,52,1,13
1050,10,53,55,3,12
525,9,47,50,4,3
2101,11,51,51,1,11
2102,11,54,55,2,11
1051,10,51,52,2,12
16826,14,55,55,1,3
2103,11,53,53,1,5
16827,14,54,54,1,13
526,9,57,60,4,14
263,8,47,55,9,9
2108,11,58,58,1,13
1054,10,59,60,2,3
527,9,56,56,1,14
2109,11,57,57,1,11
8440,13,60,60,1,12
1055,10,57,58,2,12
8441,13,59,59,1,5
8452,13,62,62,1,12
528,9,63,68,6,14
264,8,69,72,4,8
132,7,73,81,9,8
66,6,82,94,13,6
33,5,0,60,61,8
8453,13,61,61,1,12
4232,12,64,64,1,3
2116,11,65,66,2,5
1058,10,67,68,2,3
529,9,61,62,2,14
4233,12,63,63,1,13
4234,12,66,66,1,13
2117,11,63,64,2,11
4235,12,65,65,1,11
2118,11,68,68,1,12
1059,10,63,66,4,12
2119,11,67,67,1,5
1060,10,70,71,2,12
530,9,72,72,1,5
265,8,61,68,8,8
2122,11,71,71,1,13
1061,10,69,69,1,3
2123,11,70,70,1,11
531,9,69,71,3,14
4258,12,74,74,1,14
532,9,75,77,3,14
