node_index,depth,left_rank,right_rank,weight,color
1026,10,1,1,1,9
256,8,2,3,2,8
128,7,4,8,5,7
64,6,9,21,13,6
32,5,22,30,9,5
16,4,31,49,19,4
8,3,50,98,49,3
4,2,99,183,85,2
2,1,184,383,200,1
1027,10,0,0,1,9
514,9,3,3,1,9
257,8,0,1,2,8
515,9,2,2,1,9
16518,14,5,5,1,10
1032,10,6,7,2,9
258,8,8,8,1,8
129,7,0,3,4,7
16519,14,4,4,1,10
4134,12,7,7,1,10
1033,10,4,5,2,9
4135,12,6,6,1,10
259,8,4,7,4,8
520,9,10,12,3,9
260,8,13,13,1,8
130,7,14,21,8,7
65,6,0,8,9,6
1042,10,11,12,2,10
521,9,9,9,1,9
33382,15,12,12,1,11
1043,10,10,10,1,10
33383,15,11,11,1,11
261,8,9,12,4,8
524,9,15,17,3,9
262,8,18,21,4,8
131,7,9,13,5,7
2100,11,16,16,1,11
1050,10,17,17,1,10
525,9,14,14,1,9
2101,11,15,15,1,11
1051,10,15,16,2,10
526,9,19,21,3,9
263,8,14,17,4,8
2108,11,20,20,1,11
1054,10,21,21,1,10
527,9,18,18,1,9
2109,11,19,19,1,11
1055,10,19,20,2,10
528,9,23,23,1,9
264,8,24,25,2,8
132,7,26,26,1,7
66,6,27,30,4,6
33,5,0,21,22,5
529,9,22,22,1,9
530,9,25,25,1,9
265,8,22,23,2,8
531,9,24,24,1,9
133,7,22,25,4,7
268,8,28,29,2,8
134,7,30,30,1,7
67,6,22,26,5,6
1078,10,29,29,1,9
269,8,27,27,1,8
1079,10,28,28,1,9
135,7,27,29,3,7
136,7,32,34,3,7
68,6,35,38,4,6
34,5,39,49,11,5
17,4,0,30,31,4
2192,11,33,33,1,9
274,8,34,34,1,8
137,7,31,31,1,7
2193,11,32,32,1,9
275,8,32,33,2,8
138,7,36,38,3,7
69,6,31,34,4,6
278,8,37,38,2,8
139,7,35,35,1,7
558,9,38,38,1,9
279,8,36,36,1,8
559,9,37,37,1,9
140,7,40,42,3,7
70,6,43,49,7,6
35,5,31,38,8,5
282,8,41,42,2,8
141,7,39,39,1,7
566,9,42,42,1,9
283,8,40,40,1,8
567,9,41,41,1,9
36374,15,44,44,1,10
568,9,45,46,2,9
284,8,47,47,1,8
142,7,48,49,2,7
71,6,39,42,4,6
36375,15,43,43,1,10
1138,10,46,46,1,10
569,9,43,44,2,9
1139,10,45,45,1,10
285,8,43,46,4,8
9208,13,49,49,1,8
143,7,43,47,5,7
9209,13,48,48,1,8
288,8,51,51,1,8
144,7,52,53,2,7
72,6,54,60,7,6
36,5,61,71,11,5
18,4,72,98,27,4
