node_index,depth,left_rank,right_rank,weight,color
1026,10,1,1,1,10
256,8,2,3,2,9
128,7,4,8,5,7
64,6,9,21,13,3
32,5,22,30,9,2
16,4,31,49,19,1
8,3,50,98,49,4
4,2,99,183,85,6
2,1,184,383,200,8
1027,10,0,0,1,10
514,9,3,3,1,10
257,8,0,1,2,9
515,9,2,2,1,10
16518,14,5,5,1,5
1032,10,6,7,2,9
258,8,8,8,1,6
129,7,0,3,4,5
16519,14,4,4,1,5
4134,12,7,7,1,5
1033,10,4,5,2,9
4135,12,6,6,1,5
259,8,4,7,4,6
520,9,10,12,3,9
260,8,13,13,1,7
130,7,14,21,8,6
65,6,0,8,9,3
1042,10,11,12,2,5
521,9,9,9,1,9
33382,15,12,12,1,10
1043,10,10,10,1,5
33383,15,11,11,1,10
261,8,9,12,4,7
524,9,15,17,3,9
262,8,18,21,4,7
131,7,9,13,5,6
2100,11,16,16,1,10
1050,10,17,17,1,5
525,9,14,14,1,9
2101,11,15,15,1,10
1051,10,15,16,2,5
526,9,19,21,3,9
263,8,14,17,4,7
2108,11,20,20,1,10
1054,10,21,21,1,5
527,9,18,18,1,9
2109,11,19,19,1,10
1055,10,19,20,2,5
528,9,23,23,1,9
264,8,24,25,2,3
132,7,26,26,1,9
66,6,27,30,4,9
33,5,0,21,22,2
529,9,22,22,1,9
530,9,25,25,1,9
265,8,22,23,2,3
531,9,24,24,1,9
133,7,22,25,4,7
268,8,28,29,2,5
134,7,30,30,1,3
67,6,22,26,5,6
1078,10,29,29,1,10
269,8,27,27,1,5
1079,10,28,28,1,10
135,7,27,29,3,3
136,7,32,34,3,5
68,6,35,38,4,3
34,5,39,49,11,2
17,4,0,30,31,1
2192,11,33,33,1,6
274,8,34,34,1,7
137,7,31,31,1,5
2193,11,32,32,1,2
275,8,32,33,2,10
138,7,36,38,3,5
69,6,31,34,4,3
278,8,37,38,2,10
139,7,35,35,1,5
558,9,38,38,1,6
279,8,36,36,1,7
559,9,37,37,1,2
140,7,40,42,3,5
70,6,43,49,7,3
35,5,31,38,8,9
282,8,41,42,2,3
141,7,39,39,1,3
566,9,42,42,1,10
283,8,40,40,1,3
567,9,41,41,1,10
36374,15,44,44,1,5
568,9,45,46,2,9
284,8,47,47,1,9
142,7,48,49,2,9
71,6,39,42,4,9
36375,15,43,43,1,5
1138,10,46,46,1,5
569,9,43,44,2,9
1139,10,45,45,1,5
285,8,43,46,4,7
9208,13,49,49,1,5
143,7,43,47,5,6
9209,13,48,48,1,5
288,8,51,51,1,5
144,7,52,53,2,5
72,6,54,60,7,5
36,5,61,71,11,10
18,4,72,98,27,1
9,3,0,49,50,4
289,8,50,50,1,5
290,8,53,53,1,10
145,7,50,51,2,6
291,8,52,52,1,10
584,9,55,55,1,6
292,8,56,58,3,7
146,7,59,60,2,10
73,6,50,53,4,3
585,9,54,54,1,3
2344,11,57,57,1,6
586,9,58,58,1,9
293,8,54,55,2,7
2345,11,56,56,1,3
587,9,56,57,2,9
294,8,60,60,1,9
147,7,54,58,5,10
295,8,59,59,1,7
592,9,62,63,2,3
296,8,64,65,2,3
148,7,66,67,2,7
74,6,68,71,4,3
37,5,50,60,11,1
1186,10,63,63,1,5
593,9,61,61,1,9
1187,10,62,62,1,9
594,9,65,65,1,6
297,8,61,63,3,6
595,9,64,64,1,5
1196,10,67,67,1,9
149,7,61,65,5,7
1197,10,66,66,1,6
300,8,69,69,1,1
150,7,70,71,2,1
75,6,61,67,7,1
301,8,68,68,1,7
302,8,71,71,1,5
151,7,68,69,2,5
303,8,70,70,1,9
608,9,73,74,2,10
304,8,75,77,3,3
152,7,78,79,2,5
76,6,80,83,4,5
38,5,84,98,15,2
19,4,50,71,22,2
77960,16,74,74,1,7
609,9,72,72,1,10
77961,16,73,73,1,6
1220,10,76,76,1,7
610,9,77,77,1,10
305,8,72,74,3,3
1221,10,75,75,1,6
611,9,75,76,2,10
306,8,79,79,1,3
153,7,72,77,6,5
307,8,78,78,1,3
2474,11,81,81,1,3
154,7,82,83,2,3
77,6,72,79,8,9
2475,11,80,80,1,3
310,8,83,83,1,9
155,7,80,81,2,9
311,8,82,82,1,9
156,7,85,91,7,6
78,6,92,98,7,9
39,5,72,83,12,2
10064,13,86,86,1,10
1258,10,87,87,1,5
314,8,88,91,4,7
157,7,84,84,1,9
10065,13,85,85,1,10
1259,10,85,86,2,5
630,9,89,91,3,5
315,8,85,87,3,9
40408,15,90,90,1,10
1262,10,91,91,1,9
631,9,88,88,1,9
40409,15,89,89,1,10
1263,10,89,90,2,9
158,7,93,98,6,5
79,6,84,91,8,3
636,9,94,95,2,10
318,8,96,98,3,3
159,7,92,92,1,5
1274,10,95,95,1,7
637,9,93,93,1,10
1275,10,94,94,1,6
638,9,97,98,2,10
319,8,93,95,3,3
1278,10,98,98,1,7
639,9,96,96,1,10
1279,10,97,97,1,6
640,9,100,100,1,4
320,8,101,101,1,4
160,7,102,105,4,8
80,6,106,109,4,8
40,5,110,121,12,2
20,4,122,139,18,1
10,3,140,183,44,4
5,2,0,98,99,8
641,9,99,99,1,4
321,8,99,100,2,9
322,8,103,105,3,4
161,7,99,101,3,8
646,9,104,105,2,5
323,8,102,102,1,3
1294,10,105,105,1,9
647,9,103,103,1,5
1295,10,104,104,1,3
324,8,107,107,1,4
162,7,108,109,2,4
81,6,99,105,7,10
325,8,106,106,1,4
326,8,109,109,1,5
163,7,106,107,2,10
327,8,108,108,1,10
328,8,111,112,2,9
164,7,113,118,6,9
82,6,119,121,3,8
41,5,99,109,11,2
658,9,112,112,1,4
329,8,110,110,1,9
659,9,111,111,1,4
660,9,114,115,2,3
330,8,116,118,3,8
165,7,110,112,3,8
1322,10,115,115,1,10
661,9,113,113,1,3
1323,10,114,114,1,10
5296,12,117,117,1,4
2648,11,118,118,1,4
331,8,113,115,3,8
5297,12,116,116,1,4
2649,11,116,117,2,10
664,9,120,120,1,3
166,7,121,121,1,9
83,6,110,118,9,5
665,9,119,119,1,5
167,7,119,120,2,4
336,8,123,126,4,8
84,6,127,128,2,8
42,5,129,139,11,2
21,4,99,121,23,1
1348,10,124,124,1,9
674,9,125,126,2,2
337,8,122,122,1,8
1349,10,123,123,1,3
1350,10,126,126,1,9
675,9,123,124,2,2
1351,10,125,125,1,10
5468,12,128,128,1,4
85,6,122,126,5,4
5469,12,127,127,1,4
1376,10,130,130,1,10
688,9,131,131,1,3
172,7,132,136,5,3
86,6,137,139,3,8
43,5,122,128,7,5
1377,10,129,129,1,9
689,9,129,130,2,3
346,8,133,136,4,8
173,7,129,131,3,8
5556,12,134,134,1,5
2778,11,135,135,1,10
694,9,136,136,1,9
347,8,132,132,1,8
5557,12,133,133,1,5
2779,11,133,134,2,10
695,9,133,135,3,9
174,7,138,139,2,4
87,6,129,136,8,4
350,8,139,139,1,3
175,7,137,137,1,4
351,8,138,138,1,5
176,7,141,142,2,1
88,6,143,145,3,8
44,5,146,160,15,10
22,4,161,183,23,3
11,3,99,139,41,7
710,9,142,142,1,3
177,7,140,140,1,10
711,9,141,141,1,2
1430,10,144,144,1,3
178,7,145,145,1,10
89,6,140,142,3,8
1431,10,143,143,1,2
179,7,143,144,2,1
1440,10,147,148,2,3
360,8,149,149,1,2
180,7,150,151,2,8
90,6,152,160,9,1
45,5,140,145,6,5
5766,12,148,148,1,1
1441,10,146,146,1,1
5767,12,147,147,1,1
361,8,146,148,3,2
726,9,151,151,1,2
181,7,146,149,4,8
727,9,150,150,1,1
364,8,153,154,2,2
182,7,155,160,6,3
91,6,146,151,6,5
1462,10,154,154,1,3
365,8,152,152,1,3
1463,10,153,153,1,3
2930,11,156,156,1,9
732,9,157,158,2,2
366,8,159,160,2,8
183,7,152,154,3,8
2931,11,155,155,1,5
1466,10,158,158,1,9
733,9,155,156,2,2
1467,10,157,157,1,5
734,9,160,160,1,2
367,8,155,158,4,8
735,9,159,159,1,2
368,8,162,162,1,1
184,7,163,165,3,10
92,6,166,170,5,1
46,5,171,183,13,8
23,4,140,160,21,7
369,8,161,161,1,1
2964,11,164,164,1,1
370,8,165,165,1,1
185,7,161,162,2,10
2965,11,163,163,1,1
371,8,163,164,2,2
186,7,167,170,4,8
93,6,161,165,5,8
374,8,168,170,3,2
187,7,166,166,1,8
1500,10,169,169,1,10
750,9,170,170,1,5
375,8,167,167,1,9
1501,10,168,168,1,9
751,9,168,169,2,5
12074,13,172,172,1,10
188,7,173,178,6,2
94,6,179,183,5,7
47,5,161,170,10,7
12075,13,171,171,1,10
6050,12,174,174,1,5
1512,10,175,175,1,10
378,8,176,178,3,10
189,7,171,172,2,2
6051,12,173,173,1,9
1513,10,173,174,2,10
758,9,177,178,2,1
379,8,173,175,3,1
3036,11,178,178,1,5
759,9,176,176,1,1
3037,11,177,177,1,9
3052,11,180,180,1,10
1526,10,181,181,1,10
190,7,182,183,2,10
95,6,171,178,8,7
3053,11,179,179,1,10
1527,10,179,180,2,1
