node_index,depth,left_rank,right_rank,weight,color
274877906944,38,1,1,1,16
137438953472,37,2,2,1,6
68719476736,36,3,7,5,7
34359738368,35,8,13,6,8
17179869184,34,14,21,8,4
8589934592,33,22,40,19,17
4294967296,32,41,84,44,15
2147483648,31,85,173,89,11
1073741824,30,174,330,157,9
536870912,29,331,663,333,1
268435456,28,664,1311,648,3
134217728,27,1312,2493,1182,12
67108864,26,2494,5094,2601,6
33554432,25,5095,9999,4905,1
274877906945,38,0,0,1,16
137438953473,37,0,1,2,6
274877906948,38,4,4,1,16
137438953474,37,5,7,3,6
68719476737,36,0,2,3,7
274877906949,38,3,3,1,16
274877906950,38,6,7,2,16
137438953475,37,3,4,2,6
4398046511218,42,7,7,1,5
274877906951,38,5,5,1,16
4398046511219,42,6,6,1,5
274877906952,38,9,9,1,16
137438953476,37,10,10,1,6
68719476738,36,11,13,3,7
34359738369,35,0,7,8,8
274877906953,38,8,8,1,16
137438953477,37,8,9,2,6
137438953478,37,12,13,2,6
68719476739,36,8,10,3,7
8796093022680,43,13,13,1,16
137438953479,37,11,11,1,6
8796093022681,43,12,12,1,16
274877906960,38,15,15,1,6
137438953480,37,16,16,1,7
34359738370,35,17,21,5,8
17179869185,34,0,13,14,4
274877906961,38,14,14,1,6
137438953481,37,14,15,2,7
1099511627872,40,18,18,1,5
274877906968,38,19,19,1,16
137438953484,37,20,20,1,6
68719476742,36,21,21,1,7
34359738371,35,14,16,3,8
1099511627873,40,17,17,1,5
274877906969,38,17,18,2,16
137438953485,37,17,19,3,6
68719476743,36,17,20,4,7
274877906976,38,23,23,1,16
137438953488,37,24,26,3,6
68719476744,36,27,27,1,7
34359738372,35,28,32,5,8
17179869186,34,33,40,8,4
8589934593,33,0,21,22,17
274877906977,38,22,22,1,16
2199023255828,41,25,25,1,5
274877906978,38,26,26,1,16
137438953489,37,22,23,2,6
2199023255829,41,24,24,1,5
274877906979,38,24,25,2,16
68719476745,36,22,26,5,7
137438953492,37,29,30,2,6
68719476746,36,31,32,2,7
34359738373,35,22,27,6,8
2199023255902,41,30,30,1,16
137438953493,37,28,28,1,6
2199023255903,41,29,29,1,16
1099511627966,40,32,32,1,6
68719476747,36,28,30,3,7
1099511627967,40,31,31,1,6
68719476748,36,34,37,4,7
34359738374,35,38,40,3,8
17179869187,34,22,32,11,4
549755813994,39,35,35,1,16
137438953498,37,36,37,2,6
68719476749,36,33,33,1,7
549755813995,39,34,34,1,16
274877906998,38,37,37,1,16
137438953499,37,34,35,2,6
274877906999,38,36,36,1,16
137438953500,37,39,39,1,6
68719476750,36,40,40,1,7
34359738375,35,33,37,5,8
137438953501,37,38,38,1,6
68719476751,36,38,39,2,7
137438953504,37,42,43,2,6
68719476752,36,44,45,2,7
34359738376,35,46,51,6,8
17179869188,34,52,64,13,4
8589934594,33,65,84,20,17
4294967297,32,0,40,41,15
274877907010,38,43,43,1,16
137438953505,37,41,41,1,6
274877907011,38,42,42,1,16
137438953506,37,45,45,1,6
68719476753,36,41,43,3,7
137438953507,37,44,44,1,6
549755814032,39,47,47,1,6
68719476754,36,48,51,4,7
34359738377,35,41,45,5,8
549755814033,39,46,46,1,6
137438953510,37,49,51,3,6
68719476755,36,46,47,2,7
274877907022,38,50,51,2,16
137438953511,37,48,48,1,6
1099511628092,40,51,51,1,5
274877907023,38,49,49,1,16
1099511628093,40,50,50,1,5
137438953512,37,53,54,2,6
68719476756,36,55,57,3,7
34359738378,35,58,64,7,8
17179869189,34,41,51,11,4
274877907026,38,54,54,1,16
137438953513,37,52,52,1,6
274877907027,38,53,53,1,16
274877907030,38,56,57,2,6
68719476757,36,52,54,3,7
1099511628126,40,57,57,1,16
274877907031,38,55,55,1,6
1099511628127,40,56,56,1,16
137438953516,37,59,59,1,6
68719476758,36,60,64,5,7
34359738379,35,52,57,6,8
137438953517,37,58,58,1,6
549755814076,39,61,61,1,16
274877907038,38,62,64,3,6
68719476759,36,58,59,2,7
549755814077,39,60,60,1,16
4398046512624,42,63,63,1,5
549755814078,39,64,64,1,16
274877907039,38,60,61,2,6
4398046512625,42,62,62,1,5
549755814079,39,62,63,2,16
274877907040,38,66,66,1,16
137438953520,37,67,69,3,6
68719476760,36,70,70,1,7
34359738380,35,71,75,5,8
17179869190,34,76,84,9,4
8589934595,33,41,64,24,17
274877907041,38,65,65,1,16
549755814084,39,68,68,1,5
274877907042,38,69,69,1,16
137438953521,37,65,66,2,6
549755814085,39,67,67,1,5
274877907043,38,67,68,2,16
68719476761,36,65,69,5,7
4398046512776,42,72,72,1,16
1099511628194,40,73,73,1,6
68719476762,36,74,75,2,7
34359738381,35,65,70,6,8
4398046512777,42,71,71,1,16
1099511628195,40,71,72,2,6
137438953526,37,75,75,1,6
68719476763,36,71,73,3,7
137438953527,37,74,74,1,6
274877907056,38,77,77,1,16
137438953528,37,78,80,3,6
68719476764,36,81,82,2,7
34359738382,35,83,84,2,8
17179869191,34,65,75,11,4
274877907057,38,76,76,1,16
1099511628232,40,79,79,1,5
274877907058,38,80,80,1,16
137438953529,37,76,77,2,6
1099511628233,40,78,78,1,5
274877907059,38,78,79,2,16
1099511628244,40,82,82,1,6
68719476765,36,76,80,5,7
1099511628245,40,81,81,1,6
68719476766,36,84,84,1,7
34359738383,35,76,82,7,8
68719476767,36,83,83,1,7
137438953536,37,86,88,3,6
68719476768,36,89,91,3,7
34359738384,35,92,97,6,8
17179869192,34,98,110,13,4
8589934596,33,111,130,20,17
4294967298,32,131,173,43,15
2147483649,31,0,84,85,11
274877907074,38,87,88,2,16
137438953537,37,85,85,1,6
1099511628300,40,88,88,1,5
274877907075,38,86,86,1,16
1099511628301,40,87,87,1,5
274877907076,38,90,90,1,16
137438953538,37,91,91,1,6
68719476769,36,85,88,4,7
274877907077,38,89,89,1,16
137438953539,37,89,90,2,6
4398046513324,42,93,93,1,16
274877907082,38,94,94,1,6
68719476770,36,95,97,3,7
34359738385,35,85,91,7,8
4398046513325,42,92,92,1,16
274877907083,38,92,93,2,6
274877907084,38,96,96,1,16
137438953542,37,97,97,1,6
68719476771,36,92,94,3,7
274877907085,38,95,95,1,16
137438953543,37,95,96,2,6
274877907088,38,99,99,1,16
137438953544,37,100,100,1,6
68719476772,36,101,101,1,7
34359738386,35,102,110,9,8
17179869193,34,85,97,13,4
274877907089,38,98,98,1,16
137438953545,37,98,99,2,6
68719476773,36,98,100,3,7
1099511628398,40,103,103,1,6
68719476774,36,104,110,7,7
34359738387,35,98,101,4,8
1099511628399,40,102,102,1,6
549755814200,39,105,107,3,16
137438953550,37,108,110,3,6
68719476775,36,102,103,2,7
2199023256804,41,106,106,1,12
1099511628402,40,107,107,1,5
549755814201,39,104,104,1,16
2199023256805,41,105,105,1,12
1099511628403,40,105,106,2,5
1099511628410,40,109,109,1,5
274877907102,38,110,110,1,16
137438953551,37,104,107,4,6
1099511628411,40,108,108,1,5
274877907103,38,108,109,2,16
34359738388,35,112,115,4,8
17179869194,34,116,130,15,4
8589934597,33,85,110,26,17
549755814228,39,113,113,1,6
68719476778,36,114,115,2,7
34359738389,35,111,111,1,8
549755814229,39,112,112,1,6
137438953558,37,115,115,1,6
68719476779,36,112,113,2,7
137438953559,37,114,114,1,6
549755814240,39,117,117,1,16
137438953560,37,118,119,2,6
68719476780,36,120,127,8,7
34359738390,35,128,130,3,8
17179869195,34,111,115,5,4
549755814241,39,116,116,1,16
274877907122,38,119,119,1,16
137438953561,37,116,117,2,6
274877907123,38,118,118,1,16
274877907124,38,121,123,3,16
137438953562,37,124,127,4,6
68719476781,36,116,119,4,7
1099511628500,40,122,122,1,12
549755814250,39,123,123,1,5
274877907125,38,120,120,1,16
1099511628501,40,121,121,1,12
549755814251,39,121,122,2,5
549755814252,39,125,125,1,5
274877907126,38,126,127,2,16
137438953563,37,120,123,4,6
549755814253,39,124,124,1,5
17592186056162,44,127,127,1,5
274877907127,38,124,125,2,16
17592186056163,44,126,126,1,5
68719476782,36,129,130,2,7
34359738391,35,116,127,12,8
137438953566,37,130,130,1,6
68719476783,36,128,128,1,7
137438953567,37,129,129,1,6
137438953568,37,132,133,2,6
68719476784,36,134,138,5,7
34359738392,35,139,146,8,8
17179869196,34,147,153,7,4
8589934598,33,154,173,20,17
4294967299,32,85,130,46,15
274877907138,38,133,133,1,16
137438953569,37,131,131,1,6
274877907139,38,132,132,1,16
137438953570,37,135,138,4,6
68719476785,36,131,133,3,7
