node_index,depth,left_rank,right_rank,weight,color
32770,15,1,1,1,2
8192,13,2,2,1,3
4096,12,3,4,2,3
2048,11,5,12,8,4
1024,10,13,32,20,8
512,9,33,63,31,6
256,8,64,127,64,1
32771,15,0,0,1,2
8193,13,0,1,2,3
8194,13,4,4,1,2
4097,12,0,2,3,5
8195,13,3,3,1,2
32784,15,6,6,1,9
16392,14,7,7,1,1
8196,13,8,9,2,2
4098,12,10,12,3,3
2049,11,0,4,5,4
32785,15,5,5,1,9
16393,14,5,6,2,1
65582,16,9,9,1,1
8197,13,5,7,3,2
65583,16,8,8,1,1
16398,14,11,12,2,2
4099,12,5,9,5,3
65596,16,12,12,1,1
16399,14,10,10,1,2
65597,16,11,11,1,1
16400,14,14,15,2,1
8200,13,16,17,2,2
4100,12,18,21,4,3
2050,11,22,32,11,4
1025,10,0,12,13,8
32802,15,15,15,1,9
16401,14,13,13,1,1
32803,15,14,14,1,9
16402,14,17,17,1,1
8201,13,13,15,3,2
16403,14,16,16,1,1
16404,14,19,19,1,1
8202,13,20,21,2,2
4101,12,13,17,5,3
16405,14,18,18,1,1
16406,14,21,21,1,1
8203,13,18,19,2,2
16407,14,20,20,1,1
32822,15,23,23,1,2
4102,12,24,32,9,3
2051,11,13,21,9,4
32823,15,22,22,1,2
65648,16,25,25,1,5
32824,15,26,27,2,9
16412,14,28,28,1,1
8206,13,29,32,4,2
4103,12,22,23,2,3
65649,16,24,24,1,5
65650,16,27,27,1,5
32825,15,24,25,2,9
65651,16,26,26,1,5
16413,14,24,27,4,1
32828,15,30,31,2,9
16414,14,32,32,1,1
8207,13,24,28,5,2
65658,16,31,31,1,5
32829,15,29,29,1,9
65659,16,30,30,1,5
16415,14,29,31,3,1
65664,16,34,34,1,8
32832,15,35,35,1,3
16416,14,36,37,2,9
8208,13,38,40,3,4
4104,12,41,42,2,5
2052,11,43,51,9,2
1026,10,52,63,12,8
513,9,0,32,33,6
65665,16,33,33,1,8
32833,15,33,34,2,3
65668,16,37,37,1,3
16417,14,33,35,3,9
65669,16,36,36,1,3
32838,15,39,40,2,9
8209,13,33,37,5,4
65678,16,40,40,1,3
32839,15,38,38,1,9
65679,16,39,39,1,3
32840,15,42,42,1,4
4105,12,33,40,8,5
32841,15,41,41,1,4
16424,14,44,45,2,9
8212,13,46,47,2,4
4106,12,48,51,4,5
2053,11,33,42,10,2
32850,15,45,45,1,3
16425,14,43,43,1,9
32851,15,44,44,1,3
65706,16,47,47,1,9
8213,13,43,45,3,4
65707,16,46,46,1,9
16428,14,49,49,1,9
8214,13,50,51,2,4
4107,12,43,47,5,5
16429,14,48,48,1,9
65722,16,51,51,1,9
8215,13,48,49,2,4
65723,16,50,50,1,9
16432,14,53,53,1,1
8216,13,54,54,1,2
4108,12,55,56,2,3
2054,11,57,63,7,4
1027,10,33,51,19,1
16433,14,52,52,1,1
8217,13,52,53,2,2
32878,15,56,56,1,2
4109,12,52,54,3,3
32879,15,55,55,1,2
16440,14,58,58,1,1
8220,13,59,59,1,2
4110,12,60,63,4,3
2055,11,52,56,5,4
16441,14,57,57,1,1
8221,13,57,58,2,2
16444,14,61,61,1,1
8222,13,62,63,2,2
4111,12,57,59,3,3
16445,14,60,60,1,1
16446,14,63,63,1,1
8223,13,60,61,2,2
16447,14,62,62,1,1
32896,15,65,65,1,6
16448,14,66,66,1,8
8224,13,67,69,3,7
4112,12,70,75,6,9
2056,11,76,82,7,4
1028,10,83,98,16,3
514,9,99,127,29,2
257,8,0,63,64,7
32897,15,64,64,1,6
16449,14,64,65,2,8
32900,15,68,68,1,6
16450,14,69,69,1,8
8225,13,64,66,3,7
32901,15,67,67,1,6
16451,14,67,68,2,8
32904,15,71,71,1,6
16452,14,72,72,1,8
8226,13,73,75,3,7
4113,12,64,69,6,9
32905,15,70,70,1,6
16453,14,70,71,2,8
32908,15,74,74,1,6
16454,14,75,75,1,8
8227,13,70,72,3,7
32909,15,73,73,1,6
16455,14,73,74,2,8
16456,14,77,77,1,7
8228,13,78,78,1,6
4114,12,79,82,4,5
2057,11,64,75,12,5
16457,14,76,76,1,7
8229,13,76,77,2,6
16460,14,80,80,1,7
8230,13,81,82,2,6
4115,12,76,78,3,5
16461,14,79,79,1,7
16462,14,82,82,1,7
8231,13,79,80,2,6
16463,14,81,81,1,7
65856,16,84,84,1,8
32928,15,85,85,1,7
16464,14,86,86,1,6
4116,12,87,91,5,5
2058,11,92,98,7,4
1029,10,64,82,19,3
65857,16,83,83,1,8
32929,15,83,84,2,7
16465,14,83,85,3,6
8234,13,88,91,4,6
4117,12,83,86,4,5
32940,15,89,90,2,8
16470,14,91,91,1,7
8235,13,87,87,1,6
65882,16,90,90,1,9
32941,15,88,88,1,8
65883,16,89,89,1,9
16471,14,88,90,3,7
16472,14,93,93,1,7
8236,13,94,96,3,6
4118,12,97,98,2,5
2059,11,83,91,9,4
16473,14,92,92,1,7
32950,15,95,96,2,7
8237,13,92,93,2,6
65902,16,96,96,1,8
32951,15,94,94,1,7
65903,16,95,95,1,8
16478,14,98,98,1,6
4119,12,92,96,5,5
16479,14,97,97,1,6
16480,14,100,101,2,4
8240,13,102,104,3,8
4120,12,105,108,4,3
2060,11,109,114,6,9
1030,10,115,127,13,3
515,9,64,98,35,2
65924,16,101,101,1,5
16481,14,99,99,1,4
65925,16,100,100,1,5
65930,16,103,103,1,5
16482,14,104,104,1,4
8241,13,99,101,3,8
65931,16,102,102,1,5
16483,14,102,103,2,4
65940,16,106,106,1,4
8242,13,107,108,2,8
4121,12,99,104,6,3
65941,16,105,105,1,4
16486,14,108,108,1,4
8243,13,105,106,2,8
16487,14,107,107,1,4
16488,14,110,111,2,4
8244,13,112,112,1,8
4122,12,113,114,2,3
2061,11,99,108,10,9
32978,15,111,111,1,5
16489,14,109,109,1,4
32979,15,110,110,1,5
8245,13,109,111,3,8
8246,13,114,114,1,8
4123,12,109,112,4,3
8247,13,113,113,1,8
32992,15,116,117,2,8
16496,14,118,118,1,7
8248,13,119,120,2,6
4124,12,121,123,3,5
2062,11,124,127,4,4
1031,10,99,114,16,6
65986,16,117,117,1,9
32993,15,115,115,1,8
65987,16,116,116,1,9
16497,14,115,117,3,7
65992,16,120,120,1,7
8249,13,115,118,4,6
65993,16,119,119,1,7
16500,14,122,123,2,6
4125,12,115,120,6,5
66006,16,123,123,1,7
16501,14,121,121,1,6
66007,16,122,122,1,7
4126,12,125,127,3,5
2063,11,115,123,9,4
16508,14,126,126,1,7
8254,13,127,127,1,6
4127,12,124,124,1,5
16509,14,125,125,1,7
8255,13,125,126,2,6
