node_index,depth,left_rank,right_rank,weight,color
32770,15,1,1,1,8
8192,13,2,2,1,1
4096,12,3,4,2,9
2048,11,5,12,8,9
1024,10,13,32,20,5
512,9,33,63,31,9
256,8,64,127,64,1
32771,15,0,0,1,2
8193,13,0,1,2,5
8194,13,4,4,1,5
4097,12,0,2,3,9
8195,13,3,3,1,5
32784,15,6,6,1,1
16392,14,7,7,1,2
8196,13,8,9,2,8
4098,12,10,12,3,6
2049,11,0,4,5,6
32785,15,5,5,1,8
16393,14,5,6,2,2
65582,16,9,9,1,5
8197,13,5,7,3,5
65583,16,8,8,1,1
16398,14,11,12,2,5
4099,12,5,9,5,6
65596,16,12,12,1,8
16399,14,10,10,1,1
65597,16,11,11,1,2
16400,14,14,15,2,7
8200,13,16,17,2,7
4100,12,18,21,4,1
2050,11,22,32,11,6
1025,10,0,12,13,7
32802,15,15,15,1,1
16401,14,13,13,1,7
32803,15,14,14,1,2
16402,14,17,17,1,6
8201,13,13,15,3,6
16403,14,16,16,1,6
16404,14,19,19,1,8
8202,13,20,21,2,7
4101,12,13,17,5,8
16405,14,18,18,1,8
16406,14,21,21,1,8
8203,13,18,19,2,7
16407,14,20,20,1,8
32822,15,23,23,1,1
4102,12,24,32,9,7
2051,11,13,21,9,9
32823,15,22,22,1,1
65648,16,25,25,1,2
32824,15,26,27,2,1
16412,14,28,28,1,1
8206,13,29,32,4,1
4103,12,22,23,2,9
65649,16,24,24,1,2
65650,16,27,27,1,2
32825,15,24,25,2,1
65651,16,26,26,1,2
16413,14,24,27,4,9
32828,15,30,31,2,9
16414,14,32,32,1,9
8207,13,24,28,5,8
65658,16,31,31,1,2
32829,15,29,29,1,9
65659,16,30,30,1,2
16415,14,29,31,3,8
65664,16,34,34,1,1
32832,15,35,35,1,8
16416,14,36,37,2,2
8208,13,38,40,3,2
4104,12,41,42,2,2
2052,11,43,51,9,7
1026,10,52,63,12,7
513,9,0,32,33,4
65665,16,33,33,1,1
32833,15,33,34,2,8
65668,16,37,37,1,1
16417,14,33,35,3,2
65669,16,36,36,1,8
32838,15,39,40,2,4
8209,13,33,37,5,4
65678,16,40,40,1,8
32839,15,38,38,1,4
65679,16,39,39,1,1
32840,15,42,42,1,7
4105,12,33,40,8,7
32841,15,41,41,1,7
16424,14,44,45,2,1
8212,13,46,47,2,8
4106,12,48,51,4,5
2053,11,33,42,10,5
32850,15,45,45,1,2
16425,14,43,43,1,1
32851,15,44,44,1,8
65706,16,47,47,1,4
8213,13,43,45,3,4
65707,16,46,46,1,2
16428,14,49,49,1,8
8214,13,50,51,2,2
4107,12,43,47,5,5
16429,14,48,48,1,1
65722,16,51,51,1,4
8215,13,48,49,2,4
65723,16,50,50,1,4
16432,14,53,53,1,8
8216,13,54,54,1,2
4108,12,55,56,2,4
2054,11,57,63,7,5
1027,10,33,51,19,6
16433,14,52,52,1,1
8217,13,52,53,2,5
32878,15,56,56,1,5
4109,12,52,54,3,4
32879,15,55,55,1,5
16440,14,58,58,1,8
8220,13,59,59,1,2
4110,12,60,63,4,4
2055,11,52,56,5,6
16441,14,57,57,1,1
8221,13,57,58,2,4
16444,14,61,61,1,8
8222,13,62,63,2,2
4111,12,57,59,3,6
16445,14,60,60,1,1
16446,14,63,63,1,6
8223,13,60,61,2,6
16447,14,62,62,1,6
32896,15,65,65,1,7
16448,14,66,66,1,4
8224,13,67,69,3,4
4112,12,70,75,6,6
2056,11,76,82,7,3
1028,10,83,98,16,8
514,9,99,127,29,2
257,8,0,63,64,3
32897,15,64,64,1,7
16449,14,64,65,2,4
32900,15,68,68,1,7
16450,14,69,69,1,6
8225,13,64,66,3,6
32901,15,67,67,1,7
16451,14,67,68,2,6
32904,15,71,71,1,5
