node_index,depth,left_rank,right_rank,weight,color
65536,16,1,1,1,6
32768,15,2,3,2,5
16384,14,4,7,4,5
8192,13,8,15,8,4
4096,12,16,31,16,3
2048,11,32,63,32,5
1024,10,64,127,64,1
512,9,128,255,128,7
65537,16,0,0,1,6
65538,16,3,3,1,6
32769,15,0,1,2,5
65539,16,2,2,1,6
65540,16,5,5,1,6
32770,15,6,7,2,4
16385,14,0,3,4,4
65541,16,4,4,1,6
65542,16,7,7,1,6
32771,15,4,5,2,4
65543,16,6,6,1,6
65544,16,9,9,1,6
32772,15,10,11,2,3
16386,14,12,15,4,5
8193,13,0,7,8,3
65545,16,8,8,1,6
65546,16,11,11,1,6
32773,15,8,9,2,3
65547,16,10,10,1,6
65548,16,13,13,1,6
32774,15,14,15,2,3
16387,14,8,11,4,5
65549,16,12,12,1,6
65550,16,15,15,1,6
32775,15,12,13,2,3
65551,16,14,14,1,6
65552,16,17,17,1,6
32776,15,18,19,2,2
16388,14,20,23,4,4
8194,13,24,31,8,4
4097,12,0,15,16,2
65553,16,16,16,1,6
65554,16,19,19,1,6
32777,15,16,17,2,2
65555,16,18,18,1,6
65556,16,21,21,1,6
32778,15,22,23,2,2
16389,14,16,19,4,4
65557,16,20,20,1,6
65558,16,23,23,1,6
32779,15,20,21,2,2
65559,16,22,22,1,6
65560,16,25,25,1,6
32780,15,26,27,2,2
16390,14,28,31,4,2
8195,13,16,23,8,5
65561,16,24,24,1,6
65562,16,27,27,1,6
32781,15,24,25,2,2
65563,16,26,26,1,6
65564,16,29,29,1,6
32782,15,30,31,2,5
16391,14,24,27,4,5
65565,16,28,28,1,6
65566,16,31,31,1,6
32783,15,28,29,2,5
65567,16,30,30,1,6
65568,16,33,33,1,6
32784,15,34,35,2,1
16392,14,36,39,4,3
8196,13,40,47,8,3
4098,12,48,63,16,4
2049,11,0,31,32,1
65569,16,32,32,1,6
65570,16,35,35,1,6
32785,15,32,33,2,1
65571,16,34,34,1,6
65572,16,37,37,1,6
32786,15,38,39,2,1
16393,14,32,35,4,3
65573,16,36,36,1,6
65574,16,39,39,1,6
32787,15,36,37,2,1
65575,16,38,38,1,6
65576,16,41,41,1,6
32788,15,42,43,2,1
16394,14,44,47,4,4
8197,13,32,39,8,4
65577,16,40,40,1,6
65578,16,43,43,1,6
32789,15,40,41,2,1
65579,16,42,42,1,6
65580,16,45,45,1,6
32790,15,46,47,2,1
16395,14,40,43,4,4
65581,16,44,44,1,6
65582,16,47,47,1,6
32791,15,44,45,2,1
65583,16,46,46,1,6
65584,16,49,49,1,6
32792,15,50,51,2,3
16396,14,52,55,4,3
8198,13,56,63,8,2
4099,12,32,47,16,2
65585,16,48,48,1,6
65586,16,51,51,1,6
32793,15,48,49,2,3
65587,16,50,50,1,6
65588,16,53,53,1,6
32794,15,54,55,2,2
16397,14,48,51,4,2
65589,16,52,52,1,6
65590,16,55,55,1,6
32795,15,52,53,2,2
65591,16,54,54,1,6
65592,16,57,57,1,6
32796,15,58,59,2,1
16398,14,60,63,4,3
8199,13,48,55,8,1
65593,16,56,56,1,6
65594,16,59,59,1,6
32797,15,56,57,2,1
65595,16,58,58,1,6
65596,16,61,61,1,6
32798,15,62,63,2,1
16399,14,56,59,4,3
65597,16,60,60,1,6
65598,16,63,63,1,6
32799,15,60,61,2,1
65599,16,62,62,1,6
65600,16,65,65,1,6
32800,15,66,67,2,8
16400,14,68,71,4,5
8200,13,72,79,8,4
4100,12,80,95,16,2
2050,11,96,127,32,8
1025,10,0,63,64,8
65601,16,64,64,1,6
65602,16,67,67,1,6
32801,15,64,65,2,8
65603,16,66,66,1,6
65604,16,69,69,1,6
32802,15,70,71,2,8
16401,14,64,67,4,5
65605,16,68,68,1,6
65606,16,71,71,1,6
32803,15,68,69,2,8
65607,16,70,70,1,6
65608,16,73,73,1,6
32804,15,74,75,2,8
16402,14,76,79,4,5
8201,13,64,71,8,4
65609,16,72,72,1,6
65610,16,75,75,1,6
32805,15,72,73,2,8
65611,16,74,74,1,6
65612,16,77,77,1,6
32806,15,78,79,2,8
16403,14,72,75,4,5
65613,16,76,76,1,6
65614,16,79,79,1,6
32807,15,76,77,2,8
65615,16,78,78,1,6
65616,16,81,81,1,6
32808,15,82,83,2,8
16404,14,84,87,4,4
8202,13,88,95,8,4
4101,12,64,79,16,2
65617,16,80,80,1,6
65618,16,83,83,1,6
32809,15,80,81,2,8
65619,16,82,82,1,6
65620,16,85,85,1,6
32810,15,86,87,2,8
16405,14,80,83,4,4
65621,16,84,84,1,6
65622,16,87,87,1,6
32811,15,84,85,2,8
65623,16,86,86,1,6
65624,16,89,89,1,6
32812,15,90,91,2,8
16406,14,92,95,4,5
8203,13,80,87,8,5
65625,16,88,88,1,6
65626,16,91,91,1,6
32813,15,88,89,2,8
65627,16,90,90,1,6
65628,16,93,93,1,6
32814,15,94,95,2,8
16407,14,88,91,4,5
65629,16,92,92,1,6
65630,16,95,95,1,6
32815,15,92,93,2,8
65631,16,94,94,1,6
65632,16,97,97,1,6
32816,15,98,99,2,3
16408,14,100,103,4,3
8204,13,104,111,8,2
4102,12,112,127,16,4
2051,11,64,95,32,3
65633,16,96,96,1,6
65634,16,99,99,1,6
32817,15,96,97,2,3
65635,16,98,98,1,6
65636,16,101,101,1,6
32818,15,102,103,2,2
16409,14,96,99,4,2
65637,16,100,100,1,6
65638,16,103,103,1,6
32819,15,100,101,2,2
65639,16,102,102,1,6
65640,16,105,105,1,6
32820,15,106,107,2,4
16410,14,108,111,4,3
8205,13,96,103,8,4
65641,16,104,104,1,6
65642,16,107,107,1,6
32821,15,104,105,2,4
65643,16,106,106,1,6
65644,16,109,109,1,6
32822,15,110,111,2,4
16411,14,104,107,4,3
65645,16,108,108,1,6
65646,16,111,111,1,6
32823,15,108,109,2,4
65647,16,110,110,1,6
65648,16,113,113,1,6
32824,15,114,115,2,5
16412,14,116,119,4,2
8206,13,120,127,8,5
4103,12,96,111,16,5
65649,16,112,112,1,6
65650,16,115,115,1,6
32825,15,112,113,2,5
65651,16,114,114,1,6
65652,16,117,117,1,6
32826,15,118,119,2,5
16413,14,112,115,4,2
65653,16,116,116,1,6
65654,16,119,119,1,6
32827,15,116,117,2,5
65655,16,118,118,1,6
65656,16,121,121,1,6
32828,15,122,123,2,3
16414,14,124,127,4,3
8207,13,112,119,8,3
65657,16,120,120,1,6
65658,16,123,123,1,6
32829,15,120,121,2,3
65659,16,122,122,1,6
65660,16,125,125,1,6
32830,15,126,127,2,2
16415,14,120,123,4,2
65661,16,124,124,1,6
65662,16,127,127,1,6
32831,15,124,125,2,2
65663,16,126,126,1,6
65664,16,129,129,1,6
32832,15,130,131,2,1
16416,14,132,135,4,8
8208,13,136,143,8,4
4104,12,144,159,16,4
2052,11,160,191,32,8
1026,10,192,255,64,4
513,9,0,127,128,7
65665,16,128,128,1,6
65666,16,131,131,1,6
32833,15,128,129,2,1
65667,16,130,130,1,6
65668,16,133,133,1,6
32834,15,134,135,2,1
16417,14,128,131,4,8
65669,16,132,132,1,6
65670,16,135,135,1,6
32835,15,132,133,2,1
65671,16,134,134,1,6
65672,16,137,137,1,6
32836,15,138,139,2,1
16418,14,140,143,4,8
8209,13,128,135,8,4
65673,16,136,136,1,6
65674,16,139,139,1,6
32837,15,136,137,2,1
65675,16,138,138,1,6
65676,16,141,141,1,6
32838,15,142,143,2,1
16419,14,136,139,4,8
65677,16,140,140,1,6
