node_index,depth,left_rank,right_rank,weight,color
65536,16,1,1,1,1
32768,15,2,3,2,2
16384,14,4,7,4,3
8192,13,8,15,8,4
4096,12,16,31,16,5
2048,11,32,63,32,6
1024,10,64,127,64,7
512,9,128,255,128,8
256,8,256,511,256,9
128,7,512,1023,512,10
64,6,1024,2047,1024,11
32,5,2048,4095,2048,12
16,4,4096,8191,4096,13
8,3,8192,16383,8192,14
4,2,16384,32767,16384,15
2,1,32768,65535,32768,1
65537,16,0,0,1,1
65538,16,3,3,1,1
32769,15,0,1,2,2
65539,16,2,2,1,1
65540,16,5,5,1,1
32770,15,6,7,2,2
16385,14,0,3,4,3
65541,16,4,4,1,1
65542,16,7,7,1,1
32771,15,4,5,2,2
65543,16,6,6,1,1
65544,16,9,9,1,1
32772,15,10,11,2,2
16386,14,12,15,4,3
8193,13,0,7,8,4
65545,16,8,8,1,1
65546,16,11,11,1,1
32773,15,8,9,2,2
65547,16,10,10,1,1
65548,16,13,13,1,1
32774,15,14,15,2,2
16387,14,8,11,4,3
65549,16,12,12,1,1
65550,16,15,15,1,1
32775,15,12,13,2,2
65551,16,14,14,1,1
65552,16,17,17,1,1
32776,15,18,19,2,2
16388,14,20,23,4,3
8194,13,24,31,8,4
4097,12,0,15,16,5
65553,16,16,16,1,1
65554,16,19,19,1,1
32777,15,16,17,2,2
65555,16,18,18,1,1
65556,16,21,21,1,1
32778,15,22,23,2,2
16389,14,16,19,4,3
65557,16,20,20,1,1
65558,16,23,23,1,1
32779,15,20,21,2,2
65559,16,22,22,1,1
65560,16,25,25,1,1
32780,15,26,27,2,2
16390,14,28,31,4,3
8195,13,16,23,8,4
65561,16,24,24,1,1
65562,16,27,27,1,1
32781,15,24,25,2,2
65563,16,26,26,1,1
65564,16,29,29,1,1
32782,15,30,31,2,2
16391,14,24,27,4,3
65565,16,28,28,1,1
65566,16,31,31,1,1
32783,15,28,29,2,2
65567,16,30,30,1,1
65568,16,33,33,1,1
32784,15,34,35,2,2
16392,14,36,39,4,3
8196,13,40,47,8,4
4098,12,48,63,16,5
2049,11,0,31,32,6
65569,16,32,32,1,1
65570,16,35,35,1,1
32785,15,32,33,2,2
65571,16,34,34,1,1
