node_index,depth,left_rank,right_rank,weight,color
262206,18,1,1,1,4
4096,12,2,6,5,6
2048,11,7,11,5,8
1024,10,12,22,11,5
512,9,23,40,18,11
256,8,41,84,44,3
128,7,85,173,89,9
64,6,174,330,157,12
32,5,331,663,333,15
16,4,664,1311,648,2
8,3,1312,2493,1182,14
4,2,2494,5094,2601,14
2,1,5095,9999,4905,1
262207,18,0,0,1,4
8194,13,3,6,4,4
4097,12,0,1,2,6
262240,18,4,4,1,18
131120,17,5,5,1,16
16390,14,6,6,1,1
8195,13,2,2,1,4
262241,18,3,3,1,18
131121,17,3,4,2,16
16391,14,3,5,3,1
65568,16,8,8,1,1
32784,15,9,9,1,4
4098,12,10,11,2,6
2049,11,0,6,7,8
65569,16,7,7,1,1
32785,15,7,8,2,4
8198,13,11,11,1,4
4099,12,7,9,3,6
8199,13,10,10,1,4
4100,12,13,15,3,6
2050,11,16,22,7,8
1025,10,0,11,12,5
8202,13,14,15,2,4
4101,12,12,12,1,6
262498,18,15,15,1,1
8203,13,13,13,1,4
262499,18,14,14,1,1
8204,13,17,18,2,4
4102,12,19,22,4,6
2051,11,12,15,4,8
32822,15,18,18,1,1
8205,13,16,16,1,4
32823,15,17,17,1,1
32824,15,20,20,1,16
16412,14,21,21,1,1
8206,13,22,22,1,4
4103,12,16,18,3,6
32825,15,19,19,1,16
16413,14,19,20,2,1
8207,13,19,21,3,4
16418,14,24,24,1,4
4104,12,25,26,2,6
2052,11,27,32,6,8
1026,10,33,40,8,5
513,9,0,22,23,11
16419,14,23,23,1,4
8210,13,26,26,1,4
4105,12,23,24,2,6
8211,13,25,25,1,4
8212,13,28,28,1,4
4106,12,29,32,4,6
2053,11,23,26,4,8
8213,13,27,27,1,4
262854,18,30,30,1,16
16428,14,31,31,1,1
8214,13,32,32,1,4
4107,12,27,28,2,6
262855,18,29,29,1,16
16429,14,29,30,2,1
8215,13,29,31,3,4
131472,17,34,34,1,4
16434,14,35,36,2,6
2054,11,37,40,4,8
1027,10,23,32,10,5
131473,17,33,33,1,4
32870,15,36,36,1,4
16435,14,33,34,2,6
32871,15,35,35,1,4
32882,15,38,38,1,1
8220,13,39,39,1,4
4110,12,40,40,1,6
2055,11,33,36,4,8
32883,15,37,37,1,1
8221,13,37,38,2,4
4111,12,37,39,3,6
4112,12,42,45,4,6
2056,11,46,49,4,8
1028,10,50,61,12,5
514,9,62,84,23,11
257,8,0,40,41,3
16452,14,43,43,1,1
8226,13,44,45,2,4
4113,12,41,41,1,6
16453,14,42,42,1,1
16454,14,45,45,1,1
8227,13,42,43,2,4
16455,14,44,44,1,1
8228,13,47,47,1,4
4114,12,48,49,2,6
2057,11,41,45,5,8
8229,13,46,46,1,4
32920,15,49,49,1,4
4115,12,46,47,2,6
32921,15,48,48,1,4
4116,12,51,53,3,6
2058,11,54,61,8,8
1029,10,41,49,9,5
32938,15,52,52,1,1
8234,13,53,53,1,4
4117,12,50,50,1,6
32939,15,51,51,1,1
8235,13,51,52,2,4
16474,14,55,56,2,4
4118,12,57,61,5,6
2059,11,50,53,4,8
65902,16,56,56,1,1
16475,14,54,54,1,4
65903,16,55,55,1,1
131820,17,58,58,1,1
8238,13,59,61,3,4
4119,12,54,56,3,6
131821,17,57,57,1,1
16478,14,60,61,2,1
8239,13,57,58,2,4
32958,15,61,61,1,16
16479,14,59,59,1,1
32959,15,60,60,1,16
65920,16,63,63,1,1
8240,13,64,65,2,4
4120,12,66,66,1,6
2060,11,67,75,9,8
1030,10,76,84,9,5
515,9,41,61,21,11
65921,16,62,62,1,1
16482,14,65,65,1,1
8241,13,62,63,2,4
16483,14,64,64,1,1
4121,12,62,65,4,6
16490,14,68,68,1,4
4122,12,69,75,7,6
2061,11,62,66,5,8
16491,14,67,67,1,4
32986,15,70,72,3,1
8246,13,73,75,3,4
4123,12,67,68,2,6
131948,17,71,71,1,18
65974,16,72,72,1,16
32987,15,69,69,1,1
131949,17,70,70,1,18
65975,16,70,71,2,16
131952,17,74,74,1,16
16494,14,75,75,1,1
8247,13,69,72,4,4
131953,17,73,73,1,16
16495,14,73,74,2,1
32996,15,77,77,1,4
4124,12,78,79,2,6
2062,11,80,84,5,8
1031,10,62,75,14,5
32997,15,76,76,1,4
16500,14,79,79,1,4
4125,12,76,77,2,6
16501,14,78,78,1,4
4126,12,81,84,4,6
2063,11,76,79,4,8
16508,14,82,82,1,1
8254,13,83,84,2,4
4127,12,80,80,1,6
16509,14,81,81,1,1
33022,15,84,84,1,1
8255,13,81,82,2,4
33023,15,83,83,1,1
8256,13,86,86,1,4
4128,12,87,89,3,6
2064,11,90,96,7,8
1032,10,97,105,9,5
516,9,106,130,25,11
258,8,131,173,43,3
129,7,0,84,85,9
8257,13,85,85,1,4
33032,15,88,88,1,1
8258,13,89,89,1,4
4129,12,85,86,2,6
33033,15,87,87,1,1
8259,13,87,88,2,4
16520,14,91,92,2,1
8260,13,93,94,2,4
4130,12,95,96,2,6
2065,11,85,89,5,8
33042,15,92,92,1,16
16521,14,90,90,1,1
33043,15,91,91,1,16
66090,16,94,94,1,1
8261,13,90,92,3,4
66091,16,93,93,1,1
16526,14,96,96,1,4
4131,12,90,94,5,6
16527,14,95,95,1,4
66130,16,98,98,1,4
8266,13,99,100,2,6
2066,11,101,105,5,8
1033,10,85,96,12,5
66131,16,97,97,1,4
132280,17,100,100,1,4
8267,13,97,98,2,6
132281,17,99,99,1,4
8268,13,102,102,1,4
4134,12,103,105,3,6
2067,11,97,100,4,8
8269,13,101,101,1,4
66160,16,104,105,2,4
4135,12,101,102,2,6
264646,18,105,105,1,1
66161,16,103,103,1,4
264647,18,104,104,1,1
16544,14,107,108,2,1
8272,13,109,109,1,4
4136,12,110,115,6,6
2068,11,116,118,3,8
1034,10,119,130,12,5
517,9,85,105,21,11
33090,15,108,108,1,16
16545,14,106,106,1,1
33091,15,107,107,1,16
8273,13,106,108,3,4
33096,15,111,111,1,16
16548,14,112,113,2,1
8274,13,114,115,2,4
4137,12,106,109,4,6
33097,15,110,110,1,16
33098,15,113,113,1,16
16549,14,110,111,2,1
33099,15,112,112,1,16
16550,14,115,115,1,1
8275,13,110,113,4,4
16551,14,114,114,1,1
132428,17,117,118,2,6
2069,11,106,115,10,8
264858,18,118,118,1,4
132429,17,116,116,1,6
264859,18,117,117,1,4
16560,14,120,120,1,1
8280,13,121,122,2,4
4140,12,123,125,3,6
2070,11,126,130,5,8
1035,10,106,118,13,5
16561,14,119,119,1,1
16562,14,122,122,1,1
8281,13,119,120,2,4
16563,14,121,121,1,1
8282,13,124,125,2,4
4141,12,119,122,4,6
16566,14,125,125,1,1
8283,13,123,123,1,4
16567,14,124,124,1,1
8284,13,127,129,3,4
4142,12,130,130,1,6
2071,11,119,125,7,8
16570,14,128,129,2,1
8285,13,126,126,1,4
66286,16,129,129,1,16
16571,14,127,127,1,1
66287,16,128,128,1,16
4143,12,126,129,4,6
8288,13,132,132,1,4
4144,12,133,134,2,5
2072,11,135,135,1,8
1036,10,136,144,9,5
518,9,145,173,29,11
259,8,85,130,46,3
8289,13,131,131,1,4
8290,13,134,134,1,4
4145,12,131,132,2,5
8291,13,133,133,1,4
2073,11,131,134,4,8
132748,17,137,137,1,1
8296,13,138,139,2,4
4148,12,140,142,3,6
2074,11,143,144,2,8
1037,10,131,135,5,6
132749,17,136,136,1,1
33188,15,139,139,1,1
8297,13,136,137,2,4
33189,15,138,138,1,1
8298,13,141,142,2,4
4149,12,136,139,4,6
66396,16,142,142,1,1
8299,13,140,140,1,4
66397,16,141,141,1,1
4150,12,144,144,1,6
2075,11,136,142,7,8
4151,12,143,143,1,6
8304,13,146,147,2,4
4152,12,148,152,5,6
2076,11,153,160,8,8
1038,10,161,173,13,5
519,9,131,144,14,11
132890,17,147,147,1,1
8305,13,145,145,1,4
132891,17,146,146,1,1
16612,14,149,149,1,1
8306,13,150,152,3,4
4153,12,145,147,3,6
16613,14,148,148,1,1
132924,17,151,151,1,16
66462,16,152,152,1,1
8307,13,148,149,2,4
132925,17,150,150,1,16
66463,16,150,151,2,1
4154,12,154,160,7,6
2077,11,145,152,8,8
16620,14,155,157,3,1
8310,13,158,160,3,4
4155,12,153,153,1,6
66484,16,156,156,1,18
33242,15,157,157,1,16
16621,14,154,154,1,1
66485,16,155,155,1,18
33243,15,155,156,2,16
16622,14,159,160,2,1
8311,13,154,157,4,4
33246,15,160,160,1,16
16623,14,158,158,1,1
33247,15,159,159,1,16
8314,13,162,162,1,6
2078,11,163,173,11,8
1039,10,145,160,16,5
8315,13,161,161,1,6
8316,13,164,166,3,4
4158,12,167,173,7,6
2079,11,161,162,2,8
66538,16,165,166,2,1
8317,13,163,163,1,4
532314,19,166,166,1,16
66539,16,164,164,1,1
532315,19,165,165,1,16
66546,16,168,168,1,16
16636,14,169,169,1,1
8318,13,170,173,4,4
4159,12,163,166,4,6
66547,16,167,167,1,16
16637,14,167,168,2,1
66552,16,171,171,1,18
33276,15,172,172,1,16
16638,14,173,173,1,1
8319,13,167,169,3,4
66553,16,170,170,1,18
33277,15,170,171,2,16
16639,14,170,172,3,1
16640,14,175,175,1,1
8320,13,176,176,1,4
4160,12,177,181,5,6
2080,11,182,186,5,8
1040,10,187,198,12,5
520,9,199,223,25,11
260,8,224,260,37,3
130,7,261,330,70,9
65,6,0,173,174,12
16641,14,174,174,1,1
8321,13,174,175,2,4
33288,15,178,178,1,1
8322,13,179,181,3,4
4161,12,174,176,3,6
33289,15,177,177,1,1
133174,17,180,180,1,16
16646,14,181,181,1,1
8323,13,177,178,2,4
133175,17,179,179,1,16
16647,14,179,180,2,1
8324,13,183,183,1,4
4162,12,184,186,3,6
2081,11,174,181,8,8
