node_index,depth,left_rank,right_rank,weight,color
1024,10,1,1,1,14
512,9,2,2,1,1
256,8,3,4,2,3
128,7,5,14,10,13
64,6,15,33,19,5
32,5,34,66,33,6
16,4,67,127,61,7
8,3,128,253,126,8
4,2,254,510,257,9
2,1,511,999,489,1
1025,10,0,0,1,4
513,9,0,1,2,1
514,9,4,4,1,1
257,8,0,2,3,3
515,9,3,3,1,1
1034,10,6,7,2,1
258,8,8,14,7,3
129,7,0,4,5,13
2070,11,7,7,1,14
1035,10,5,5,1,1
2071,11,6,6,1,14
8304,13,9,10,2,2
2076,11,11,12,2,14
1038,10,13,14,2,1
259,8,5,7,3,3
132890,17,10,10,1,4
8305,13,8,8,1,9
132891,17,9,9,1,4
8310,13,12,12,1,2
2077,11,8,10,3,14
8311,13,11,11,1,2
4158,12,14,14,1,14
1039,10,8,12,5,1
4159,12,13,13,1,14
1040,10,16,16,1,14
520,9,17,22,6,1
260,8,23,26,4,3
130,7,27,33,7,13
65,6,0,14,15,5
1041,10,15,15,1,14
16684,14,18,18,1,2
1042,10,19,22,4,14
521,9,15,16,2,1
16685,14,17,17,1,2
33376,15,20,20,1,12
8344,13,21,21,1,4
2086,11,22,22,1,2
1043,10,17,18,2,14
33377,15,19,19,1,12
8345,13,19,20,2,4
2087,11,19,21,3,2
1044,10,24,25,2,14
522,9,26,26,1,1
261,8,15,22,8,3
33452,15,25,25,1,2
1045,10,23,23,1,14
33453,15,24,24,1,2
523,9,23,25,3,1
4200,12,28,28,1,2
2100,11,29,29,1,14
1050,10,30,30,1,1
262,8,31,33,3,3
131,7,15,26,12,13
4201,12,27,27,1,2
2101,11,27,28,2,14
1051,10,27,29,3,1
4214,12,32,32,1,14
526,9,33,33,1,1
263,8,27,30,4,3
4215,12,31,31,1,14
527,9,31,32,2,1
528,9,35,36,2,1
264,8,37,39,3,3
132,7,40,49,10,13
66,6,50,66,17,5
33,5,0,33,34,6
1058,10,36,36,1,14
529,9,34,34,1,1
1059,10,35,35,1,14
2120,11,38,38,1,14
1060,10,39,39,1,1
265,8,34,36,3,3
2121,11,37,37,1,14
1061,10,37,38,2,1
2128,11,41,42,2,2
1064,10,43,43,1,14
532,9,44,44,1,1
266,8,45,49,5,3
133,7,34,39,6,13
8516,13,42,42,1,4
2129,11,40,40,1,2
8517,13,41,41,1,4
1065,10,40,42,3,14
533,9,40,43,4,1
2136,11,46,46,1,2
1068,10,47,48,2,14
534,9,49,49,1,1
267,8,40,44,5,3
2137,11,45,45,1,2
4276,12,48,48,1,2
1069,10,45,46,2,14
4277,12,47,47,1,2
535,9,45,48,4,1
1072,10,51,52,2,14
536,9,53,55,3,1
268,8,56,60,5,3
134,7,61,66,6,13
67,6,34,49,16,5
2146,11,52,52,1,2
1073,10,50,50,1,14
2147,11,51,51,1,2
1074,10,54,55,2,14
537,9,50,52,3,1
2150,11,55,55,1,2
1075,10,53,53,1,14
2151,11,54,54,1,2
4304,12,57,57,1,14
538,9,58,60,3,1
269,8,50,55,6,3
4305,12,56,56,1,14
2156,11,59,60,2,14
539,9,56,57,2,1
4314,12,60,60,1,2
2157,11,58,58,1,14
4315,12,59,59,1,2
4326,12,62,62,1,1
270,8,63,66,4,3
135,7,50,60,11,13
4327,12,61,61,1,1
1084,10,64,64,1,14
542,9,65,66,2,1
271,8,61,62,2,3
1085,10,63,63,1,14
2172,11,66,66,1,14
543,9,63,64,2,1
2173,11,65,65,1,14
1088,10,68,68,1,14
544,9,69,70,2,1
272,8,71,77,7,3
136,7,78,85,8,13
68,6,86,96,11,5
34,5,97,127,31,6
17,4,0,66,67,7
1089,10,67,67,1,14
1090,10,70,70,1,14
545,9,67,68,2,1
1091,10,69,69,1,14
1092,10,72,72,1,14
546,9,73,77,5,1
273,8,67,70,4,3
1093,10,71,71,1,14
2188,11,74,74,1,2
1094,10,75,77,3,14
547,9,71,72,2,1
2189,11,73,73,1,2
4382,12,76,77,2,2
1095,10,73,74,2,14
8766,13,77,77,1,4
4383,12,75,75,1,2
8767,13,76,76,1,4
2192,11,79,80,2,14
548,9,81,81,1,1
