node_index,depth,left_rank,right_rank,weight,color
4098,12,1,1,1,11
1024,10,2,3,2,10
512,9,4,4,1,9
256,8,5,7,3,8
128,7,8,14,7,7
64,6,15,33,19,6
32,5,34,68,35,5
16,4,69,128,60,4
8,3,129,245,117,3
4,2,246,509,264,2
2,1,510,999,490,1
4099,12,0,0,1,11
2050,11,3,3,1,11
1025,10,0,1,2,10
2051,11,2,2,1,11
513,9,0,3,4,9
131820,17,6,6,1,10
514,9,7,7,1,9
257,8,0,4,5,8
131821,17,5,5,1,10
515,9,5,6,2,9
1034,10,9,10,2,9
258,8,11,14,4,8
129,7,0,7,8,7
2070,11,10,10,1,10
1035,10,8,8,1,9
2071,11,9,9,1,10
518,9,12,14,3,9
259,8,8,10,3,8
2076,11,13,13,1,11
1038,10,14,14,1,10
519,9,11,11,1,9
2077,11,12,12,1,11
1039,10,12,13,2,10
1040,10,16,16,1,10
520,9,17,22,6,9
260,8,23,26,4,8
130,7,27,33,7,7
65,6,0,14,15,6
1041,10,15,15,1,10
1042,10,18,22,5,10
521,9,15,16,2,9
8344,13,19,19,1,12
2086,11,20,22,3,11
1043,10,17,17,1,10
8345,13,18,18,1,12
4174,12,21,22,2,12
2087,11,18,19,2,11
8350,13,22,22,1,13
4175,12,20,20,1,12
8351,13,21,21,1,13
1044,10,24,24,1,10
522,9,25,26,2,9
261,8,15,22,8,8
1045,10,23,23,1,10
4190,12,26,26,1,10
523,9,23,24,2,9
4191,12,25,25,1,10
2098,11,28,28,1,10
524,9,29,31,3,9
262,8,32,33,2,8
131,7,15,26,12,7
2099,11,27,27,1,10
2100,11,30,30,1,11
1050,10,31,31,1,10
525,9,27,28,2,9
2101,11,29,29,1,11
1051,10,29,30,2,10
1054,10,33,33,1,9
263,8,27,31,5,8
1055,10,32,32,1,9
8458,13,35,35,1,11
2114,11,36,36,1,10
528,9,37,40,4,9
264,8,41,42,2,8
132,7,43,50,8,7
66,6,51,68,18,6
33,5,0,33,34,5
8459,13,34,34,1,11
2115,11,34,35,2,10
1058,10,38,40,3,10
529,9,34,36,3,9
2118,11,39,40,2,11
1059,10,37,37,1,10
4238,12,40,40,1,12
2119,11,38,38,1,11
4239,12,39,39,1,12
530,9,42,42,1,9
265,8,34,40,7,8
531,9,41,41,1,9
2128,11,44,44,1,10
1064,10,45,45,1,9
266,8,46,50,5,8
133,7,34,42,9,7
2129,11,43,43,1,10
1065,10,43,44,2,9
2136,11,47,47,1,11
1068,10,48,49,2,10
534,9,50,50,1,9
267,8,43,45,3,8
2137,11,46,46,1,11
2138,11,49,49,1,11
1069,10,46,47,2,10
2139,11,48,48,1,11
535,9,46,49,4,9
4292,12,52,52,1,11
2146,11,53,53,1,10
536,9,54,56,3,9
268,8,57,61,5,8
134,7,62,68,7,7
67,6,34,50,17,6
4293,12,51,51,1,11
2147,11,51,52,2,10
1074,10,55,56,2,10
537,9,51,53,3,9
2150,11,56,56,1,11
1075,10,54,54,1,10
2151,11,55,55,1,11
538,9,58,61,4,9
269,8,51,56,6,8
2156,11,59,60,2,11
1078,10,61,61,1,10
539,9,57,57,1,9
4314,12,60,60,1,12
2157,11,58,58,1,11
4315,12,59,59,1,12
1079,10,58,60,3,10
540,9,63,65,3,9
270,8,66,68,3,8
135,7,51,61,11,7
69328,16,64,64,1,11
17332,14,65,65,1,10
541,9,62,62,1,9
69329,16,63,63,1,11
17333,14,63,64,2,10
1084,10,67,67,1,10
542,9,68,68,1,9
271,8,62,65,4,8
1085,10,66,66,1,10
543,9,66,67,2,9
1088,10,70,71,2,10
544,9,72,74,3,9
272,8,75,77,3,8
136,7,78,84,7,7
68,6,85,96,12,6
34,5,97,128,32,5
17,4,0,68,69,4
2178,11,71,71,1,11
1089,10,69,69,1,10
2179,11,70,70,1,11
4360,12,73,73,1,11
1090,10,74,74,1,10
545,9,69,71,3,9
4361,12,72,72,1,11
1091,10,72,73,2,10
2190,11,76,77,2,9
273,8,69,74,6,8
4382,12,77,77,1,10
2191,11,75,75,1,9
4383,12,76,76,1,10
548,9,79,80,2,9
274,8,81,84,4,8
137,7,69,77,9,7
1098,10,80,80,1,10
549,9,78,78,1,9
1099,10,79,79,1,10
550,9,82,84,3,9
275,8,78,80,3,8
282298,18,83,83,1,11
1102,10,84,84,1,10
551,9,81,81,1,9
282299,18,82,82,1,11
1103,10,82,83,2,10
1108,10,86,86,1,9
554,9,87,87,1,8
138,7,88,96,9,7
69,6,69,84,16,6
1109,10,85,85,1,9
555,9,85,86,2,8
35618,15,89,89,1,11
