node_index,depth,left_rank,right_rank,weight,color
258,8,1,1,1,4
64,6,2,2,1,4
32,5,3,3,1,7
16,4,4,10,7,3
8,3,11,29,19,1
4,2,30,58,29,9
2,1,59,127,69,3
259,8,0,0,1,4
65,6,0,1,2,7
33,5,0,2,3,5
136,7,5,5,1,4
68,6,6,7,2,7
34,5,8,10,3,7
17,4,0,3,4,3
137,7,4,4,1,4
558,9,7,7,1,4
69,6,4,5,2,7
559,9,6,6,1,4
142,7,9,10,2,4
35,5,4,7,4,5
572,9,10,10,1,5
143,7,8,8,1,5
573,9,9,9,1,5
144,7,12,13,2,6
72,6,14,15,2,7
36,5,16,20,5,5
18,4,21,29,9,3
9,3,0,10,11,1
290,8,13,13,1,7
145,7,11,11,1,7
291,8,12,12,1,7
146,7,15,15,1,5
73,6,11,13,3,5
147,7,14,14,1,5
148,7,17,17,1,3
74,6,18,20,3,7
37,5,11,15,5,4
149,7,16,16,1,4
150,7,19,20,2,4
75,6,16,17,2,7
1214,10,20,20,1,6
151,7,18,18,1,4
1215,10,19,19,1,6
310,8,22,22,1,5
38,5,23,29,7,4
19,4,11,20,10,8
311,8,21,21,1,5
624,9,24,24,1,8
312,8,25,26,2,6
156,7,27,27,1,5
78,6,28,29,2,5
39,5,21,22,2,7
625,9,23,23,1,8
626,9,26,26,1,8
313,8,23,24,2,6
627,9,25,25,1,8
157,7,23,26,4,5
634,9,29,29,1,7
79,6,23,27,5,7
635,9,28,28,1,7
640,9,31,31,1,7
320,8,32,32,1,5
160,7,33,34,2,3
80,6,35,36,2,3
40,5,37,37,1,3
20,4,38,45,8,1
10,3,46,58,13,1
5,2,0,29,30,9
641,9,30,30,1,7
321,8,30,31,2,5
644,9,34,34,1,7
161,7,30,32,3,3
645,9,33,33,1,5
326,8,36,36,1,4
81,6,30,34,5,4
327,8,35,35,1,4
41,5,30,36,7,1
168,7,39,40,2,4
84,6,41,41,1,3
42,5,42,45,4,5
21,4,30,37,8,8
338,8,40,40,1,7
169,7,38,38,1,4
339,8,39,39,1,5
85,6,38,40,3,3
172,7,43,43,1,8
86,6,44,45,2,3
43,5,38,41,4,8
173,7,42,42,1,7
698,9,45,45,1,8
87,6,42,43,2,3
699,9,44,44,1,8
176,7,47,47,1,5
88,6,48,48,1,6
44,5,49,51,3,3
22,4,52,58,7,8
11,3,30,45,16,6
177,7,46,46,1,4
89,6,46,47,2,6
5862,12,50,50,1,4
366,8,51,51,1,6
45,5,46,48,3,3
5863,12,49,49,1,7
367,8,49,50,2,6
184,7,53,53,1,6
92,6,54,54,1,6
46,5,55,58,4,6
23,4,46,51,6,8
185,7,52,52,1,7
93,6,52,53,2,5
188,7,56,56,1,5
94,6,57,58,2,3
47,5,52,54,3,3
189,7,55,55,1,4
190,7,58,58,1,4
95,6,55,56,2,3
191,7,57,57,1,7
384,8,60,61,2,1
192,7,62,62,1,9
96,6,63,66,4,8
48,5,67,71,5,8
24,4,72,79,8,7
12,3,80,95,16,6
6,2,96,127,32,8
3,1,0,58,59,2
6168,12,61,61,1,2
385,8,59,59,1,1
6169,12,60,60,1,2
193,7,59,61,3,9
388,8,64,65,2,1
194,7,66,66,1,2
97,6,59,62,4,8
3118,11,65,65,1,9
389,8,63,63,1,1
3119,11,64,64,1,9
195,7,63,65,3,2
392,8,68,68,1,7
98,6,69,71,3,7
49,5,59,66,8,7
393,8,67,67,1,2
396,8,70,70,1,2
198,7,71,71,1,9
99,6,67,68,2,1
397,8,69,69,1,1
199,7,69,70,2,9
3208,11,73,73,1,1
200,7,74,74,1,9
100,6,75,75,1,1
50,5,76,79,4,2
25,4,59,71,13,6
3209,11,72,72,1,9
201,7,72,73,2,2
101,6,72,74,3,6
204,7,77,77,1,6
102,6,78,79,2,8
51,5,72,75,4,8
205,7,76,76,1,6
206,7,79,79,1,6
103,6,76,77,2,8
207,7,78,78,1,6
832,9,81,82,2,7
208,7,83,83,1,9
52,5,84,89,6,7
26,4,90,95,6,7
13,3,59,79,21,5
1666,10,82,82,1,5
833,9,80,80,1,7
1667,10,81,81,1,5
209,7,80,82,3,9
106,6,85,89,5,5
53,5,80,83,4,1
1712,10,86,86,1,2
428,8,87,88,2,1
214,7,89,89,1,1
107,6,84,84,1,9
1713,10,85,85,1,2
858,9,88,88,1,2
429,8,85,86,2,1
859,9,87,87,1,2
215,7,85,88,4,9
108,6,91,93,3,5
54,5,94,95,2,1
27,4,80,89,10,8
438,8,92,93,2,2
109,6,90,90,1,9
878,9,93,93,1,1
439,8,91,91,1,2
879,9,92,92,1,9
222,7,95,95,1,8
55,5,90,93,4,8
223,7,94,94,1,8
7186,12,97,97,1,1
224,7,98,99,2,9
112,6,100,102,3,4
56,5,103,106,4,1
28,4,107,114,8,5
14,3,115,127,13,6
7,2,59,95,37,4
7187,12,96,96,1,9
900,9,99,99,1,1
225,7,96,97,2,2
901,9,98,98,1,2
906,9,101,101,1,1
226,7,102,102,1,9
113,6,96,99,4,4
907,9,100,100,1,9
227,7,100,101,2,2
916,9,104,104,1,5
114,6,105,106,2,5
57,5,96,102,7,5
917,9,103,103,1,5
230,7,106,106,1,4
115,6,103,104,2,2
231,7,105,105,1,4
232,7,108,110,3,9
116,6,111,112,2,4
58,5,113,114,2,1
29,4,96,106,11,6
3734,11,109,109,1,1
466,8,110,110,1,2
233,7,107,107,1,9
3735,11,108,108,1,1
467,8,108,109,2,2
3744,11,112,112,1,2
117,6,107,110,4,4
3745,11,111,111,1,9
118,6,114,114,1,6
59,5,107,112,6,6
119,6,113,113,1,6
480,8,116,117,2,2
240,7,118,118,1,9
120,6,119,120,2,4
60,5,121,123,3,1
30,4,124,127,4,4
15,3,96,114,19,7
962,9,117,117,1,1
481,8,115,115,1,2
963,9,116,116,1,1
241,7,115,117,3,9
968,9,120,120,1,9
121,6,115,118,4,4
969,9,119,119,1,2
244,7,122,123,2,7
61,5,115,120,6,7
982,9,123,123,1,4
245,7,121,121,1,4
983,9,122,122,1,4
62,5,125,127,3,5
31,4,115,123,9,5
252,7,126,126,1,9
126,6,127,127,1,1
63,5,124,124,1,5
253,7,125,125,1,2
127,6,125,126,2,7
