node_index,depth,left_rank,right_rank,weight,color
4096,12,1,1,1,12
2048,11,2,4,3,11
1024,10,5,12,8,10
512,9,13,32,20,9
256,8,33,63,31,8
128,7,64,129,66,7
64,6,130,237,108,6
32,5,238,456,219,5
16,4,457,945,489,4
8,3,946,1936,991,3
4,2,1937,3854,1918,2
2,1,3855,7739,3885,1
4097,12,0,0,1,12
16392,14,3,3,1,13
4098,12,4,4,1,12
2049,11,0,1,2,11
16393,14,2,2,1,13
4099,12,2,3,2,12
16400,14,6,6,1,13
4100,12,7,8,2,12
2050,11,9,12,4,11
1025,10,0,4,5,10
16401,14,5,5,1,13
16406,14,8,8,1,13
4101,12,5,6,2,12
16407,14,7,7,1,13
8204,13,10,11,2,13
4102,12,12,12,1,12
2051,11,5,8,4,11
16410,14,11,11,1,14
8205,13,9,9,1,13
16411,14,10,10,1,14
4103,12,9,11,3,12
16420,14,14,15,2,13
8210,13,16,17,2,12
2052,11,18,23,6,11
1026,10,24,32,9,10
513,9,0,12,13,9
65684,16,15,15,1,14
16421,14,13,13,1,13
65685,16,14,14,1,14
16422,14,17,17,1,13
8211,13,13,15,3,12
16423,14,16,16,1,13
16424,14,19,19,1,14
8212,13,20,20,1,13
4106,12,21,23,3,12
2053,11,13,17,5,11
16425,14,18,18,1,14
8213,13,18,19,2,13
8214,13,22,23,2,13
4107,12,18,20,3,12
16430,14,23,23,1,14
8215,13,21,21,1,13
16431,14,22,22,1,14
131460,17,25,25,1,13
4108,12,26,28,3,12
2054,11,29,32,4,11
1027,10,13,23,11,10
131461,17,24,24,1,13
32878,15,27,28,2,13
4109,12,24,25,2,12
65758,16,28,28,1,14
32879,15,26,26,1,13
65759,16,27,27,1,14
8220,13,30,31,2,13
4110,12,32,32,1,12
2055,11,24,28,5,11
16442,14,31,31,1,14
8221,13,29,29,1,13
16443,14,30,30,1,14
4111,12,29,31,3,12
2056,11,34,41,8,11
1028,10,42,53,12,10
514,9,54,63,10,9
257,8,0,32,33,8
16456,14,35,35,1,14
8228,13,36,38,3,13
4114,12,39,41,3,12
