node_index,depth,left_rank,right_rank,weight,color
256,8,1,3,3,8
128,7,4,11,8,7
64,6,12,23,12,6
32,5,24,52,29,5
16,4,53,105,53,4
8,3,106,211,106,3
4,2,212,453,242,2
2,1,454,955,502,1
2058,11,2,2,1,10
514,9,3,3,1,9
257,8,0,0,1,8
2059,11,1,1,1,10
515,9,1,2,2,9
4130,12,5,6,2,11
1032,10,7,8,2,10
516,9,9,9,1,9
258,8,10,11,2,8
129,7,0,3,4,7
16526,14,6,6,1,12
4131,12,4,4,1,11
16527,14,5,5,1,12
8270,13,8,8,1,11
1033,10,4,6,3,10
8271,13,7,7,1,11
517,9,4,8,5,9
4150,12,11,11,1,9
259,8,4,9,6,8
4151,12,10,10,1,9
4160,12,13,13,1,11
2080,11,14,14,1,10
520,9,15,16,2,9
260,8,17,18,2,8
130,7,19,23,5,7
65,6,0,11,12,6
4161,12,12,12,1,11
2081,11,12,13,2,10
1042,10,16,16,1,10
521,9,12,14,3,9
1043,10,15,15,1,10
522,9,18,18,1,9
261,8,12,16,5,8
523,9,17,17,1,9
524,9,20,21,2,9
262,8,22,23,2,8
131,7,12,18,7,7
1050,10,21,21,1,10
525,9,19,19,1,9
1051,10,20,20,1,10
526,9,23,23,1,9
263,8,19,21,3,8
527,9,22,22,1,9
33848,15,25,25,1,10
528,9,26,29,4,9
264,8,30,31,2,8
132,7,32,43,12,7
66,6,44,52,9,6
33,5,0,23,24,5
33849,15,24,24,1,10
1058,10,27,29,3,10
529,9,24,25,2,9
2118,11,28,29,2,11
1059,10,26,26,1,10
16952,14,29,29,1,12
2119,11,27,27,1,11
16953,14,28,28,1,12
16974,14,31,31,1,9
265,8,24,29,6,8
16975,14,30,30,1,9
2128,11,33,36,4,10
1064,10,37,37,1,9
266,8,38,43,6,8
133,7,24,31,8,7
8516,13,34,34,1,12
4258,12,35,36,2,11
2129,11,32,32,1,10
8517,13,33,33,1,12
8518,13,36,36,1,12
4259,12,33,34,2,11
8519,13,35,35,1,12
1065,10,32,36,5,9
1068,10,39,40,2,10
534,9,41,43,3,9
267,8,32,37,6,8
4278,12,40,40,1,11
1069,10,38,38,1,10
4279,12,39,39,1,11
1070,10,42,43,2,10
535,9,38,40,3,9
2142,11,43,43,1,11
1071,10,41,41,1,10
2143,11,42,42,1,11
268,8,45,48,4,8
134,7,49,52,4,7
67,6,24,43,20,6
2152,11,46,46,1,10
538,9,47,48,2,9
269,8,44,44,1,8
2153,11,45,45,1,10
4316,12,48,48,1,10
539,9,45,46,2,9
4317,12,47,47,1,10
270,8,50,52,3,8
135,7,44,48,5,7
4344,12,51,51,1,10
1086,10,52,52,1,9
271,8,49,49,1,8
4345,12,50,50,1,10
1087,10,50,51,2,9
544,9,54,56,3,9
272,8,57,63,7,8
136,7,64,70,7,7
68,6,71,80,10,6
34,5,81,105,25,5
17,4,0,52,53,4
69766,16,55,55,1,11
1090,10,56,56,1,10
545,9,53,53,1,9
69767,16,54,54,1,11
1091,10,54,55,2,10
8744,13,58,58,1,10
546,9,59,63,5,9
273,8,53,56,4,8
8745,13,57,57,1,10
17514,14,60,60,1,11
1094,10,61,63,3,10
547,9,57,58,2,9
17515,14,59,59,1,11
2190,11,62,63,2,11
1095,10,59,60,2,10
17528,14,63,63,1,12
2191,11,61,61,1,11
17529,14,62,62,1,12
548,9,65,65,1,9
274,8,66,70,5,8
137,7,53,63,11,7
549,9,64,64,1,9
1100,10,67,67,1,10
550,9,68,70,3,9
275,8,64,65,2,8
1101,10,66,66,1,10
2204,11,69,69,1,11
1102,10,70,70,1,10
551,9,66,67,2,9
2205,11,68,68,1,11
1103,10,68,69,2,10
35398,15,72,72,1,11
4424,12,73,73,1,10
1106,10,74,74,1,9
276,8,75,76,2,8
138,7,77,80,4,7
69,6,53,70,18,6
35399,15,71,71,1,11
4425,12,71,72,2,10
1107,10,71,73,3,9
554,9,76,76,1,9
277,8,71,74,4,8
555,9,75,75,1,9
2230,11,78,78,1,9
278,8,79,80,2,8
139,7,71,76,6,7
2231,11,77,77,1,9
558,9,80,80,1,9
279,8,77,78,2,8
559,9,79,79,1,9
560,9,82,82,1,9
280,8,83,85,3,8
140,7,86,92,7,7
70,6,93,105,13,6
35,5,53,80,28,5
561,9,81,81,1,9
562,9,84,85,2,9
281,8,81,82,2,8
2252,11,85,85,1,10
563,9,83,83,1,9
2253,11,84,84,1,10
1128,10,87,87,1,10
564,9,88,88,1,9
282,8,89,92,4,8
141,7,81,85,5,7
1129,10,86,86,1,10
565,9,86,87,2,9
566,9,90,92,3,9
283,8,86,88,3,8
2268,11,91,91,1,11
1134,10,92,92,1,10
567,9,89,89,1,9
2269,11,90,90,1,11
1135,10,90,91,2,10
284,8,94,98,5,8
142,7,99,105,7,7
71,6,81,92,12,6
36514,15,95,95,1,10
570,9,96,98,3,9
285,8,93,93,1,8
36515,15,94,94,1,10
36552,15,97,97,1,11
1142,10,98,98,1,10
571,9,94,95,2,9
36553,15,96,96,1,11
1143,10,96,97,2,10
18320,14,100,100,1,9
286,8,101,105,5,8
143,7,93,98,6,7
18321,14,99,99,1,9
574,9,102,105,4,9
287,8,99,100,2,8
1150,10,103,105,3,10
575,9,101,101,1,9
2302,11,104,105,2,11
1151,10,102,102,1,10
73700,16,105,105,1,12
2303,11,103,103,1,11
73701,16,104,104,1,12
2306,11,107,107,1,10
576,9,108,108,1,9
288,8,109,109,1,8
144,7,110,115,6,7
72,6,116,130,15,6
36,5,131,158,28,5
18,4,159,211,53,4
9,3,0,105,106,3
2307,11,106,106,1,10
577,9,106,107,2,9
289,8,106,108,3,8
2320,11,111,111,1,11
1160,10,112,112,1,10
580,9,113,114,2,9
290,8,115,115,1,8
145,7,106,109,4,7
2321,11,110,110,1,11
1161,10,110,111,2,10
1162,10,114,114,1,10
581,9,110,112,3,9
1163,10,113,113,1,10
291,8,110,114,5,8
292,8,117,122,6,8
146,7,123,130,8,7
73,6,106,115,10,6
1172,10,118,118,1,10
586,9,119,122,4,9
293,8,116,116,1,8
1173,10,117,117,1,10
4698,12,120,120,1,11
1174,10,121,122,2,10
587,9,117,118,2,9
4699,12,119,119,1,11
2350,11,122,122,1,11
1175,10,119,120,2,10
2351,11,121,121,1,11
4706,12,124,124,1,10
1176,10,125,125,1,9
294,8,126,130,5,8
147,7,116,122,7,7
4707,12,123,123,1,10
1177,10,123,124,2,9
590,9,127,130,4,9
295,8,123,125,3,8
75654,16,128,128,1,12
9456,13,129,129,1,11
2364,11,130,130,1,10
591,9,126,126,1,9
75655,16,127,127,1,12
9457,13,127,128,2,11
2365,11,127,129,3,10
2368,11,132,132,1,10
592,9,133,135,3,9
296,8,136,139,4,8
148,7,140,141,2,7
74,6,142,158,17,6
37,5,106,130,25,5
2369,11,131,131,1,10
1186,10,134,135,2,10
593,9,131,132,2,9
4750,12,135,135,1,11
1187,10,133,133,1,10
4751,12,134,134,1,11
2376,11,137,139,3,9
297,8,131,135,5,8
19016,14,138,138,1,11
4754,12,139,139,1,10
2377,11,136,136,1,9
19017,14,137,137,1,11
4755,12,137,138,2,10
2392,11,141,141,1,8
149,7,131,139,9,7
2393,11,140,140,1,8
1200,10,143,143,1,10
600,9,144,145,2,9
300,8,146,149,4,8
150,7,150,158,9,7
75,6,131,141,11,6
1201,10,142,142,1,10
1202,10,145,145,1,10
601,9,142,143,2,9
1203,10,144,144,1,10
1204,10,147,147,1,10
602,9,148,149,2,9
301,8,142,145,4,8
1205,10,146,146,1,10
2412,11,149,149,1,10
603,9,146,147,2,9
2413,11,148,148,1,10
604,9,151,151,1,9
302,8,152,158,7,8
151,7,142,149,8,7
605,9,150,150,1,9
4848,12,153,153,1,10
606,9,154,158,5,9
303,8,150,151,2,8
4849,12,152,152,1,10
9712,13,155,155,1,13
4856,12,156,156,1,12
2428,11,157,157,1,11
1214,10,158,158,1,10
607,9,152,153,2,9
9713,13,154,154,1,13
4857,12,154,155,2,12
2429,11,154,156,3,11
1215,10,154,157,4,10
608,9,160,163,4,9
304,8,164,168,5,8
152,7,169,173,5,7
76,6,174,184,11,6
38,5,185,211,27,5
19,4,106,158,53,4
1218,10,161,163,3,10
609,9,159,159,1,9
9754,13,162,162,1,12
2438,11,163,163,1,11
1219,10,160,160,1,10
9755,13,161,161,1,12
2439,11,161,162,2,11
610,9,165,168,4,9
305,8,159,163,5,8
4888,12,166,166,1,11
1222,10,167,168,2,10
611,9,164,164,1,9
4889,12,165,165,1,11
2446,11,168,168,1,11
1223,10,165,166,2,10
2447,11,167,167,1,11
2450,11,170,170,1,9
306,8,171,173,3,8
153,7,159,168,10,7
2451,11,169,169,1,9
1228,10,172,173,2,9
307,8,169,170,2,8
2458,11,173,173,1,10
1229,10,171,171,1,9
2459,11,172,172,1,10
1232,10,175,175,1,10
616,9,176,176,1,9
308,8,177,177,1,8
154,7,178,184,7,7
77,6,159,173,15,6
1233,10,174,174,1,10
617,9,174,175,2,9
309,8,174,176,3,8
620,9,179,180,2,9
310,8,181,184,4,8
155,7,174,177,4,7
2486,11,180,180,1,10
621,9,178,178,1,9
2487,11,179,179,1,10
9958,13,182,182,1,11
1244,10,183,183,1,10
622,9,184,184,1,9
311,8,178,180,3,8
9959,13,181,181,1,11
1245,10,181,182,2,10
623,9,181,183,3,9
624,9,186,188,3,9
312,8,189,191,3,8
156,7,192,196,5,7
78,6,197,211,15,6
39,5,159,184,26,5
1250,10,187,188,2,10
625,9,185,185,1,9
2502,11,188,188,1,11
1251,10,186,186,1,10
2503,11,187,187,1,11
626,9,190,191,2,9
313,8,185,188,4,8
1254,10,191,191,1,10
627,9,189,189,1,9
1255,10,190,190,1,10
5036,12,193,193,1,9
