node_index,depth,left_rank,right_rank,weight,color
256,8,1,3,3,12
128,7,4,11,8,12
64,6,12,23,12,9
32,5,24,52,29,12
16,4,53,105,53,4
8,3,106,211,106,11
4,2,212,453,242,7
2,1,454,955,502,13
2058,11,2,2,1,3
514,9,3,3,1,6
257,8,0,0,1,10
2059,11,1,1,1,2
515,9,1,2,2,1
4130,12,5,6,2,3
1032,10,7,8,2,2
516,9,9,9,1,13
258,8,10,11,2,13
129,7,0,3,4,13
16526,14,6,6,1,10
4131,12,4,4,1,3
16527,14,5,5,1,6
8270,13,8,8,1,10
1033,10,4,6,3,2
8271,13,7,7,1,6
517,9,4,8,5,13
4150,12,11,11,1,1
259,8,4,9,6,1
4151,12,10,10,1,1
4160,12,13,13,1,6
2080,11,14,14,1,10
520,9,15,16,2,1
260,8,17,18,2,1
130,7,19,23,5,13
65,6,0,11,12,9
4161,12,12,12,1,3
2081,11,12,13,2,2
1042,10,16,16,1,3
521,9,12,14,3,1
1043,10,15,15,1,2
522,9,18,18,1,10
261,8,12,16,5,13
523,9,17,17,1,6
524,9,20,21,2,1
262,8,22,23,2,10
131,7,12,18,7,12
1050,10,21,21,1,3
525,9,19,19,1,6
1051,10,20,20,1,2
526,9,23,23,1,12
263,8,19,21,3,12
527,9,22,22,1,12
33848,15,25,25,1,10
528,9,26,29,4,2
264,8,30,31,2,13
132,7,32,43,12,1
66,6,44,52,9,4
33,5,0,23,24,4
33849,15,24,24,1,6
1058,10,27,29,3,3
529,9,24,25,2,2
2118,11,28,29,2,4
1059,10,26,26,1,3
16952,14,29,29,1,10
2119,11,27,27,1,4
16953,14,28,28,1,6
16974,14,31,31,1,3
265,8,24,29,6,13
16975,14,30,30,1,2
2128,11,33,36,4,3
1064,10,37,37,1,2
266,8,38,43,6,13
133,7,24,31,8,1
8516,13,34,34,1,10
4258,12,35,36,2,4
2129,11,32,32,1,3
8517,13,33,33,1,6
8518,13,36,36,1,10
4259,12,33,34,2,4
8519,13,35,35,1,6
1065,10,32,36,5,2
1068,10,39,40,2,3
534,9,41,43,3,2
267,8,32,37,6,13
4278,12,40,40,1,6
1069,10,38,38,1,10
4279,12,39,39,1,4
1070,10,42,43,2,3
535,9,38,40,3,2
2142,11,43,43,1,6
1071,10,41,41,1,10
2143,11,42,42,1,4
268,8,45,48,4,6
134,7,49,52,4,13
67,6,24,43,20,9
2152,11,46,46,1,9
538,9,47,48,2,9
269,8,44,44,1,9
2153,11,45,45,1,9
4316,12,48,48,1,1
539,9,45,46,2,10
4317,12,47,47,1,1
270,8,50,52,3,9
135,7,44,48,5,13
4344,12,51,51,1,3
1086,10,52,52,1,6
271,8,49,49,1,10
4345,12,50,50,1,2
1087,10,50,51,2,1
544,9,54,56,3,6
272,8,57,63,7,1
136,7,64,70,7,1
68,6,71,80,10,12
34,5,81,105,25,1
17,4,0,52,53,5
69766,16,55,55,1,1
1090,10,56,56,1,1
545,9,53,53,1,1
69767,16,54,54,1,1
1091,10,54,55,2,10
8744,13,58,58,1,3
546,9,59,63,5,13
273,8,53,56,4,13
8745,13,57,57,1,2
17514,14,60,60,1,10
1094,10,61,63,3,2
547,9,57,58,2,13
17515,14,59,59,1,6
2190,11,62,63,2,3
1095,10,59,60,2,2
17528,14,63,63,1,10
2191,11,61,61,1,3
17529,14,62,62,1,6
548,9,65,65,1,10
274,8,66,70,5,13
137,7,53,63,11,5
549,9,64,64,1,6
1100,10,67,67,1,3
550,9,68,70,3,5
275,8,64,65,2,13
1101,10,66,66,1,2
2204,11,69,69,1,6
1102,10,70,70,1,10
551,9,66,67,2,5
2205,11,68,68,1,3
1103,10,68,69,2,2
35398,15,72,72,1,6
4424,12,73,73,1,10
1106,10,74,74,1,1
276,8,75,76,2,13
138,7,77,80,4,13
69,6,53,70,18,12
35399,15,71,71,1,3
4425,12,71,72,2,2
1107,10,71,73,3,1
554,9,76,76,1,1
277,8,71,74,4,13
555,9,75,75,1,1
2230,11,78,78,1,5
278,8,79,80,2,1
139,7,71,76,6,5
2231,11,77,77,1,5
558,9,80,80,1,5
279,8,77,78,2,1
559,9,79,79,1,5
560,9,82,82,1,5
280,8,83,85,3,9
140,7,86,92,7,5
70,6,93,105,13,5
35,5,53,80,28,9
561,9,81,81,1,5
562,9,84,85,2,5
281,8,81,82,2,9
2252,11,85,85,1,3
563,9,83,83,1,5
2253,11,84,84,1,2
1128,10,87,87,1,10
564,9,88,88,1,9
282,8,89,92,4,13
141,7,81,85,5,13
1129,10,86,86,1,6
565,9,86,87,2,9
566,9,90,92,3,9
283,8,86,88,3,13
2268,11,91,91,1,2
1134,10,92,92,1,3
567,9,89,89,1,9
2269,11,90,90,1,10
1135,10,90,91,2,6
284,8,94,98,5,13
142,7,99,105,7,12
71,6,81,92,12,12
36514,15,95,95,1,3
570,9,96,98,3,12
285,8,93,93,1,13
36515,15,94,94,1,2
36552,15,97,97,1,6
1142,10,98,98,1,10
571,9,94,95,2,12
36553,15,96,96,1,3
1143,10,96,97,2,2
18320,14,100,100,1,9
286,8,101,105,5,13
143,7,93,98,6,9
18321,14,99,99,1,10
574,9,102,105,4,9
287,8,99,100,2,13
1150,10,103,105,3,2
575,9,101,101,1,6
2302,11,104,105,2,3
1151,10,102,102,1,2
73700,16,105,105,1,10
2303,11,103,103,1,3
73701,16,104,104,1,6
2306,11,107,107,1,13
576,9,108,108,1,13
288,8,109,109,1,12
144,7,110,115,6,9
72,6,116,130,15,4
36,5,131,158,28,9
18,4,159,211,53,5
9,3,0,105,106,11
2307,11,106,106,1,10
577,9,106,107,2,6
289,8,106,108,3,12
2320,11,111,111,1,6
1160,10,112,112,1,10
580,9,113,114,2,13
290,8,115,115,1,12
145,7,106,109,4,9
2321,11,110,110,1,3
1161,10,110,111,2,2
1162,10,114,114,1,3
581,9,110,112,3,13
1163,10,113,113,1,2
291,8,110,114,5,12
292,8,117,122,6,12
146,7,123,130,8,9
73,6,106,115,10,4
1172,10,118,118,1,13
586,9,119,122,4,10
293,8,116,116,1,12
1173,10,117,117,1,13
