N,U_over_B,actual_moves,actual_n,actual_passes,algorithm,archived_original_result_sha256,checkpoint_validation_io_s,coloring_s,compact_extractor,converged,depth_active_queries,distribution,exit_code,external_observed_peak_rss_bytes,external_peak_scope,extraction_forest_stats_s,height,host,id,imports_s,key_generation_s,key_mode,key_sha256,label,last_completed_checkpoint_only,loads,lower_bound,m,max_bucket,measured_total_s,measurement_origin,memory_scope,n,passes,peak_rss_bytes,pid,platform,process_worker_s,python,repeat,reused_from,rss_bytes,seed,source,source_hashes,status,subprocess_wall_s,timeout_limit_s,valid
198,1.0454545454545454,4,100,5,ab-hungarian,43007966e051a3141069e8b92f96c2ba677fb803bd7057ab9c96719bad100b2f,0.019359600148163736,0.028237999882549047,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,,,0.0005212000105530024,128,Highlights,fuel_n100_h128_ab-hungarian_p20_s20260910_r1,0.5954514000331983,0.001171999960206449,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[23, 22, 22, 21, 22, 22, 22, 22, 22]",22,9,23,0.15015029988717288,screening_run_reused_as_repeat_1,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73064448,44176,Windows-11-10.0.26200-SP0,0.7456030999310315,3.14.2,1,examples\tifs_revision_20260910\balance\runs\fuel_n100_h128_ab-hungarian_p20_s20260910_r1,72462336,20260910,datasets/fuel_smt_test_workload.csv,,complete,1.0204247999936342,120.0,True
198,1.0454545454545454,4,100,5,ab-hungarian,,0.016503999941051006,0.022138000116683543,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,73728000,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.0004415001021698117,128,Highlights,fuel_n100_h128_ab-hungarian_p20_s20260910_r2,0.6032124999910593,0.0009807999012991786,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,False,"[23, 22, 22, 21, 22, 22, 22, 22, 22]",22,9,23,0.13921419996768236,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73728000,24400,Windows-11-10.0.26200-SP0,0.7424278999678791,3.14.2,2,,73039872,20260910,datasets/fuel_smt_test_workload.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,1.026817600009963,120,True
198,1.0454545454545454,4,100,5,ab-hungarian,,0.012402799911797047,0.017888200120069087,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,55521280,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.0005733000580221415,128,Highlights,fuel_n100_h128_ab-hungarian_p20_s20260910_r3,0.5875689999666065,0.0012785999570041895,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,False,"[23, 22, 22, 21, 22, 22, 22, 22, 22]",22,9,23,0.128936400054954,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73732096,6728,Windows-11-10.0.26200-SP0,0.7165068000322208,3.14.2,3,,72990720,20260910,datasets/fuel_smt_test_workload.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,1.011511499993503,120,True
198,1.0454545454545454,5,100,6,ab-sorted,9ab1a427fe938f986cc6813af71fe12a82c135c2833699a04be516556dec7c73,0.018929699901491404,0.007202700129710138,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,,,0.0009988999227061868,128,Highlights,fuel_n100_h128_ab-sorted_p20_s20260910_r1,0.6581932000117376,0.0020863000536337495,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[22, 23, 22, 22, 22, 22, 22, 21, 22]",22,9,23,0.14642740006092936,screening_run_reused_as_repeat_1,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73326592,47152,Windows-11-10.0.26200-SP0,0.8046222000848502,3.14.2,1,examples\tifs_revision_20260910\balance\runs\fuel_n100_h128_ab-sorted_p20_s20260910_r1,72720384,20260910,datasets/fuel_smt_test_workload.csv,,complete,1.102139199967496,120.0,True
198,1.0454545454545454,5,100,6,ab-sorted,,0.022728400072082877,0.0061706999549642205,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,60198912,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.0004536999622359872,128,Highlights,fuel_n100_h128_ab-sorted_p20_s20260910_r2,0.4679354999680072,0.0010091000003740191,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,False,"[22, 23, 22, 22, 22, 22, 22, 21, 22]",22,9,23,0.10560230002738535,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73654272,39512,Windows-11-10.0.26200-SP0,0.5735389000037685,3.14.2,2,,73068544,20260910,datasets/fuel_smt_test_workload.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,0.816491499892436,120,True
198,1.0454545454545454,5,100,6,ab-sorted,,0.03021839982829988,0.010390800191089511,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,60035072,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.001041000010445714,128,Highlights,fuel_n100_h128_ab-sorted_p20_s20260910_r3,0.5757051999680698,0.002459899988025427,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,False,"[22, 23, 22, 22, 22, 22, 22, 21, 22]",22,9,23,0.1501578000606969,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73748480,7616,Windows-11-10.0.26200-SP0,0.7258654000470415,3.14.2,3,,73191424,20260910,datasets/fuel_smt_test_workload.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,0.9639501000056043,120,True
14078,1.0,20,7040,20,ab-hungarian,c50df12ef6541c888767351fa4c2d4ba79f6e8cf2671221dfa16d5b8fddd84b1,0.12887489970307797,11.305887200287543,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,,,0.0419666999951005,128,Highlights,polygon-broad_n7040_h128_ab-hungarian_p20_s20260910_r1,0.7318990998901427,0.028244400047697127,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[828, 827, 828, 828, 828, 828, 827, 828, 828, 828, 828, 829, 829, 829, 828, 829, 828]",829,17,829,11.635387600050308,screening_run_reused_as_repeat_1,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,149868544,46600,Windows-11-10.0.26200-SP0,12.367289299960248,3.14.2,1,examples\tifs_revision_20260910\balance\runs\polygon-broad_n7040_h128_ab-hungarian_p20_s20260910_r1,125775872,20260910,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,,complete,12.827096000080928,120.0,True
14078,1.0,20,7040,20,ab-hungarian,,0.1437424998730421,11.863746600109152,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,150949888,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.06660089991055429,128,Highlights,polygon-broad_n7040_h128_ab-hungarian_p20_s20260910_r2,0.6406192000722513,0.03644789999816567,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,False,"[828, 827, 828, 828, 828, 828, 827, 828, 828, 828, 828, 829, 829, 829, 828, 829, 828]",829,17,829,12.219912700005807,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,150949888,4008,Windows-11-10.0.26200-SP0,12.860534000094049,3.14.2,2,,125444096,20260910,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,13.226175799965858,120,True
14078,1.0,20,7040,20,ab-hungarian,,0.12625440012197942,11.668818199890666,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,150904832,OS process high-water sampled every 0.5s while alive; final subsecond interval may not be sampled.,0.035513499984517694,128,Highlights,polygon-broad_n7040_h128_ab-hungarian_p20_s20260910_r3,0.3936611999524757,0.017586300033144653,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,False,"[828, 827, 828, 828, 828, 828, 827, 828, 828, 828, 828, 829, 829, 829, 828, 829, 828]",829,17,829,11.924441799987108,fresh_repeat_after_PIR_benchmark,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,150904832,46256,Windows-11-10.0.26200-SP0,12.318104399950244,3.14.2,3,,126181376,20260910,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,"{""scripts\\run_tifs_balance_repeats_20260910.py"": ""44ce434fd6a00bed6e103afb749545a1ed310cc897fc333f0a3e988d326418f0"", ""scripts\\run_tifs_balance_study_20260910.py"": ""626462af47390b198e6e62eca78290bea758dc06e251ca767cd2e9638c9581f4"", ""scripts\\run_height_sparsity_profile_balance_experiment.py"": ""6e13f887cbe283ade74aad6cd2174aa3c1d66001ada2106fc27935b3284f63f5"", ""scripts\\run_sparse_smt_pir_backend_experiment.py"": ""2f0ae62851d8d3fe1219183e0a26bead1a5fcc9607612a15371927aacab248fb"", ""scripts\\generate_full_sparse_smt_example.py"": ""5cd3630af580fe03214fd9816ff66601e3f32e79a4e3d304b445bd8f12d17b1d"", ""datasets\\fuel_smt_test_workload.csv"": ""6dc83a59a37929033f2518c374b6545f0dec43282b28f640b08117a47699e25b"", ""datasets\\polygon_zkevm_account_leaf_workload.csv"": ""fd843ae994964a7d99ba36d34f173b47e64068914d44476811efb6594a8e9622"", ""datasets\\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv"": ""674277165c8cd686560b72c4805f8b247230226510f1e3f893120a0d5cfe9dcd"", ""datasets\\polygon_zkevm_account_leaf_workload_multiwindow.csv"": ""8bdf3820a68d1b7a0e386b1a1f6b5f08df65c6fc02bb1d9ab07381ed0d61c78d"", ""datasets\\zksync_era_account_leaf_workload_broad_sample.csv"": ""efdb4aa351714249089a60ab89fe2fb71ea2df2501c976d20b751fab71f76eb3"", ""datasets\\zksync_era_account_leaf_workload_sample.csv"": ""7f105c1cbf2dad192bd6f6b6734e7c96b7bbafe24d1007eba9e728d2e14c1343""}",complete,12.681340900016949,120,True
14078,1.0,20,7040,20,ab-sorted,058d6eecbe7b843e8b4d890defcc7e1b74f8f309e61671cd92ace821b8ce6f75,0.14833859947975725,2.5652404006104916,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,,,0.05692220001947135,128,Highlights,polygon-broad_n7040_h128_ab-sorted_p20_s20260910_r1,0.5456972999963909,0.02581250004004687,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[828, 828, 828, 827, 828, 828, 828, 828, 829, 828, 828, 828, 828, 828, 829, 829, 828]",829,17,829,2.905880300095305,screening_run_reused_as_repeat_1,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,149983232,36132,Windows-11-10.0.26200-SP0,3.4515797999920323,3.14.2,1,examples\tifs_revision_20260910\balance\runs\polygon-broad_n7040_h128_ab-sorted_p20_s20260910_r1,123424768,20260910,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,,complete,3.919665399938822,120.0,True
