node_index,depth,left_rank,right_rank,weight,color
8192,13,1,1,1,8
4096,12,2,2,1,16
1024,10,3,7,5,6
512,9,8,21,14,4
256,8,22,39,18,3
128,7,40,86,47,12
64,6,87,181,95,2
32,5,182,421,240,11
16,4,422,886,465,17
8,3,887,1760,874,17
4,2,1761,3506,1746,11
2,1,3507,7039,3533,1
8193,13,0,0,1,8
4097,12,0,1,2,16
2050,11,4,7,4,16
1025,10,0,2,3,6
131280,17,5,5,1,7
4102,12,6,7,2,8
2051,11,3,3,1,16
131281,17,4,4,1,7
8206,13,7,7,1,7
4103,12,4,5,2,8
8207,13,6,6,1,7
8208,13,9,11,3,7
4104,12,12,12,1,8
2052,11,13,15,3,16
1026,10,16,21,6,6
513,9,0,7,8,4
131346,17,10,10,1,10
32836,15,11,11,1,5
8209,13,8,8,1,7
131347,17,9,9,1,10
32837,15,9,10,2,5
4105,12,8,11,4,8
8214,13,14,15,2,8
2053,11,8,12,5,16
65726,16,15,15,1,7
8215,13,13,13,1,8
65727,16,14,14,1,7
32870,15,17,17,1,7
4108,12,18,19,2,8
2054,11,20,21,2,16
1027,10,8,15,8,6
32871,15,16,16,1,7
8218,13,19,19,1,7
4109,12,16,17,2,8
8219,13,18,18,1,7
32880,15,21,21,1,8
2055,11,16,19,4,16
32881,15,20,20,1,8
32902,15,23,23,1,8
2056,11,24,24,1,16
1028,10,25,30,6,6
514,9,31,39,9,4
257,8,0,21,22,3
32903,15,22,22,1,8
2057,11,22,23,2,16
8232,13,26,26,1,7
4116,12,27,27,1,8
2058,11,28,30,3,16
1029,10,22,24,3,6
8233,13,25,25,1,7
4117,12,25,26,2,8
32944,15,29,29,1,7
16472,14,30,30,1,8
2059,11,25,27,3,16
32945,15,28,28,1,7
16473,14,28,29,2,8
4120,12,32,32,1,8
2060,11,33,34,2,16
1030,10,35,39,5,6
515,9,22,30,9,4
4121,12,31,31,1,8
4122,12,34,34,1,8
2061,11,31,32,2,16
4123,12,33,33,1,8
2062,11,36,39,4,16
1031,10,31,34,4,6
16504,14,37,37,1,7
4126,12,38,39,2,8
2063,11,35,35,1,16
16505,14,36,36,1,7
16508,14,39,39,1,7
4127,12,36,37,2,8
16509,14,38,38,1,7
16512,14,41,41,1,7
4128,12,42,43,2,8
2064,11,44,45,2,16
1032,10,46,49,4,6
516,9,50,60,11,4
258,8,61,86,26,3
129,7,0,39,40,12
16513,14,40,40,1,7
16518,14,43,43,1,7
4129,12,40,41,2,8
16519,14,42,42,1,7
33044,15,45,45,1,8
2065,11,40,43,4,16
33045,15,44,44,1,8
2066,11,47,49,3,16
1033,10,40,45,6,6
66144,16,48,48,1,7
4134,12,49,49,1,8
2067,11,46,46,1,16
66145,16,47,47,1,7
4135,12,47,48,2,8
4136,12,51,52,2,8
2068,11,53,54,2,16
1034,10,55,60,6,6
517,9,40,49,10,4
16548,14,52,52,1,7
4137,12,50,50,1,8
16549,14,51,51,1,7
4138,12,54,54,1,8
2069,11,50,52,3,16
4139,12,53,53,1,8
8282,13,56,56,1,8
2070,11,57,60,4,16
1035,10,50,54,5,6
8283,13,55,55,1,8
8284,13,58,58,1,7
4142,12,59,60,2,8
2071,11,55,56,2,16
8285,13,57,57,1,7
16574,14,60,60,1,7
4143,12,57,58,2,8
16575,14,59,59,1,7
4144,12,62,63,2,8
2072,11,64,69,6,16
1036,10,70,73,4,6
518,9,74,86,13,4
259,8,40,60,21,3
16580,14,63,63,1,7
4145,12,61,61,1,8
16581,14,62,62,1,7
8292,13,65,66,2,7
4146,12,67,69,3,8
2073,11,61,63,3,16
66348,16,66,66,1,5
8293,13,64,64,1,7
66349,16,65,65,1,5
265450,18,68,68,1,5
16590,14,69,69,1,7
4147,12,64,66,3,8
265451,18,67,67,1,5
16591,14,67,68,2,7
2074,11,71,73,3,16
1037,10,61,69,9,6
33200,15,72,72,1,7
8300,13,73,73,1,8
2075,11,70,70,1,16
33201,15,71,71,1,7
8301,13,71,72,2,8
4152,12,75,76,2,8
2076,11,77,77,1,16
1038,10,78,86,9,6
519,9,61,73,13,4
8306,13,76,76,1,7
4153,12,74,74,1,8
8307,13,75,75,1,7
2077,11,74,76,3,16
8312,13,79,80,2,7
4156,12,81,83,3,8
2078,11,84,86,3,16
1039,10,74,77,4,6
266018,18,80,80,1,5
8313,13,78,78,1,7
266019,18,79,79,1,5
8314,13,82,83,2,7
4157,12,78,80,3,8
16630,14,83,83,1,5
8315,13,81,81,1,7
16631,14,82,82,1,5
133066,17,85,85,1,7
8316,13,86,86,1,8
2079,11,78,83,6,16
133067,17,84,84,1,7
8317,13,84,85,2,8
16646,14,88,89,2,8
2080,11,90,92,3,16
1040,10,93,95,3,6
520,9,96,109,14,4
260,8,110,130,21,3
130,7,131,181,51,12
65,6,0,86,87,2
33294,15,89,89,1,7
16647,14,87,87,1,8
33295,15,88,88,1,7
8326,13,91,92,2,8
2081,11,87,89,3,16
