node_index,depth,left_rank,right_rank,weight,color
2048,11,1,2,2,1
1024,10,3,3,1,14
512,9,4,9,6,2
256,8,10,14,5,4
128,7,15,30,16,13
64,6,31,60,30,8
32,5,61,94,34,9
16,4,95,174,80,5
8,3,175,347,173,12
4,2,348,668,321,11
2,1,669,1347,679,1
4098,12,2,2,1,3
2049,11,0,0,1,1
4099,12,1,1,1,3
1025,10,0,2,3,14
2052,11,5,7,3,1
1026,10,8,9,2,14
513,9,0,3,4,2
1051392,20,6,6,1,7
8214,13,7,7,1,3
2053,11,4,4,1,1
1051393,20,5,5,1,7
8215,13,5,6,2,3
65768,16,9,9,1,1
1027,10,4,7,4,14
65769,16,8,8,1,1
514,9,11,14,4,2
257,8,0,9,10,4
2060,11,12,12,1,1
1030,10,13,14,2,14
515,9,10,10,1,2
2061,11,11,11,1,1
2062,11,14,14,1,1
1031,10,11,12,2,14
2063,11,13,13,1,1
16518,14,16,16,1,3
2064,11,17,17,1,1
1032,10,18,21,4,14
516,9,22,24,3,2
258,8,25,30,6,4
129,7,0,14,15,13
16519,14,15,15,1,3
2065,11,15,16,2,1
16536,14,19,19,1,7
8268,13,20,20,1,3
4134,12,21,21,1,1
1033,10,15,17,3,14
16537,14,18,18,1,7
8269,13,18,19,2,3
4135,12,18,20,3,1
1034,10,23,24,2,14
517,9,15,21,7,2
2070,11,24,24,1,1
1035,10,22,22,1,14
2071,11,23,23,1,1
2072,11,26,27,2,1
1036,10,28,28,1,14
518,9,29,30,2,2
259,8,15,24,10,4
8294,13,27,27,1,3
2073,11,25,25,1,1
8295,13,26,26,1,3
1037,10,25,27,3,14
1038,10,30,30,1,14
519,9,25,28,4,2
1039,10,29,29,1,14
4160,12,32,32,1,3
2080,11,33,34,2,1
1040,10,35,35,1,14
520,9,36,39,4,2
260,8,40,46,7,4
130,7,47,60,14,13
65,6,0,30,31,8
4161,12,31,31,1,3
16654,14,34,34,1,3
2081,11,31,32,2,1
16655,14,33,33,1,3
1041,10,31,34,4,14
1042,10,37,39,3,14
521,9,31,35,5,2
33382,15,38,38,1,3
2086,11,39,39,1,1
1043,10,36,36,1,14
33383,15,37,37,1,3
2087,11,37,38,2,1
522,9,41,46,6,2
261,8,31,39,9,4
8368,13,42,42,1,3
2092,11,43,44,2,1
1046,10,45,46,2,14
523,9,40,40,1,2
8369,13,41,41,1,3
4186,12,44,44,1,3
2093,11,41,42,2,1
4187,12,43,43,1,3
2094,11,46,46,1,1
1047,10,41,44,4,14
2095,11,45,45,1,1
8384,13,48,48,1,3
2096,11,49,49,1,1
1048,10,50,50,1,14
524,9,51,55,5,2
262,8,56,60,5,4
131,7,31,46,16,13
8385,13,47,47,1,3
2097,11,47,48,2,1
1049,10,47,49,3,14
2100,11,52,52,1,1
1050,10,53,55,3,14
525,9,47,50,4,2
2101,11,51,51,1,1
2102,11,54,55,2,1
1051,10,51,52,2,14
16826,14,55,55,1,3
2103,11,53,53,1,1
16827,14,54,54,1,3
526,9,57,60,4,2
263,8,47,55,9,4
2108,11,58,58,1,1
1054,10,59,60,2,14
527,9,56,56,1,2
2109,11,57,57,1,1
8440,13,60,60,1,1
1055,10,57,58,2,14
8441,13,59,59,1,1
8452,13,62,62,1,14
528,9,63,68,6,2
264,8,69,72,4,4
132,7,73,81,9,13
66,6,82,94,13,8
33,5,0,60,61,9
8453,13,61,61,1,14
4232,12,64,64,1,3
2116,11,65,66,2,1
1058,10,67,68,2,14
529,9,61,62,2,2
4233,12,63,63,1,3
4234,12,66,66,1,3
2117,11,63,64,2,1
4235,12,65,65,1,3
2118,11,68,68,1,1
1059,10,63,66,4,14
2119,11,67,67,1,1
1060,10,70,71,2,14
530,9,72,72,1,2
265,8,61,68,8,4
2122,11,71,71,1,1
